"Community","TF","enrichment_score","NES_MN","NES_RGC","n_targets","pct_community","method","specificity","label"
1,"Pura",2.41871020676314,3.35198214249896,1.48543827102732,1,50,"fallback",0.689655172413793,"C1 (2 genes)"
1,"E2f6",2.41871020676314,3.35198214249896,1.48543827102732,1,50,"fallback",0.934579439252336,"C1 (2 genes)"
1,"Irf9",2.41871020676314,3.35198214249896,1.48543827102732,1,50,"fallback",1.08695652173913,"C1 (2 genes)"
1,"Irf8",2.41871020676314,3.35198214249896,1.48543827102732,1,50,"fallback",1.0752688172043,"C1 (2 genes)"
2,"Pura",1.99323007346276,1.77236269925636,2.21409744766917,12,80,"fgsea",8.27586206896552,"C2: antigen processing and presentation"
2,"Yy1",2.00857637405046,1.76545922089905,2.25169352720187,13,86.6666666666667,"fgsea",9.28571428571429,"C2: antigen processing and presentation"
2,"Nfatc3",2.00857637405046,1.76545922089905,2.25169352720187,13,86.6666666666667,"fgsea",8.78378378378378,"C2: antigen processing and presentation"
2,"Tbp",1.85912003693128,1.67733013201012,2.04090994185244,9,60,"fgsea",8.18181818181818,"C2: antigen processing and presentation"
2,"Rela",1.64434440390619,1.51165789791589,1.77703090989648,5,33.3333333333333,"fgsea",4.16666666666667,"C2: antigen processing and presentation"
2,"Bcl3",1.64434440390619,1.51165789791589,1.77703090989648,5,33.3333333333333,"fgsea",4.46428571428571,"C2: antigen processing and presentation"
2,"Ap3b1",1.64434440390619,1.51165789791589,1.77703090989648,5,33.3333333333333,"fgsea",4.54545454545455,"C2: antigen processing and presentation"
2,"Stat6",1.56744868276632,1.44513933534532,1.68975803018732,4,26.6666666666667,"fgsea",3.80952380952381,"C2: antigen processing and presentation"
2,"Ehf",1.92651501927512,1.75108747002416,2.10194256852608,10,66.6666666666667,"fgsea",8.47457627118644,"C2: antigen processing and presentation"
2,"Ets1",1.97424463601109,1.77090397259539,2.17758529942679,11,73.3333333333333,"fgsea",7.85714285714286,"C2: antigen processing and presentation"
2,"Gata1",1.92651501927512,1.75108747002416,2.10194256852608,10,66.6666666666667,"fgsea",8.54700854700855,"C2: antigen processing and presentation"
2,"Ltf",1.99323007346276,1.77236269925636,2.21409744766917,12,80,"fgsea",13.3333333333333,"C2: antigen processing and presentation"
2,"Irf1",1.39690867958663,1.33508472611318,1.45873263306008,2,13.3333333333333,"fgsea",1.69491525423729,"C2: antigen processing and presentation"
2,"E2f6",1.95321470302945,1.72643966197973,2.17998974407917,11,73.3333333333333,"fgsea",10.2803738317757,"C2: antigen processing and presentation"
2,"Fli1",1.92651501927512,1.75108747002416,2.10194256852608,10,66.6666666666667,"fgsea",7.40740740740741,"C2: antigen processing and presentation"
2,"Elf4",1.92651501927512,1.75108747002416,2.10194256852608,10,66.6666666666667,"fgsea",8,"C2: antigen processing and presentation"
2,"Ets2",1.92651501927512,1.75108747002416,2.10194256852608,10,66.6666666666667,"fgsea",7.2463768115942,"C2: antigen processing and presentation"
2,"Bptf",1.846342210652,1.70085952338079,1.99182489792321,8,53.3333333333333,"fgsea",6.83760683760684,"C2: antigen processing and presentation"
2,"Stat3",1.36457366316687,1.26602716758086,1.46312015875287,2,13.3333333333333,"fgsea",4.8780487804878,"C2: antigen processing and presentation"
2,"Stat1",1.63593834606379,1.51165789791589,1.76021879421169,5,33.3333333333333,"fgsea",3.96825396825397,"C2: antigen processing and presentation"
2,"Runx2",1.42294925873375,1.38628837926885,1.45961013819864,2,13.3333333333333,"fgsea",2.10526315789474,"C2: antigen processing and presentation"
2,"Nr3c1",1.42294925873375,1.38628837926885,1.45961013819864,2,13.3333333333333,"fgsea",2.56410256410256,"C2: antigen processing and presentation"
2,"Stat2",1.36457366316687,1.26602716758086,1.46312015875287,2,13.3333333333333,"fgsea",2.02020202020202,"C2: antigen processing and presentation"
2,"Irf9",4.62837865264644,7.65733397284322,1.59942333244966,1,6.66666666666667,"fallback",1.08695652173913,"C2: antigen processing and presentation"
2,"Runx3",4.5768033062416,7.52337481994598,1.63023179253723,1,6.66666666666667,"fallback",1.14942528735632,"C2: antigen processing and presentation"
2,"Smad3",3.71968326539324,6.03898360127218,1.40038292951431,1,6.66666666666667,"fallback",2.08333333333333,"C2: antigen processing and presentation"
3,"Nfatc3",5.82590121703871,9.68926969310814,1.96253274096928,1,50,"fallback",0.675675675675676,"C3 (2 genes)"
4,"Pura",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",1.37931034482759,"C4: positive regulation of chemokine production"
4,"Yy1",1.54412622059806,1.52382703435621,1.56442540683992,3,75,"fgsea",2.14285714285714,"C4: positive regulation of chemokine production"
4,"Nfatc3",1.54412622059806,1.52382703435621,1.56442540683992,3,75,"fgsea",2.02702702702703,"C4: positive regulation of chemokine production"
4,"Tbp",1.54412622059806,1.52382703435621,1.56442540683992,3,75,"fgsea",2.72727272727273,"C4: positive regulation of chemokine production"
4,"Rela",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",1.66666666666667,"C4: positive regulation of chemokine production"
4,"Bcl3",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",1.78571428571429,"C4: positive regulation of chemokine production"
4,"Ap3b1",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",1.81818181818182,"C4: positive regulation of chemokine production"
4,"Stat6",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",1.9047619047619,"C4: positive regulation of chemokine production"
4,"Ehf",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",1.69491525423729,"C4: positive regulation of chemokine production"
4,"Ets1",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",1.42857142857143,"C4: positive regulation of chemokine production"
4,"Gata1",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",1.70940170940171,"C4: positive regulation of chemokine production"
4,"Ltf",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",2.22222222222222,"C4: positive regulation of chemokine production"
4,"E2f6",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",1.86915887850467,"C4: positive regulation of chemokine production"
4,"Stat1",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",1.58730158730159,"C4: positive regulation of chemokine production"
4,"Irf8",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",2.1505376344086,"C4: positive regulation of chemokine production"
4,"Irf7",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",2.22222222222222,"C4: positive regulation of chemokine production"
4,"Irf5",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",2.22222222222222,"C4: positive regulation of chemokine production"
4,"Irf2",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",2.22222222222222,"C4: positive regulation of chemokine production"
4,"Irf1",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",1.69491525423729,"C4: positive regulation of chemokine production"
4,"Fli1",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",1.48148148148148,"C4: positive regulation of chemokine production"
4,"Elf4",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",1.6,"C4: positive regulation of chemokine production"
4,"Ets2",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",1.44927536231884,"C4: positive regulation of chemokine production"
4,"Bptf",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",1.70940170940171,"C4: positive regulation of chemokine production"
4,"Stat2",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",2.02020202020202,"C4: positive regulation of chemokine production"
4,"Irf9",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",2.17391304347826,"C4: positive regulation of chemokine production"
4,"Runx2",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",2.10526315789474,"C4: positive regulation of chemokine production"
4,"Nr3c1",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",2.56410256410256,"C4: positive regulation of chemokine production"
4,"Runx3",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",2.29885057471264,"C4: positive regulation of chemokine production"
4,"Nr1h3",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",4,"C4: positive regulation of chemokine production"
4,"Nr1h2",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",4,"C4: positive regulation of chemokine production"
4,"Thra",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",3.92156862745098,"C4: positive regulation of chemokine production"
4,"Jun",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",4,"C4: positive regulation of chemokine production"
4,"Smad3",1.43607586936644,1.40882740491777,1.46332433381511,2,50,"fgsea",4.16666666666667,"C4: positive regulation of chemokine production"
4,"Runx1",3.86647581264074,5.59242155931775,2.14053006596372,1,25,"fallback",2.5,"C4: positive regulation of chemokine production"
5,"Pura",2.03188394956869,1.77320244676239,2.290565452375,13,50,"fgsea",8.96551724137931,"C5: positive regulation of innate immune response"
5,"Yy1",2.12564232958557,1.885546544188,2.36573811498315,15,57.6923076923077,"fgsea",10.7142857142857,"C5: positive regulation of innate immune response"
5,"Nfatc3",2.17098448646136,1.91494830327144,2.42702066965128,17,65.3846153846154,"fgsea",11.4864864864865,"C5: positive regulation of innate immune response"
5,"Tbp",1.81910713482722,1.67218724615685,1.9660270234976,8,30.7692307692308,"fgsea",7.27272727272727,"C5: positive regulation of innate immune response"
5,"Rela",2.2934761336568,2.00825394025882,2.57869832705477,23,88.4615384615385,"fgsea",19.1666666666667,"C5: positive regulation of innate immune response"
5,"Bcl3",2.21485002528925,1.94255467955019,2.48714537102832,20,76.9230769230769,"fgsea",17.8571428571429,"C5: positive regulation of innate immune response"
5,"Ap3b1",2.23170489145066,1.976264411873,2.48714537102832,20,76.9230769230769,"fgsea",18.1818181818182,"C5: positive regulation of innate immune response"
5,"Stat6",2.16462392731369,1.93494523698664,2.39430261764074,16,61.5384615384615,"fgsea",15.2380952380952,"C5: positive regulation of innate immune response"
5,"Ehf",1.87233821364643,1.72632797819038,2.01834844910247,9,34.6153846153846,"fgsea",7.6271186440678,"C5: positive regulation of innate immune response"
5,"Ets1",2.04944053941634,1.80831562645768,2.290565452375,13,50,"fgsea",9.28571428571429,"C5: positive regulation of innate immune response"
5,"Gata1",1.84669753767148,1.71301193262748,1.98038314271548,8,30.7692307692308,"fgsea",6.83760683760684,"C5: positive regulation of innate immune response"
5,"Ltf",1.64484237135524,1.53207759397796,1.75760714873253,5,19.2307692307692,"fgsea",5.55555555555556,"C5: positive regulation of innate immune response"
5,"Irf1",2.05092847566218,1.83605179928139,2.26580515204296,12,46.1538461538462,"fgsea",10.1694915254237,"C5: positive regulation of innate immune response"
5,"E2f6",1.81897423374412,1.67192144399065,1.9660270234976,8,30.7692307692308,"fgsea",7.47663551401869,"C5: positive regulation of innate immune response"
5,"Fli1",2.01839628307877,1.78183992722996,2.25495263892758,12,46.1538461538462,"fgsea",8.88888888888889,"C5: positive regulation of innate immune response"
5,"Elf4",1.92395972433747,1.73492615106457,2.11299329761038,10,38.4615384615385,"fgsea",8,"C5: positive regulation of innate immune response"
5,"Ets2",2.04944053941634,1.80831562645768,2.290565452375,13,50,"fgsea",9.42028985507246,"C5: positive regulation of innate immune response"
5,"Bptf",1.98134565773505,1.78210875517228,2.18058256029781,11,42.3076923076923,"fgsea",9.4017094017094,"C5: positive regulation of innate immune response"
5,"Stat1",1.97073995327183,1.83370846067652,2.10777144586715,10,38.4615384615385,"fgsea",7.93650793650794,"C5: positive regulation of innate immune response"
5,"Runx2",1.86064179348667,1.70293513787088,2.01834844910247,9,34.6153846153846,"fgsea",9.47368421052632,"C5: positive regulation of innate immune response"
5,"Nr3c1",1.53462386365302,1.41639460535836,1.65285312194769,4,15.3846153846154,"fgsea",5.12820512820513,"C5: positive regulation of innate immune response"
