"ParentTerm","TF","enrichment_score","NES_MN","NES_RGC","n_targets"
"MAPK_cascade","Pura",2.14394695461898,1.87669017546208,2.41120373377588,17
"MAPK_cascade","Yy1",2.17101261066181,1.88282966670901,2.45919555461461,18
"MAPK_cascade","Nfatc3",2.17101261066181,1.88282966670901,2.45919555461461,18
"MAPK_cascade","Tbp",2.03157494098022,1.78481188153253,2.27833800042791,13
"MAPK_cascade","Rela",2.05896229122179,1.83958658201566,2.27833800042791,13
"MAPK_cascade","Bcl3",2.01247975512017,1.79353055031124,2.23142895992909,12
"MAPK_cascade","Ap3b1",2.08199248183632,1.8721365335817,2.29184843009094,14
"MAPK_cascade","Stat6",2.0007999425176,1.7701709251061,2.23142895992909,12
"MAPK_cascade","Ehf",2.05559529566263,1.81934216123432,2.29184843009094,14
"MAPK_cascade","Ets1",2.14760549023379,1.88400724669171,2.41120373377588,17
"MAPK_cascade","Gata1",2.10485159615957,1.87221849949807,2.33748469282108,15
"MAPK_cascade","Ltf",1.95317593199358,1.75864343387293,2.14770843011422,10
"MAPK_cascade","Irf1",2.04516475948613,1.81199151854434,2.27833800042791,13
"MAPK_cascade","E2f6",2.04584469621599,1.81335139200406,2.27833800042791,13
"MAPK_cascade","Irf2",1.8404472193608,1.66079044980357,2.02010398891802,8
"MAPK_cascade","Irf7",1.8404472193608,1.66079044980357,2.02010398891802,8
"MAPK_cascade","Irf5",1.8404472193608,1.66079044980357,2.02010398891802,8
"MAPK_cascade","Irf8",1.8404472193608,1.66079044980357,2.02010398891802,8
"MAPK_cascade","Irf9",1.8404472193608,1.66079044980357,2.02010398891802,8
"MAPK_cascade","Stat1",2.10479401725008,1.87210334167908,2.33748469282108,15
"MAPK_cascade","Stat2",1.8404472193608,1.66079044980357,2.02010398891802,8
"MAPK_cascade","Fli1",2.14760549023379,1.88400724669171,2.41120373377588,17
"MAPK_cascade","Elf4",2.08643884826373,1.83539300370638,2.33748469282108,15
"MAPK_cascade","Ets2",2.14760549023379,1.88400724669171,2.41120373377588,17
"MAPK_cascade","Bptf",2.08441273835922,1.83134078389735,2.33748469282108,15
"MAPK_cascade","Stat3",1.76726172766718,1.60353681795247,1.93098663738189,7
"MAPK_cascade","Runx2",2.02253060961967,1.76672321881142,2.27833800042791,13
"MAPK_cascade","Nr3c1",1.95315063122223,1.70875820596382,2.19754305648065,11
"MAPK_cascade","Runx3",2.02253060961967,1.76672321881142,2.27833800042791,13
"MAPK_cascade","Nr1h3",1.75548712098294,1.66630981620843,1.84466442575744,6
"MAPK_cascade","Nr1h2",1.75548712098294,1.66630981620843,1.84466442575744,6
"MAPK_cascade","Thra",1.75548712098294,1.66630981620843,1.84466442575744,6
"MAPK_cascade","Jun",1.75548712098294,1.66630981620843,1.84466442575744,6
"MAPK_cascade","Runx1",1.65572241173161,1.52096703529151,1.79047778817171,5
"MAPK_cascade","3830417A13Rik",1.47578652819725,1.35054809547341,1.60102496092109,3
"MAPK_cascade","Mtor",1.36250089805298,1.26938543256407,1.4556163635419,2
"MAPK_cascade","Nlk",1.6241590759731,1.53535738718457,1.71296076476164,4
"MAPK_cascade","Smad3",1.85027064018144,1.68043729144486,2.02010398891802,8
"MAPK_cascade","Cebpb",1.72091375575474,1.59797926380668,1.8438482477028,6
"MAPK_cascade","Cebpd",1.72091375575474,1.59797926380668,1.8438482477028,6
"MAPK_cascade","Cebpa",1.72091375575474,1.59797926380668,1.8438482477028,6
"MAPK_cascade","Sox10",1.36752646719839,1.26469757929132,1.47035535510545,2
"MAPK_cascade","Myf6",1.64695422835903,1.50343066854635,1.79047778817171,5
"MAPK_cascade","Tfeb",1.64695422835903,1.50343066854635,1.79047778817171,5
"MAPK_cascade","Mxd4",1.64695422835903,1.50343066854635,1.79047778817171,5
"MAPK_cascade","Nfia",1.46308407324739,1.41626758918356,1.50990055731122,1
"MAPK_cascade","Nfib",1.46308407324739,1.41626758918356,1.50990055731122,1
"MAPK_cascade","Nfix",1.46308407324739,1.41626758918356,1.50990055731122,1
"MAPK_cascade","Nfatc1",1.46308407324739,1.41626758918356,1.50990055731122,1
"MAPK_cascade","Usf1",1.46308407324739,1.41626758918356,1.50990055731122,1
"actin_cytoskeleton_organization","Pura",2.0518529275231,1.79337897868527,2.31032687636092,14
"actin_cytoskeleton_organization","Yy1",2.07723434007395,1.80642271927049,2.3480459608774,15
"actin_cytoskeleton_organization","Nfatc3",2.07723434007395,1.80642271927049,2.3480459608774,15
"actin_cytoskeleton_organization","Tbp",1.94199189599982,1.71073166970685,2.1732521222928,11
"actin_cytoskeleton_organization","Rela",2.04961443773913,1.78890199911734,2.31032687636092,14
"actin_cytoskeleton_organization","Bcl3",2.00882994867218,1.75999069045183,2.25766920689254,13
"actin_cytoskeleton_organization","Ap3b1",2.04961443773913,1.78890199911734,2.31032687636092,14
"actin_cytoskeleton_organization","Stat6",2.00882994867218,1.75999069045183,2.25766920689254,13
"actin_cytoskeleton_organization","Ehf",1.99461133890586,1.76233419568303,2.22688848212868,12
"actin_cytoskeleton_organization","Ets1",2.0518529275231,1.79337897868527,2.31032687636092,14
"actin_cytoskeleton_organization","Gata1",2.0518529275231,1.79337897868527,2.31032687636092,14
"actin_cytoskeleton_organization","Ltf",1.99173694967093,1.7563390936158,2.22713480572606,12
"actin_cytoskeleton_organization","Irf1",1.98321219043033,1.73953589873199,2.22688848212868,12
"actin_cytoskeleton_organization","E2f6",1.94771620945487,1.72242066072934,2.1730117581804,11
"actin_cytoskeleton_organization","Irf2",1.94187171394362,1.71073166970685,2.1730117581804,11
"actin_cytoskeleton_organization","Irf7",1.94187171394362,1.71073166970685,2.1730117581804,11
"actin_cytoskeleton_organization","Irf5",1.94187171394362,1.71073166970685,2.1730117581804,11
"actin_cytoskeleton_organization","Irf8",1.94187171394362,1.71073166970685,2.1730117581804,11
"actin_cytoskeleton_organization","Irf9",1.94187171394362,1.71073166970685,2.1730117581804,11
"actin_cytoskeleton_organization","Stat1",2.01690028929051,1.77613137168849,2.25766920689254,13
"actin_cytoskeleton_organization","Stat2",1.95435772008315,1.73570368198591,2.1730117581804,11
"actin_cytoskeleton_organization","Fli1",2.0518529275231,1.79337897868527,2.31032687636092,14
"actin_cytoskeleton_organization","Elf4",2.0518529275231,1.79337897868527,2.31032687636092,14
"actin_cytoskeleton_organization","Ets2",2.0518529275231,1.79337897868527,2.31032687636092,14
"actin_cytoskeleton_organization","Bptf",2.01690028929051,1.77613137168849,2.25766920689254,13
"actin_cytoskeleton_organization","Stat3",1.77404064444462,1.59906724969199,1.94901403919726,7
"actin_cytoskeleton_organization","Runx2",2.00882994867218,1.75999069045183,2.25766920689254,13
"actin_cytoskeleton_organization","Nr3c1",2.00882994867218,1.75999069045183,2.25766920689254,13
"actin_cytoskeleton_organization","Runx3",1.98321219043033,1.73953589873199,2.22688848212868,12
"actin_cytoskeleton_organization","Nr1h3",1.96502057880583,1.75702939943127,2.1730117581804,11
"actin_cytoskeleton_organization","Nr1h2",1.96502057880583,1.75702939943127,2.1730117581804,11
"actin_cytoskeleton_organization","Thra",1.96502057880583,1.75702939943127,2.1730117581804,11
"actin_cytoskeleton_organization","Jun",1.96502057880583,1.75702939943127,2.1730117581804,11
"actin_cytoskeleton_organization","Runx1",1.80748631422968,1.66337867988365,1.95159394857571,7
"actin_cytoskeleton_organization","3830417A13Rik",1.46552294655733,1.34951997842392,1.58152591469073,3
"actin_cytoskeleton_organization","Mtor",1.55743920763911,1.41684982409916,1.69802859117906,4
"actin_cytoskeleton_organization","Nlk",1.3633419621901,1.28569718935355,1.44098673502665,2
"actin_cytoskeleton_organization","Smad3",1.76759540095022,1.59133658146008,1.94385422044035,7
"actin_cytoskeleton_organization","Nfia",1.55743920763911,1.41684982409916,1.69802859117906,4
"actin_cytoskeleton_organization","Nfib",1.55743920763911,1.41684982409916,1.69802859117906,4
"actin_cytoskeleton_organization","Nfix",1.55743920763911,1.41684982409916,1.69802859117906,4
"actin_cytoskeleton_organization","Nfatc1",1.55743920763911,1.41684982409916,1.69802859117906,4
"actin_cytoskeleton_organization","Usf1",1.55743920763911,1.41684982409916,1.69802859117906,4
"actin_cytoskeleton_organization","Sox10",1.34920718887117,1.25964661805423,1.43876775968811,2
"actin_cytoskeleton_organization","Myf6",1.62952764599286,1.48751200276207,1.77154328922366,5
"actin_cytoskeleton_organization","Tfeb",1.62952764599286,1.48751200276207,1.77154328922366,5
"actin_cytoskeleton_organization","Mxd4",1.62952764599286,1.48751200276207,1.77154328922366,5
"apoptotic_process","Pura",2.42696577199727,2.05462097392231,2.79931057007222,31
"apoptotic_process","Yy1",2.45032051302665,2.0544169551831,2.84622407087019,34
"apoptotic_process","Nfatc3",2.45436444368264,2.06250481649509,2.84622407087019,34
"apoptotic_process","Tbp",2.24881324767258,1.93766141864491,2.55996507670026,22
"apoptotic_process","Rela",2.37276044543847,2.02036197935947,2.72515891151747,28
"apoptotic_process","Bcl3",2.34094930479134,1.99691287745467,2.68498573212802,26
"apoptotic_process","Ap3b1",2.3677097811808,2.02382879465636,2.71159076770525,27
