"ParentTerm","TF","enrichment_score","NES_MN","NES_RGC","n_targets"
"actin_cytoskeleton_organization","Pura",2.07272819463427,1.79951614678584,2.3459402424827,14
"actin_cytoskeleton_organization","Yy1",2.12012763433725,1.82561006204048,2.41464520663402,15
"actin_cytoskeleton_organization","Nfatc3",2.12012763433725,1.82561006204048,2.41464520663402,15
"actin_cytoskeleton_organization","Tbp",1.95289852367777,1.72318732942494,2.18260971793061,11
"actin_cytoskeleton_organization","Rela",2.07048204445713,1.79502384643155,2.3459402424827,14
"actin_cytoskeleton_organization","Bcl3",2.03474117449711,1.77065720631268,2.29882514268155,13
"actin_cytoskeleton_organization","Ap3b1",2.07048204445713,1.79502384643155,2.3459402424827,14
"actin_cytoskeleton_organization","Stat6",2.03474117449711,1.77065720631268,2.29882514268155,13
"actin_cytoskeleton_organization","Ehf",1.9978859378899,1.76591563160857,2.22985624417123,12
"actin_cytoskeleton_organization","Ets1",2.07272819463427,1.79951614678584,2.3459402424827,14
"actin_cytoskeleton_organization","Gata1",2.07272819463427,1.79951614678584,2.3459402424827,14
"actin_cytoskeleton_organization","Ltf",1.99500562113416,1.75990834622561,2.23010289604271,12
"actin_cytoskeleton_organization","Irf1",1.98646362393307,1.7430710036949,2.22985624417123,12
"actin_cytoskeleton_organization","E2f6",1.95866487281773,1.73496142677778,2.18236831885767,11
"actin_cytoskeleton_organization","Irf2",1.95277782414131,1.72318732942494,2.18236831885767,11
"actin_cytoskeleton_organization","Irf7",1.95277782414131,1.72318732942494,2.18236831885767,11
"actin_cytoskeleton_organization","Irf5",1.95277782414131,1.72318732942494,2.18236831885767,11
"actin_cytoskeleton_organization","Irf8",1.95277782414131,1.72318732942494,2.18236831885767,11
"actin_cytoskeleton_organization","Irf9",1.95277782414131,1.72318732942494,2.18236831885767,11
"actin_cytoskeleton_organization","Stat1",2.04286042583791,1.78689570899427,2.29882514268155,13
"actin_cytoskeleton_organization","Stat2",1.96535473959553,1.74834116033339,2.18236831885767,11
"actin_cytoskeleton_organization","Fli1",2.07272819463427,1.79951614678584,2.3459402424827,14
"actin_cytoskeleton_organization","Elf4",2.07272819463427,1.79951614678584,2.3459402424827,14
"actin_cytoskeleton_organization","Ets2",2.07272819463427,1.79951614678584,2.3459402424827,14
"actin_cytoskeleton_organization","Bptf",2.04286042583791,1.78689570899427,2.29882514268155,13
"actin_cytoskeleton_organization","Stat3",1.75028320201511,1.56111493381586,1.93945147021435,7
"actin_cytoskeleton_organization","Runx2",2.03474117449711,1.77065720631268,2.29882514268155,13
"actin_cytoskeleton_organization","Nr3c1",2.03474117449711,1.77065720631268,2.29882514268155,13
"actin_cytoskeleton_organization","Runx3",1.98646362393307,1.7430710036949,2.22985624417123,12
"actin_cytoskeleton_organization","Nr1h3",1.97609523348579,1.76982214811392,2.18236831885767,11
"actin_cytoskeleton_organization","Nr1h2",1.97609523348579,1.76982214811392,2.18236831885767,11
"actin_cytoskeleton_organization","Thra",1.97609523348579,1.76982214811392,2.18236831885767,11
"actin_cytoskeleton_organization","Jun",1.97609523348579,1.76982214811392,2.18236831885767,11
"actin_cytoskeleton_organization","Runx1",1.78295935799173,1.62389999436075,1.94201872162272,7
"actin_cytoskeleton_organization","3830417A13Rik",1.45674279480756,1.33723008789342,1.57625550172171,3
"actin_cytoskeleton_organization","Mtor",1.55060904237166,1.42143742012064,1.67978066462267,4
"actin_cytoskeleton_organization","Nlk",1.36836935361087,1.27882172913626,1.45791697808548,2
"actin_cytoskeleton_organization","Smad3",1.74394235646067,1.55356774552373,1.93431696739761,7
"actin_cytoskeleton_organization","Nfia",1.55060904237166,1.42143742012064,1.67978066462267,4
"actin_cytoskeleton_organization","Nfib",1.55060904237166,1.42143742012064,1.67978066462267,4
"actin_cytoskeleton_organization","Nfix",1.55060904237166,1.42143742012064,1.67978066462267,4
"actin_cytoskeleton_organization","Nfatc1",1.55060904237166,1.42143742012064,1.67978066462267,4
"actin_cytoskeleton_organization","Usf1",1.55060904237166,1.42143742012064,1.67978066462267,4
"actin_cytoskeleton_organization","Sox10",1.35429119953754,1.25291046720784,1.45567193186724,2
"actin_cytoskeleton_organization","Myf6",1.60920740202724,1.46408929469013,1.75432550936434,5
"actin_cytoskeleton_organization","Tfeb",1.60920740202724,1.46408929469013,1.75432550936434,5
"actin_cytoskeleton_organization","Mxd4",1.60920740202724,1.46408929469013,1.75432550936434,5
"apoptotic_process","Pura",2.43302784225811,2.02323366192023,2.84282202259599,31
"apoptotic_process","Yy1",2.45786925811355,2.0216645641174,2.8940739521097,34
"apoptotic_process","Nfatc3",2.46184871870277,2.02962348529584,2.8940739521097,34
"apoptotic_process","Tbp",2.26925937112091,1.91063830033735,2.62788044190447,22
"apoptotic_process","Rela",2.38859983105072,1.98908484772272,2.78811481437873,28
"apoptotic_process","Bcl3",2.36000267197418,1.97842496595431,2.74158037799406,26
"apoptotic_process","Ap3b1",2.38360914384343,2.00206067720415,2.76515761048272,27
"apoptotic_process","Stat6",2.36019668442435,1.99467791565076,2.72571545319794,25
"apoptotic_process","Ehf",2.38356397562037,1.97901313686201,2.78811481437873,28
"apoptotic_process","Ets1",2.43812616770971,2.02430100343314,2.85195133198629,32
"apoptotic_process","Gata1",2.35780079935702,1.97402122071997,2.74158037799406,26
"apoptotic_process","Ltf",2.21807378390346,1.90883952350415,2.52730804430277,19
"apoptotic_process","Irf1",2.41514960982311,2.04218440526748,2.78811481437873,28
"apoptotic_process","E2f6",2.26219850494719,1.93266090146866,2.59173610842572,21
"apoptotic_process","Irf2",2.26179703765531,1.93185796688489,2.59173610842572,21
"apoptotic_process","Irf7",2.26179703765531,1.93185796688489,2.59173610842572,21
"apoptotic_process","Irf5",2.26179703765531,1.93185796688489,2.59173610842572,21
"apoptotic_process","Irf8",2.26179703765531,1.93185796688489,2.59173610842572,21
"apoptotic_process","Irf9",2.26179703765531,1.93185796688489,2.59173610842572,21
"apoptotic_process","Stat1",2.40040960515157,2.01270439592441,2.78811481437873,28
"apoptotic_process","Stat2",2.30808084302256,1.96044404571054,2.65571764033459,23
"apoptotic_process","Fli1",2.43812616770971,2.02430100343314,2.85195133198629,32
"apoptotic_process","Elf4",2.42203699645673,1.99720250461503,2.84687148829842,30
"apoptotic_process","Ets2",2.43812616770971,2.02430100343314,2.85195133198629,32
"apoptotic_process","Bptf",2.36662741076429,1.96809721104587,2.76515761048272,27
"apoptotic_process","Stat3",1.86329516556593,1.66353119168433,2.06305913944752,9
"apoptotic_process","Runx2",2.24073229961266,1.88972849079961,2.59173610842572,21
"apoptotic_process","Nr3c1",2.12697223569679,1.81243333638503,2.44151113500854,17
"apoptotic_process","Runx3",2.22021825267486,1.86622404141729,2.57421246393244,20
"apoptotic_process","Nr1h3",1.97975408307516,1.7727384947803,2.18676967137002,11
"apoptotic_process","Nr1h2",1.97975408307516,1.7727384947803,2.18676967137002,11
"apoptotic_process","Thra",2.02149242353862,1.80486939692877,2.23811545014846,12
"apoptotic_process","Jun",1.97975408307516,1.7727384947803,2.18676967137002,11
"apoptotic_process","Runx1",1.75183112028667,1.58923187509963,1.9144303654737,7
"apoptotic_process","3830417A13Rik",1.52052882850528,1.39364311897006,1.64741453804049,4
"apoptotic_process","Mtor",1.52052882850528,1.39364311897006,1.64741453804049,4
"apoptotic_process","Nlk",1.66265734826065,1.57838164596186,1.74693305055944,5
"apoptotic_process","Smad3",2.06411086333712,1.81270306586121,2.31551866081303,14
"apoptotic_process","Cebpb",1.860324173749,1.65758920805047,2.06305913944752,9
"apoptotic_process","Cebpd",1.860324173749,1.65758920805047,2.06305913944752,9
"apoptotic_process","Cebpa",1.860324173749,1.65758920805047,2.06305913944752,9
"apoptotic_process","Nfia",1.62204706853409,1.4812122150794,1.76288192198878,5
"apoptotic_process","Nfib",1.62204706853409,1.4812122150794,1.76288192198878,5
"apoptotic_process","Nfix",1.62204706853409,1.4812122150794,1.76288192198878,5
"apoptotic_process","Nfatc1",1.62204706853409,1.4812122150794,1.76288192198878,5
"apoptotic_process","Usf1",1.62204706853409,1.4812122150794,1.76288192198878,5
"apoptotic_process","Sox10",1.52629599116621,1.38849638080156,1.66409560153086,4
"apoptotic_process","Myf6",1.74606878084831,1.57770719622293,1.9144303654737,7
"apoptotic_process","Tfeb",1.74606878084831,1.57770719622293,1.9144303654737,7
"apoptotic_process","Mxd4",1.74606878084831,1.57770719622293,1.9144303654737,7
"biological_process_involved_in_interspecies_interaction_between_organisms","Pura",2.70128142930376,2.23748986815497,3.16507299045254,57
"biological_process_involved_in_interspecies_interaction_between_organisms","Yy1",2.69974042994587,2.2344078694392,3.16507299045254,57
"biological_process_involved_in_interspecies_interaction_between_organisms","Nfatc3",2.73075064228029,2.24293597153894,3.21856531302163,64
"biological_process_involved_in_interspecies_interaction_between_organisms","Tbp",2.55475616080725,2.14378889718865,2.96572342442585,40
"biological_process_involved_in_interspecies_interaction_between_organisms","Rela",2.64718292583736,2.22589936649375,3.06846648518097,51
"biological_process_involved_in_interspecies_interaction_between_organisms","Bcl3",2.59952364336238,2.16944332194195,3.02960396478281,45
"biological_process_involved_in_interspecies_interaction_between_organisms","Ap3b1",2.62825655828031,2.18778829898385,3.06872481757676,47
"biological_process_involved_in_interspecies_interaction_between_organisms","Stat6",2.58351165684142,2.16754872368464,2.9994745899982,43
"biological_process_involved_in_interspecies_interaction_between_organisms","Ehf",2.61042405563227,2.19124414648173,3.02960396478281,45
"biological_process_involved_in_interspecies_interaction_between_organisms","Ets1",2.70036412149911,2.23911608462841,3.1616121583698,55
