"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","gene","subtype"
12.9464357650151,-0.103246344122634,0.539058742222456,-0.191530785118083,0.84810976392498,0.948242459153506,"ENSG00000227232","WASH7P","EN-L2-3"
7.32646536120464,-0.450718997853366,0.37645439978442,-1.19727382150793,0.231199844552272,NA,"ENSG00000238009","RP11-34P13.7","EN-L2-3"
4.54431342352828,-0.384701959556942,0.586130062193133,-0.656342310983839,0.511603899608509,NA,"ENSG00000233750","CICP27","EN-L2-3"
11.0749997020239,-0.413149226033002,0.328902856042803,-1.25614362551852,0.209063901604226,NA,"ENSG00000241860","RP11-34P13.13","EN-L2-3"
34.581665702554,-0.614218545829987,0.424439319004674,-1.44712923220769,0.147860732170191,0.483075595815931,"ENSG00000279457","FO538757.2","EN-L2-3"
45.3429085505126,0.0258012574508045,0.290369604051549,0.0888566058251197,0.929195870613565,0.976494022610989,"ENSG00000228463","AP006222.2","EN-L2-3"
65.5618332552528,-0.680116157143327,0.251980223573527,-2.69908545796996,0.00695303192158759,0.124223853780175,"ENSG00000237094","RP4-669L17.10","EN-L2-3"
2.86036381812198,-0.254088391739067,0.490118702388233,-0.518422150595262,0.604163763325575,NA,"ENSG00000235146","RP5-857K21.2","EN-L2-3"
72.9840245451433,-0.0745966569707813,0.290811903561118,-0.256511704154172,0.797555744093527,0.927160870500916,"ENSG00000230021","RP5-857K21.4","EN-L2-3"
41.9162505080989,0.720832646236856,0.408645784159357,1.76395468686827,0.0777396085041172,0.372287817637463,"ENSG00000225972","MTND1P23","EN-L2-3"
49.3737732195778,1.99590363802683,0.616873972126851,3.2355128084678,0.00121424437519252,0.0503985454996064,"ENSG00000225630","MTND2P28","EN-L2-3"
45.3930221086864,-0.4293889574166,0.568939633128081,-0.754717956729049,0.450418229883845,0.745298522261909,"ENSG00000237973","RP5-857K21.6","EN-L2-3"
8.53175037897216,0.510161261034626,0.503330018956278,1.01357209349944,0.310786979327817,NA,"ENSG00000229344","RP5-857K21.7","EN-L2-3"
441.677363124375,0.718567591206296,0.49853352120005,1.44136263791568,0.149482259747058,0.485744741070935,"ENSG00000248527","MTATP6P1","EN-L2-3"
5.00727175043065,0.799429714821105,0.446105777391116,1.79201829551788,0.073130035383505,NA,"ENSG00000198744","RP5-857K21.11","EN-L2-3"
3.80711243505395,-1.03454649573457,0.545932746904024,-1.89500721764991,0.0580914454640215,NA,"ENSG00000240618","RP11-206L10.5","EN-L2-3"
3.28069137840988,-0.0891119369624286,0.507622147620053,-0.175547771861852,0.860649237006912,NA,"ENSG00000228327","RP11-206L10.2","EN-L2-3"
174.325106263084,-0.246608783874694,0.193395994935627,-1.27514938433331,0.202256372665495,0.547092838757807,"ENSG00000237491","RP11-206L10.9","EN-L2-3"
13.2903990568109,-0.10106598469329,0.33177384567829,-0.304623122074821,0.760653207633193,0.911558708350228,"ENSG00000230092","RP11-206L10.8","EN-L2-3"
57.3892777234541,-0.121758776079981,0.174624071856905,-0.697262266222697,0.485638677916237,0.767574889410087,"ENSG00000228794","LINC01128","EN-L2-3"
4.57995136267861,-0.0987062639556145,0.677166053297806,-0.145763750966124,0.884107892739555,NA,"ENSG00000225880","LINC00115","EN-L2-3"
49.342286174844,0.013927722149596,0.255858927827221,0.0544351618599811,0.956588465259901,0.984195527873172,"ENSG00000188976","NOC2L","EN-L2-3"
10.0026056726533,-0.384408293091975,0.426768501173415,-0.900741952686364,0.36772553719891,NA,"ENSG00000187961","KLHL17","EN-L2-3"
6.49889198406815,-0.647581043155809,0.614104082721837,-1.05451349596244,0.291647885017581,NA,"ENSG00000188290","HES4","EN-L2-3"
