"human_ensembl","rank","human_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","subtype"
"ENSG00000030582","Rank 2","GRN",22.3489437845979,0.560072810832297,0.290394304559449,1.92866320736549,0.0537726866485002,0.316498640740459,"GRN","EN-L2-3"
"ENSG00000030582","Rank 2","GRN",13.1728908176787,-0.316229313682288,0.289559293027661,-1.09210555936839,0.274786706140466,0.753850664372113,"GRN","EN-L5-6"
"ENSG00000030582","Rank 2","GRN",3.70334659988907,0.75833781938479,0.513199442855603,1.47766687969332,0.139496963568972,0.898500922292927,"GRN","IN-PVALB"
"ENSG00000030582","Rank 2","GRN",12.5036838020922,0.285960457413537,0.388361367470285,0.736325704269278,0.461532506911632,NA,"GRN","EN-L4"
"ENSG00000030582","Rank 2","GRN",6.17271252572255,-0.134028192507385,0.586586021391264,-0.228488555164505,0.819266452483222,NA,"GRN","EN-PYR"
"ENSG00000030582","Rank 2","GRN",5.52603091206763,0.386770812846777,0.384823608735822,1.00505999129667,0.314867963616604,NA,"GRN","IN-VIP"
"ENSG00000092010","Rank 1","PSME1",2.02902120605875,0.57591882081827,0.746013499879087,0.771995172891127,0.440117286482149,NA,"PSME1","IN-VIP"
"ENSG00000092010","Rank 1","PSME1",4.13013416075289,0.688627317222693,0.544731934039721,1.26415815594993,0.206173266360738,NA,"PSME1","EN-L4"
"ENSG00000092010","Rank 1","PSME1",7.27716049303921,0.70145091747114,0.434648572613348,1.61383462794696,0.106563301331,NA,"PSME1","EN-L2-3"
"ENSG00000092010","Rank 1","PSME1",2.59796785487399,1.69151465115213,0.595530316829297,2.84035019435792,0.00450640332306915,NA,"PSME1","EN-L5-6"
"ENSG00000092010","Rank 1","PSME1",1.83517354897162,0.807686043225692,0.648343506770518,1.2457686932794,0.21284932620101,0.908256840709916,"PSME1","IN-PVALB"
"ENSG00000100300","Rank 2","TSPO",1.17453564867315,0.771158921795536,0.879972975911904,0.876343868397089,0.380843123437969,NA,"TSPO","EN-L4"
"ENSG00000100300","Rank 1","TSPO",1.17453564867315,0.771158921795536,0.879972975911904,0.876343868397089,0.380843123437969,NA,"TSPO","EN-L4"
"ENSG00000100599","Rank 2","RIN3",3.80747922807539,0.256213635018434,0.448386394292636,0.571412599221774,0.567719990545355,0.964579672366661,"RIN3","IN-PVALB"
"ENSG00000100599","Rank 2","RIN3",11.9888875420094,-0.422716554231466,0.33922703732221,-1.24611692973622,0.212721470329198,0.706761978281641,"RIN3","EN-L5-6"
"ENSG00000100599","Rank 2","RIN3",7.23521446286209,0.321653870113261,0.411395863827625,0.781859756976153,0.434296997724569,NA,"RIN3","EN-L4"
"ENSG00000100599","Rank 2","RIN3",38.2281938671773,0.0637415152778638,0.275982647217712,0.230962040260381,0.817344292248473,0.935208226291979,"RIN3","EN-L2-3"
"ENSG00000100600","Rank 2","LGMN",28.1531570483988,-0.209007902545661,0.228143263346949,-0.916125681203272,0.359600979535545,0.942686561028488,"LGMN","IN-PVALB"
"ENSG00000100600","Rank 2","LGMN",45.3823136944635,0.104298808282484,0.197354945159711,0.528483379010743,0.597163880198141,0.903910794260045,"LGMN","EN-L5-6"
"ENSG00000100600","Rank 2","LGMN",32.5634340134704,0.275877275143136,0.225526325000004,1.22325974647585,0.221231605712512,0.569845640664908,"LGMN","EN-L4"
"ENSG00000100600","Rank 2","LGMN",76.1313813390207,0.203363900858389,0.177059112587255,1.14856500683166,0.250735393291866,0.595934295439153,"LGMN","EN-L2-3"
"ENSG00000100600","Rank 2","LGMN",17.0803461565548,-0.09849917045746,0.249387692166541,-0.394964040132672,0.692869426744884,0.983251384483038,"LGMN","IN-SST"
"ENSG00000100600","Rank 2","LGMN",7.57146572421893,-0.216613991901726,0.325372570544817,-0.665741403889758,0.505576404066299,0.880279520395018,"LGMN","EN-MIX"
"ENSG00000100600","Rank 2","LGMN",9.95128187803448,-0.176381116903319,0.290716915977999,-0.606710883368986,0.54404279825752,0.956721149469843,"LGMN","IN-SV2C"
"ENSG00000100600","Rank 2","LGMN",20.942925157452,-0.0384482676393551,0.210776160290951,-0.182412790831193,0.855258788575239,0.96411217159763,"LGMN","IN-VIP"
"ENSG00000100600","Rank 2","LGMN",12.1957722979997,-0.294114861352172,0.385268831458583,-0.763401649281328,0.445223896638257,0.831127603953153,"LGMN","EN-PYR"
"ENSG00000101160","Rank 2","CTSZ",10.3566201542179,-0.422107180731688,0.349425546237786,-1.20800320776902,0.227046028483313,NA,"CTSZ","EN-L4"
"ENSG00000101160","Rank 2","CTSZ",2.72858500847332,-0.427721702585437,0.452034460785516,-0.946214812565772,0.344039032521009,0.942574897360416,"CTSZ","IN-PVALB"
"ENSG00000101160","Rank 2","CTSZ",13.439511629491,-0.251588064799484,0.368745847482586,-0.682280401303679,0.495061663341791,0.771758786755426,"CTSZ","EN-L2-3"
"ENSG00000101160","Rank 2","CTSZ",5.34547392956145,-0.174292303538596,0.450021517878324,-0.387297710474638,0.69853582031644,0.935163150327787,"CTSZ","EN-L5-6"
"ENSG00000103811","Rank 2","CTSH",4.53565824600186,0.4555076279426,0.394605417678265,1.15433698458238,0.248362039188527,NA,"CTSH","EN-L4"
"ENSG00000103811","Rank 2","CTSH",2.76661712981943,1.14406067278615,0.547003921662729,2.09150360258578,0.0364829438238033,NA,"CTSH","IN-VIP"
