"functional_group","TF","specificity","n_expr","cliff_clean"
"LLM_metabolism","Nfia",0.812144212523719,4,0.113060428849903
"LLM_metabolism","Nfib",0.812144212523719,4,0.113060428849903
"LLM_metabolism","Nfix",0.812144212523719,4,0.113060428849903
"LLM_metabolism","Nlk",0.313782991202346,1,NA
"LLM_metabolism","Nr1h2",0.89741935483871,13,0.185185185185185
"LLM_metabolism","Nr1h3",0.89741935483871,13,0.185185185185185
"LLM_metabolism","Nr3c1",0.885028949545079,20,0.16390243902439
"LLM_metabolism","Pura",0.975973303670745,41,0.091304347826087
"LLM_metabolism","Rela",0.862903225806452,30,-0.00737327188940092
"LLM_metabolism","Runx1",0.776612903225807,9,-0.0274725274725275
"LLM_metabolism","Runx2",0.9446519524618,26,0.095852534562212
"LLM_metabolism","Runx3",0.833147942157953,21,0.111538461538462
"LLM_metabolism","Smad3",0.719086021505376,10,0.0104575163398693
"LLM_metabolism","Sox10",0,0,NA
"LLM_metabolism","Stat1",0.849206349206349,31,0.146296296296296
"LLM_metabolism","Stat2",0.836754643206256,24,0.139794967381174
"LLM_metabolism","Stat3",0.420928402832415,5,0.132142857142857
"LLM_metabolism","Stat6",0.756067588325653,23,0.0657894736842105
"LLM_metabolism","Tbp",0.878592375366569,28,-0.0477502295684114
"LLM_metabolism","Tfeb",0.552258064516129,4,-0.10916179337232
"LLM_metabolism","Thra",0.879822896900696,13,0.185185185185185
"LLM_metabolism","Usf1",0.812144212523719,4,0.113060428849903
"LLM_metabolism","Yy1",0.91221198156682,37,-0.0892857142857143
