"gene_list","label","n_tfs","n_targets","pct_outdeg","NES","targets"
"GO_cell_death","Cebpb",1,29,45.3125,0.802564795893303,"Tmbim6; Nfkbiz; Il1b; Atf3; Fcer1g; Osm; Tspo; Lcn2; B2m; Ctsd; C3; Bcl2a1b; Ltf; Ucp2; S100a8; Dock8; Trem2; Capn3; Grn; Cadm1; Prkcd; Srgn; Rest; Il18rap; Plaur; Ccr5; Cxcl12; Ptpn6; Ccl2"
"GO_cell_death","Cebpa",1,23,35.9375,0.762429178473426,"Tmbim6; Nfkbiz; Il1b; Atf3; Fcer1g; Osm; Tspo; Lcn2; B2m; Ctsd; C3; Bcl2a1b; Ltf; Ucp2; S100a8; Dock8; Trem2; Capn3; Grn; Cadm1; Prkcd; Srgn; Rest"
"GO_cell_death","Cebpd",1,23,35.9375,0.752788807525808,"Tmbim6; Nfkbiz; Il1b; Atf3; Fcer1g; Osm; Tspo; Lcn2; B2m; Ctsd; C3; Bcl2a1b; Ltf; Ucp2; S100a8; Dock8; Trem2; Capn3; Grn; Cadm1; Prkcd; Srgn; Rest"
"GO_cell_death","Nr1h3",1,22,34.375,1.19808132027511,"Prkcd; Lsp1; Itm2c; Lgals9; Tspo; Lcn2; Csf1r; Osm; S100a9; Rps6ka1; Cd74; Lrp5; C3; Atf3; Rest; Capn3; Cadm1; H2-K1; Trem2; Ltf; Grn; H2-D1"
"GO_cell_death","Nr1h2",1,22,34.375,1.20354388394236,"Prkcd; Lsp1; Itm2c; Lgals9; Tspo; Lcn2; Csf1r; Osm; S100a9; Rps6ka1; Cd74; Lrp5; C3; Atf3; Rest; Capn3; Cadm1; H2-K1; Trem2; Ltf; Grn; H2-D1"
"GO_cell_death","Thra",1,23,35.9375,1.20922273467476,"Prkcd; Lsp1; Itm2c; Lgals9; Tspo; Lcn2; Csf1r; Osm; S100a9; Rps6ka1; Cd74; Lrp5; C3; Atf3; Rest; Capn3; Cadm1; H2-K1; Trem2; Ltf; Grn; H2-D1; Fcer1g"
"GO_cell_death","Jun",1,22,34.375,1.1810729700123,"Prkcd; Lsp1; Itm2c; Lgals9; Tspo; Lcn2; Csf1r; Osm; S100a9; Rps6ka1; Cd74; Lrp5; C3; Atf3; Rest; Capn3; Cadm1; H2-K1; Trem2; Ltf; Grn; H2-D1"
"GO_cell_death","Nr3c1",1,6,9.375,-1.30993282041549,"Nfkbiz; Rest; Cadm1; Atf3; Tmbim6; Lcn2"
"GO_cell_death","Gata1",1,4,6.25,NA,"Prkcd; Tmbim6; Tspo; Vav1"
"GO_cell_death","Nfatc1",1,6,9.375,-0.368539001894214,"Cadm1; Rest; Ptpn6; Pik3cg; C3; Atf3"
"GO_cell_death","Ets1",1,21,32.8125,0.0381735974011259,"Dock8; Ccl2; Lyz2; Rest; Bcl2a1b; Vav1; Atf3; Il1b; Pik3cg; Cxcl12; Itm2c; Ctsc; Nfkbiz; Il18rap; B2m; Ptpn6; Ccr5; Fcgr1; Prkcd; Cd74; Srgn"
"GO_cell_death","Fli1",1,21,32.8125,-0.00301773174735709,"Dock8; Ccl2; Lyz2; Rest; Bcl2a1b; Vav1; Atf3; Il1b; Pik3cg; Cxcl12; Itm2c; Ctsc; Nfkbiz; Il18rap; B2m; Ptpn6; Ccr5; Fcgr1; Prkcd; Cd74; Srgn"
"GO_cell_death","Elf4",1,21,32.8125,0.00841234116038125,"Dock8; Ccl2; Lyz2; Rest; Bcl2a1b; Vav1; Atf3; Il1b; Pik3cg; Cxcl12; Itm2c; Ctsc; Nfkbiz; Il18rap; B2m; Ptpn6; Ccr5; Fcgr1; Prkcd; Cd74; Srgn"
"GO_cell_death","Ets2",1,21,32.8125,0.00470525059992932,"Dock8; Ccl2; Lyz2; Rest; Bcl2a1b; Vav1; Atf3; Il1b; Pik3cg; Cxcl12; Itm2c; Ctsc; Nfkbiz; Il18rap; B2m; Ptpn6; Ccr5; Fcgr1; Prkcd; Cd74; Srgn"
"GO_cell_death","Ehf",1,21,32.8125,0.0171252001189114,"Dock8; Ccl2; Lyz2; Rest; Bcl2a1b; Vav1; Atf3; Il1b; Pik3cg; Cxcl12; Itm2c; Ctsc; Nfkbiz; Il18rap; B2m; Ptpn6; Ccr5; Fcgr1; Prkcd; Cd74; Srgn"
"GO_cell_death","E2f6",1,22,34.375,-0.141558752132792,"Dock8; Ccl2; Lyz2; Rest; Bcl2a1b; Vav1; Atf3; Il1b; Pik3cg; Cxcl12; Itm2c; Ctsc; Nfkbiz; Il18rap; B2m; Ptpn6; Ccr5; Fcgr1; Prkcd; Cd74; Srgn; Plaur"
"GO_cell_death","Sox10",1,4,6.25,NA,"Prkcd; Fcer1g; Lsp1; Osm"
"GO_cell_death","Stat3",1,5,7.8125,0.851337997773814,"Osm; Ltf; Nfkbiz; Ccl2; Fcgr1"
"GO_metabolism","Rela",1,66,63.4615384615385,0.74341413304776,"Nfkbia; Ccl2; Nfkbiz; Rac2; Prkcd; Laptm5; Ctsh; Epha2; Cadm1; Dusp2; Siglec1; Runx1; Fgr; Cmklr1; Cd74; Wdfy4; Atf3; Il10rb; Stat1; Il1b; E2f8; B2m; Cebpa; Elf4; Cybb; Csf1r; Plcb2; Aif1; Junb; Tmbim6; Ctsz; Psap; Naglu; H2-M3; Nub1; Plau; Tspo; Tlr7; Ptger4; Lgmn; Tnf; Prex1; Hp; S100a8; Rest; Lrp5; C3; Top2a; Ncf2; Serpine2; Plaur; Nmnat2; Trem2; Tmem119; Srgn; Tlr2; Calr; Ncf1; Vav1; Ltf; Ctsc; Mov10; Tyrobp; Igtp; Pik3cg; Ptpn6"
"GO_metabolism","Stat1",1,59,56.7307692307692,0.764289286645939,"Osm; Nmi; Cybb; Elf4; Psmb8; Stat1; Psmb10; Tmbim6; Atf3; Nub1; B2m; Siglec1; Tlr2; H2-M3; Cadm1; Lrp5; Il1b; Tlr7; Rac2; Ctsz; Aif1; Runx1; Nfkbiz; Junb; Cmklr1; Serpine2; Srgn; Il10ra; Ncf1; Cebpa; Grn; Wdfy4; Lgmn; Ucp2; Prkcd; Ptger4; Plau; Capn3; Fgr; Cd14; Ltf; Calr; Laptm5; Ccl2; Hp; Rest; Fcer1g; Erp29; Ctsc; E2f8; Tspo; P2ry6; Nfkbia; Epha2; Ctsh; Plcb2; Cd74; Top2a; Prex1"
"GO_metabolism","Cebpa",1,38,36.5384615384615,0.727823208558524,"E2f8; Tmbim6; Nfkbiz; Il1b; Atf3; Fcer1g; Siglec1; Osm; Tspo; B2m; Plcb2; Ctsd; C3; Hp; Runx1; P2ry6; Ncf2; Fgr; Ptger4; Ltf; Ucp2; S100a8; Trem2; Capn3; Grn; Nfkbia; Nmnat2; Cadm1; Elf4; Prkcd; Cmklr1; Fgfr4; Srgn; Naglu; Serpine2; Cd14; Calr; Il10ra"
"GO_metabolism","Elf4",1,10,9.61538461538462,-1.09235097769594,"Tnf; Lyl1; Tmbim6; Hspbp1; Junb; Elf4; Runx1; Nfkbiz; Pik3cg; Prkcd"
"GO_metabolism","Stat6",1,57,54.8076923076923,0.853295494475855,"Nfkbia; Nfkbiz; Rac2; Fgr; Laptm5; Dusp2; Junb; Ccl2; Epha2; Elf4; Cadm1; Atf3; Cd74; Tlr7; Lgmn; Nub1; Plcb2; Prkcd; Plau; B2m; Cmklr1; Runx1; Tnf; Tspo; Prex1; Hp; Cebpa; Csf1r; Il1b; Cybb; E2f8; S100a8; Rest; Lrp5; C3; Top2a; Ncf2; Serpine2; Plaur; Nmnat2; Trem2; Tmem119; Ctsz; Stat1; Siglec1; Ctsh; Tlr2; Ptger4; Aif1; Vav1; Il10rb; Tmbim6; Calr; Ltf; Ncf1; Osm; Cd14"
"GO_metabolism","Irf1",1,58,55.7692307692308,0.692019085391932,"Nfkbia; Nfkbiz; Rac2; Junb; Epha2; Ccl2; Dusp2; Fgr; Laptm5; Il1b; Cmklr1; Runx1; Elf4; Plau; Stat1; Prkcd; E2f8; C3; Atf3; Plcb2; Nub1; B2m; Lrp5; Tlr7; Siglec1; Csf1r; Cd74; Cadm1; Tnf; Srgn; Ctsz; Prex1; Ctsh; Cebpa; Osm; Nmi; Cybb; Psmb8; Psmb10; Tmbim6; Tlr2; H2-M3; Aif1; Serpine2; Il10ra; Ncf1; Grn; Wdfy4; Lgmn; Ucp2; Ptger4; Capn3; Cd84; Rest; Fcer1g; Erp29; Ctsc; Top2a"
"GO_metabolism","Nfatc3",1,64,61.5384615384615,-0.14130313631306,"Nfkbia; Ccl2; Nfkbiz; Il1b; Junb; Epha2; Rac2; Ctsh; Stat1; Prkcd; Nub1; Cd74; Laptm5; B2m; Fgr; Siglec1; Tlr2; Cebpa; Plcb2; Elf4; E2f8; Prex1; Psap; Calr; Lrp5; Aif1; Plau; Atf3; Ncf2; Hp; Runx1; Csf1r; Tnf; Tlr7; Nmnat2; Ncf1; C3; Plbd1; Serpine2; Pik3cg; Lyl1; Wdfy4; Vav1; Rest; Ctsc; P2ry6; Ptpn6; Grn; Ptger4; Ucp2; Srgn; Cybb; Tyrobp; Tmbim6; Cmklr1; Erp29; Ctsz; Cd84; Dusp2; Ltf; Cadm1; Naglu; Mov10; Tspo"
"GO_metabolism","Irf2",1,47,45.1923076923077,0.661811793016414,"Osm; Nmi; Cybb; Elf4; Psmb8; Stat1; Psmb10; Tmbim6; Atf3; Nub1; B2m; Siglec1; Tlr2; Il10ra; H2-M3; E2f8; Rac2; Ptger4; Cebpa; Runx1; Nfkbiz; Cadm1; Lrp5; Il1b; Srgn; Fgr; Tlr7; Ctsz; Aif1; Junb; Cmklr1; Serpine2; Ncf1; Grn; Wdfy4; Lgmn; Ucp2; Prkcd; Plau; Capn3; Cd84; Rest; Fcer1g; Erp29; Ctsc; Top2a; Prex1"
"GO_metabolism","Irf7",1,47,45.1923076923077,0.664932438930041,"Osm; Nmi; Cybb; Elf4; Psmb8; Stat1; Psmb10; Tmbim6; Atf3; Nub1; B2m; Siglec1; Tlr2; Il10ra; H2-M3; E2f8; Rac2; Ptger4; Cebpa; Runx1; Nfkbiz; Cadm1; Lrp5; Il1b; Srgn; Fgr; Tlr7; Ctsz; Aif1; Junb; Cmklr1; Serpine2; Ncf1; Grn; Wdfy4; Lgmn; Ucp2; Prkcd; Plau; Capn3; Cd84; Rest; Fcer1g; Erp29; Ctsc; Top2a; Prex1"
"GO_metabolism","Irf5",1,49,47.1153846153846,0.594786322983617,"Osm; Nmi; Cybb; Elf4; Psmb8; Stat1; Psmb10; Tmbim6; Atf3; Nub1; B2m; Siglec1; Tlr2; H2-M3; Cadm1; Lrp5; Il1b; Srgn; Fgr; Runx1; Tlr7; Rac2; Ctsz; Aif1; Nfkbiz; Junb; Cmklr1; Serpine2; Il10ra; Ncf1; Cebpa; Grn; Wdfy4; Lgmn; Ucp2; Prkcd; Ptger4; Plau; Capn3; Cd84; Rest; Fcer1g; Erp29; Ctsc; E2f8; Tspo; P2ry6; Top2a; Prex1"
"GO_metabolism","Irf8",1,46,44.2307692307692,0.702075043659047,"Osm; Nmi; Cybb; Elf4; Psmb8; Stat1; Psmb10; Tmbim6; Atf3; Nub1; B2m; Siglec1; Tlr2; H2-M3; Cadm1; Lrp5; Il1b; Srgn; Fgr; Runx1; Tlr7; Rac2; Ctsz; Aif1; Nfkbiz; Junb; Cmklr1; Serpine2; Il10ra; Ncf1; Cebpa; Grn; Wdfy4; Lgmn; Ucp2; Prkcd; Ptger4; Plau; Capn3; Cd84; Rest; Fcer1g; Erp29; Ctsc; Top2a; Prex1"
