"gene_list","label","n_tfs","n_targets","pct_outdeg","NES","targets"
"GO_metabolism","CEBP-related",3,38,36.5384615384615,0.732426300769374,"E2f8; Tmbim6; Nfkbiz; Il1b; Atf3; Fcer1g; Siglec1; Osm; Tspo; B2m; Plcb2; Ctsd; C3; Hp; Runx1; P2ry6; Ncf2; Fgr; Ptger4; Ltf; Ucp2; S100a8; Trem2; Capn3; Grn; Nfkbia; Nmnat2; Cadm1; Elf4; Prkcd; Cmklr1; Fgfr4; Srgn; Naglu; Serpine2; Cd14; Calr; Il10ra"
"GO_metabolism","E2F",1,24,23.0769230769231,0.92141188537026,"Elf4; Cybb; Csf1r; Grn; Ctsc; Erp29; Psmb8; Plau; Serpine2; P2ry6; Ccl2; Fgr; Ucp2; Rac2; Il1b; Prkcd; Laptm5; Calr; Ptpn6; Junb; Cadm1; Vav1; Psap; E2f8"
"GO_metabolism","Ets-related",5,38,36.5384615384615,-0.651954574334156,"Tnf; Lyl1; Tmbim6; Hspbp1; Junb; Elf4; Runx1; Nfkbiz; Plau; Pik3cg; Aif1; Cybb; Laptm5; Ncf2; Ptpn6; Psap; Il1b; Prkcd; Grn; Calr; Dusp2; Wdfy4; Osm; Rest; Plbd1; Fgr; Siglec1; Ctsz; Capn3; Cd74; Ccl2; Il10ra; Plcb2; Lgals9; Prex1; Ucp2; Fcer1g; Cadm1"
"GO_metabolism","Interferon-regulatory factors",6,60,57.6923076923077,0.674074727939622,"Nfkbia; Nfkbiz; Rac2; Junb; Epha2; Ccl2; Dusp2; Fgr; Laptm5; Il1b; Cmklr1; Runx1; Elf4; Plau; Stat1; Prkcd; E2f8; C3; Atf3; Plcb2; Nub1; B2m; Lrp5; Tlr7; Siglec1; Csf1r; Cd74; Cadm1; Tnf; Srgn; Ctsz; Prex1; Ctsh; Cebpa; Osm; Nmi; Cybb; Psmb8; Psmb10; Tmbim6; Tlr2; H2-M3; Il10ra; Ptger4; Aif1; Serpine2; Ncf1; Grn; Wdfy4; Lgmn; Ucp2; Capn3; Cd84; Rest; Fcer1g; Erp29; Ctsc; Tspo; P2ry6; Top2a"
"GO_metabolism","Jun-related",1,31,29.8076923076923,-0.0194922265271983,"Osm; Atf3; Nub1; Elf4; Cd84; Ncf1; Tmbim6; H2-M3; Capn3; B2m; Prkcd; Ptger4; Rac2; Plau; Il1b; Nmi; Cybb; Psmb10; Srgn; Rest; Stat1; Runx1; Psmb8; Lrp5; Fcer1g; Siglec1; Tlr2; Wdfy4; Cadm1; Erp29; Ctsc"
"GO_metabolism","More than 3 adjacent zinc fingers",1,63,60.5769230769231,0.671354029996615,"Nfkbia; Nfkbiz; Ccl2; Rac2; Runx1; Fgr; Dusp2; Cadm1; Atf3; Laptm5; Il10rb; Siglec1; Tlr2; Ctsh; Ctsz; Elf4; Epha2; Plau; Tmbim6; E2f8; Prkcd; Nub1; Junb; Lgmn; Plbd1; Serpine2; Pik3cg; Il1b; Cd74; Lyl1; Aif1; Wdfy4; Vav1; B2m; Rest; Ctsc; Ncf1; P2ry6; Ptpn6; Grn; Ptger4; Ucp2; Srgn; Cybb; Cebpa; Tlr7; Tyrobp; Ncf2; Cmklr1; Nmnat2; Erp29; Cd84; Stat1; Plcb2; Tnf; Prex1; Csf1r; Calr; Ltf; Lrp5; Fgfr4; Osm; Capn3"
"GO_metabolism","MyoD/ASC-related factors",1,13,12.5,-0.337645343725759,"Cadm1; Il1b; P2ry6; Osm; Cndp2; Elf4; Fgr; Ccl2; Atf3; Rest; Tmbim6; Runx1; Prkcd"
"GO_metabolism","NF-kappaB-related factors",1,66,63.4615384615385,0.741883295418975,"Nfkbia; Ccl2; Nfkbiz; Rac2; Prkcd; Laptm5; Ctsh; Epha2; Cadm1; Dusp2; Siglec1; Runx1; Fgr; Cmklr1; Cd74; Wdfy4; Atf3; Il10rb; Stat1; Il1b; E2f8; B2m; Cebpa; Elf4; Cybb; Csf1r; Plcb2; Aif1; Junb; Tmbim6; Ctsz; Psap; Naglu; H2-M3; Nub1; Plau; Tspo; Tlr7; Ptger4; Lgmn; Tnf; Prex1; Hp; S100a8; Rest; Lrp5; C3; Top2a; Ncf2; Serpine2; Plaur; Nmnat2; Trem2; Tmem119; Srgn; Tlr2; Calr; Ncf1; Vav1; Ltf; Ctsc; Mov10; Tyrobp; Igtp; Pik3cg; Ptpn6"
"GO_metabolism","NFAT-related factors",1,64,61.5384615384615,-0.190468397061196,"Nfkbia; Ccl2; Nfkbiz; Il1b; Junb; Epha2; Rac2; Ctsh; Stat1; Prkcd; Nub1; Cd74; Laptm5; B2m; Fgr; Siglec1; Tlr2; Cebpa; Plcb2; Elf4; E2f8; Prex1; Psap; Calr; Lrp5; Aif1; Plau; Atf3; Ncf2; Hp; Runx1; Csf1r; Tnf; Tlr7; Nmnat2; Ncf1; C3; Plbd1; Serpine2; Pik3cg; Lyl1; Wdfy4; Vav1; Rest; Ctsc; P2ry6; Ptpn6; Grn; Ptger4; Ucp2; Srgn; Cybb; Tyrobp; Tmbim6; Cmklr1; Erp29; Ctsz; Cd84; Dusp2; Ltf; Cadm1; Naglu; Mov10; Tspo"
"GO_metabolism","Runt-related factors",2,4,3.84615384615385,NA,"Pik3cg; Junb; Runx1; Prkcd"
