"ensembl_id","baseMean_MN","log2FoldChange_MN","lfcSE_MN","stat_MN","pvalue_MN","padj_MN","baseMean_RGC","log2FoldChange_RGC","lfcSE_RGC","stat_RGC","pvalue_RGC","padj_RGC","symbol","is_sig_RGC","is_sig_MN","Specificity","EAE_Combined_Score"
"ENSMUSG00000001123",84.3521409104267,4.62493463270158,0.960507650679001,4.81509400724932,1.47130609414315e-06,5.36676413387454e-05,30.6173781424531,1.12985014474492,0.515326317913019,2.19249455242381,0.028343816017223,0.680127812291005,"Lgals9",TRUE,TRUE,"Both",2.87739238872325
"ENSMUSG00000002111",53.4715017973099,10.3141751790372,1.04596527064298,9.86091552800492,6.14861624843534e-23,1.98859913066062e-20,18.0498981535237,1.53008023782568,0.745544140045815,2.05229999893991,0.0401405161205074,0.696855418224102,"Spi1",TRUE,TRUE,"Both",5.92212770843145
"ENSMUSG00000003644",187.35114805947,1.90987392920479,0.687908102724407,2.77635038988621,0.00549729288211076,0.0433410620835536,109.18400886025,0.435154024509188,0.219302043282497,1.98426798946254,0.0472259726845797,0.722455379730796,"Rps6ka1",FALSE,TRUE,"MN_Only",1.90987392920479
"ENSMUSG00000004266",54.4016334615103,9.79334918875726,1.08236533324607,9.04809946137737,1.45478231190409e-19,3.25736950268493e-17,33.5234130743079,1.24480855751195,0.539793961127358,2.30608092560386,0.0211061109088631,0.634396161004537,"Ptpn6",TRUE,TRUE,"Both",5.51907887313461
"ENSMUSG00000006445",2.87373662196277,6.02309088936482,2.11371017031794,2.8495348955334,0.00437832025762553,0.0366008460824135,63.3588615246876,1.02399000519129,0.31240988428034,3.27771321176386,0.00104651662224064,0.206062861407563,"Epha2",TRUE,TRUE,"Both",3.52354044727806
"ENSMUSG00000007891",4011.05266871078,0.966835782492297,0.405865843939759,2.38215606690915,0.0172116013106783,0.094921426856996,1714.61729119371,0.565220636819768,0.223945039956235,2.52392567806024,0.0116052461297522,0.543501370593648,"Ctsd",FALSE,TRUE,"MN_Only",0.966835782492297
"ENSMUSG00000015947",159.911228446306,6.77747527392054,1.05002420408246,6.45458956809751,1.08512584584389e-10,9.1288563933017e-09,24.778550936857,1.55080735238753,0.663386142885753,2.33771442020399,0.0194020676159066,0.618652001253812,"Fcgr1",TRUE,TRUE,"Both",4.16414131315403
"ENSMUSG00000015950",322.45636537179,7.4426751612425,1.00930607213277,7.37405170417267,1.65518947082597e-13,2.02433845028582e-11,46.7960760246606,1.58872754601396,0.491535713468196,3.23217113727945,0.00122853455267241,0.217975788786506,"Ncf1",TRUE,TRUE,"Both",4.51570135362823
"ENSMUSG00000016206",47.8749343940004,3.21731224373361,1.09242955764517,2.94509812666441,0.00322852253217133,0.0293674480832635,4.99076373018541,2.77623571623113,0.957810721948233,2.89852227858144,0.0037492567126517,0.355209752345191,"H2-M3",TRUE,TRUE,"Both",2.99677397998237
"ENSMUSG00000018819",67.1561411752964,3.99217615535353,1.37418722291295,2.90511808637767,0.00367114566855093,0.0323532663300848,28.1740451097393,1.21587086105228,0.518294253625619,2.34590843434384,0.0189807697956477,0.613525470747555,"Lsp1",TRUE,TRUE,"Both",2.60402350820291
"ENSMUSG00000020077",67.8809117946799,5.73118045834232,1.37205393006946,4.17708104086856,2.95273846025803e-05,0.00071841457176258,10.3675595672063,1.53977835693911,0.617894984480489,2.49197419563734,0.0127035266293268,0.561441384676815,"Srgn",TRUE,TRUE,"Both",3.63547940764071
"ENSMUSG00000020573",31.1908423164579,5.35629477139529,1.53742361748962,3.48394203813606,0.00049408647652042,0.00690771813571396,25.0633801923576,1.16147058324642,0.570466364989266,2.03600186536549,0.0417501679591568,0.706306104505011,"Pik3cg",TRUE,TRUE,"Both",3.25888267732085
"ENSMUSG00000020914",62.3629256284735,6.67571537808108,1.08605517361768,6.1467552848573,7.90839963210392e-10,5.84258112922033e-08,6.18385657978335,3.01900067561321,0.855827901702455,3.52757916586695,0.00041937833211887,0.122878991617558,"Top2a",TRUE,TRUE,"Both",4.84735802684714
"ENSMUSG00000021190",911.402216589461,1.03945318374745,0.389229098474012,2.67054335819873,0.00757285905274684,0.0543064182524858,836.062449164162,0.603486271618759,0.243977283512063,2.47353467885022,0.0133783819312056,0.566187782036808,"Lgmn",TRUE,TRUE,"Both",0.821469727683106
"ENSMUSG00000021948",209.986401265956,1.58826287627987,0.76685987590329,2.07112528140691,0.0383470898295614,0.160208324596071,70.1526644432793,0.740655034971372,0.343177221851767,2.15822900766792,0.0309100311470919,0.680309564031789,"Prkcd",TRUE,TRUE,"Both",1.16445895562562
"ENSMUSG00000023010",1890.51969367454,0.809405776454669,0.402472301691416,2.01108442258781,0.0443165402641641,0.175410097091282,1449.75189903992,0.1864834415346,0.0866031301138614,2.153310640036,0.0312942731343284,0.684153246434481,"Tmbim6",FALSE,TRUE,"MN_Only",0.809405776454669
"ENSMUSG00000023992",115.339818774932,6.7813792895808,1.22464476451278,5.53742561605508,3.0694998907693e-08,1.65457412630579e-06,44.5282315430945,1.43889054067526,0.662785656489195,2.17097417028777,0.0299331249382525,0.680309564031789,"Trem2",TRUE,TRUE,"Both",4.11013491512803
"ENSMUSG00000024164",555.599898675846,3.8025885961287,0.406811793753593,9.34729192839461,8.99204927480915e-21,2.33696937759951e-18,13.3388916693305,1.32784089880103,0.624635390427242,2.12578556891054,0.0335211181672642,0.690111701055,"C3",TRUE,TRUE,"Both",2.56521474746487
"ENSMUSG00000024401",7.89369334850777,8.10147789082943,2.95837073009974,2.73849312001417,0.00617214518312829,0.0471050870452277,13.6837434826108,2.93711312548346,1.06083263422265,2.76868662476215,0.0056282741405046,0.423662553453052,"Tnf",TRUE,TRUE,"Both",5.51929550815645
"ENSMUSG00000024610",2572.31737912772,10.3917574533346,0.525742037310767,19.7658865296175,5.856051908769e-87,4.2614489740112e-83,38.4147034416753,1.78436048653852,0.791624143627771,2.25405010812498,0.0241930158486132,0.645342825670532,"Cd74",TRUE,TRUE,"Both",6.08805896993655
"ENSMUSG00000024621",286.369669634884,5.70310824536726,0.840644215341667,6.78421160972282,1.16722140988664e-11,1.14782029726284e-09,588.733075173128,1.43884800702566,0.73219509339032,1.96511560923371,0.0494008583834262,0.724996727190948,"Csf1r",TRUE,TRUE,"Both",3.57097812619646
"ENSMUSG00000024913",33.6893667686762,6.1488515207602,1.76697616601448,3.4798723599251,0.00050165271967933,0.00697330819695605,66.0912736811784,0.720235868514748,0.348058979393341,2.06929259451976,0.0385186381531544,0.696855418224102,"Lrp5",TRUE,TRUE,"Both",3.43454369463748
"ENSMUSG00000026068",10.0717707879807,8.48878171801723,2.31979423715598,3.6592821820371,0.00025292271722455,0.00408097253490701,3.22891460510431,2.29710298187709,1.01865507973704,2.2550351218688,0.0241311243267539,0.645342825670532,"Il18rap",TRUE,TRUE,"Both",5.39294234994716
"ENSMUSG00000026223",1351.04536480847,1.63184351720635,0.376290453251513,4.33665936274929,1.44664551925405e-05,0.00039354166144343,2481.53191932653,0.265031819070438,0.124065270795868,2.136228917007,0.0326607595375353,0.688780006983938,"Itm2c",FALSE,TRUE,"MN_Only",1.63184351720635
"ENSMUSG00000026628",83.6326864267069,4.48142675689519,1.34728812440404,3.32625714998973,0.00088020683335523,0.0108840528909534,26.5664594181799,1.52930558766052,0.779776978557399,1.96120894783244,0.0498546535053997,0.724996727190948,"Atf3",TRUE,TRUE,"Both",3.00536617227785
"ENSMUSG00000026822",146.046969147504,2.81379731774554,1.14502320335672,2.45741510695738,0.0139940881082738,0.0822367203013902,12.8374680806158,4.59500291452505,1.06533581601656,4.31319668919648,1.60910843390064e-05,0.017684101688568,"Lcn2",TRUE,TRUE,"Both",3.7044001161353
"ENSMUSG00000027398",24.057294502576,7.98470063668762,1.61538878532871,4.94289715838458,7.69700914180941e-07,3.06910331643545e-05,15.213788354226,2.79320232212688,0.97128158547407,2.87579046478427,0.00403017148823901,0.367057331401216,"Il1b",TRUE,TRUE,"Both",5.38895147940725
