"ensembl_id","baseMean_MN","log2FoldChange_MN","lfcSE_MN","stat_MN","pvalue_MN","padj_MN","baseMean_RGC","log2FoldChange_RGC","lfcSE_RGC","stat_RGC","pvalue_RGC","padj_RGC","symbol","is_sig_RGC","is_sig_MN","Specificity","EAE_Combined_Score"
"ENSMUSG00000000290",153.243122386741,9.13586120725728,0.800159538864245,11.4175495804559,3.41733637193751e-30,2.76310630873214e-27,63.3297673684678,1.49631284384384,0.561605569045694,2.66434830122223,0.00771376488209717,0.463959712803425,"Itgb2",TRUE,TRUE,"Both",5.31608702555056
"ENSMUSG00000001123",84.3521409104267,4.62493463270158,0.960507650679001,4.81509400724932,1.47130609414315e-06,5.36676413387454e-05,30.6173781424531,1.12985014474492,0.515326317913019,2.19249455242381,0.028343816017223,0.680127812291005,"Lgals9",TRUE,TRUE,"Both",2.87739238872325
"ENSMUSG00000001751",52.7303996159553,3.36001035234435,1.60995034941533,2.08702731333583,0.0368856656514381,0.156011036876207,84.6667531129928,0.527187021678592,0.205850197512574,2.5610226662347,0.0104364546951655,0.521994941001519,"Naglu",FALSE,TRUE,"MN_Only",3.36001035234435
"ENSMUSG00000002111",53.4715017973099,10.3141751790372,1.04596527064298,9.86091552800492,6.14861624843534e-23,1.98859913066062e-20,18.0498981535237,1.53008023782568,0.745544140045815,2.05229999893991,0.0401405161205074,0.696855418224102,"Spi1",TRUE,TRUE,"Both",5.92212770843145
"ENSMUSG00000002227",29.8015012894671,3.59620516630286,1.23533269804632,2.91112278659041,0.00360132462664102,0.0319422854034978,20.5121150163487,0.859932275529065,0.429731377480258,2.00109259084431,0.0453824126585215,0.713267963969361,"Mov10",TRUE,TRUE,"Both",2.22806872091596
"ENSMUSG00000003814",935.339539854557,1.52073358506009,0.380489924370479,3.99677754299578,6.42105893122343e-05,0.00137429546595626,1936.35343875107,0.254229051340668,0.115082273427589,2.2091069612092,0.0271672020549109,0.675876757237634,"Calr",FALSE,TRUE,"MN_Only",1.52073358506009
"ENSMUSG00000004207",3269.8903967386,1.78060734864378,0.302710154671675,5.88221875336512,4.04802826926812e-09,2.72754645513556e-07,4629.4342089887,0.171611234444839,0.0689255271108523,2.48980663098649,0.0127812613238165,0.561772964032306,"Psap",FALSE,TRUE,"MN_Only",1.78060734864378
"ENSMUSG00000004266",54.4016334615103,9.79334918875726,1.08236533324607,9.04809946137737,1.45478231190409e-19,3.25736950268493e-17,33.5234130743079,1.24480855751195,0.539793961127358,2.30608092560386,0.0211061109088631,0.634396161004537,"Ptpn6",TRUE,TRUE,"Both",5.51907887313461
"ENSMUSG00000005320",5.28441956032191,6.97347735093993,2.26846362732215,3.074097052714,0.00211140732781769,0.0210303191519847,267.602147391432,0.752698663873495,0.231437995556156,3.25226919661453,0.00114487534762295,0.212059214669262,"Fgfr4",TRUE,TRUE,"Both",3.86308800740671
"ENSMUSG00000005800",6.42429165312506,7.87147059398313,2.92717045539884,2.68910564448513,0.00716437417600404,0.0522396301390595,4.40838181897913,5.34839938581508,1.45273945466479,3.68159573875496,0.00023177872128109,0.0904418115774125,"Mmp8",TRUE,TRUE,"Both",6.60993498989911
