"ensembl_id","baseMean_MN","log2FoldChange_MN","lfcSE_MN","stat_MN","pvalue_MN","padj_MN","baseMean_RGC","log2FoldChange_RGC","lfcSE_RGC","stat_RGC","pvalue_RGC","padj_RGC","symbol","is_sig_RGC","is_sig_MN","Specificity","EAE_Combined_Score"
"ENSMUSG00000001123",84.3521409104267,4.62493463270158,0.960507650679001,4.81509400724932,1.47130609414315e-06,5.36676413387454e-05,30.6173781424531,1.12985014474492,0.515326317913019,2.19249455242381,0.028343816017223,0.680127812291005,"Lgals9",TRUE,TRUE,"Both",2.87739238872325
"ENSMUSG00000003644",187.35114805947,1.90987392920479,0.687908102724407,2.77635038988621,0.00549729288211076,0.0433410620835536,109.18400886025,0.435154024509188,0.219302043282497,1.98426798946254,0.0472259726845797,0.722455379730796,"Rps6ka1",FALSE,TRUE,"MN_Only",1.90987392920479
"ENSMUSG00000003814",935.339539854557,1.52073358506009,0.380489924370479,3.99677754299578,6.42105893122343e-05,0.00137429546595626,1936.35343875107,0.254229051340668,0.115082273427589,2.2091069612092,0.0271672020549109,0.675876757237634,"Calr",FALSE,TRUE,"MN_Only",1.52073358506009
"ENSMUSG00000007891",4011.05266871078,0.966835782492297,0.405865843939759,2.38215606690915,0.0172116013106783,0.094921426856996,1714.61729119371,0.565220636819768,0.223945039956235,2.52392567806024,0.0116052461297522,0.543501370593648,"Ctsd",FALSE,TRUE,"MN_Only",0.966835782492297
"ENSMUSG00000015340",182.282696562758,9.87929244327167,1.0626223786359,9.29708675621324,1.44346432780217e-20,3.6769788436297e-18,18.1245550491036,2.08414218024345,0.676918225066112,3.0788684704713,0.00207788397318038,0.281745432009325,"Cybb",TRUE,TRUE,"Both",5.98171731175756
"ENSMUSG00000015950",322.45636537179,7.4426751612425,1.00930607213277,7.37405170417267,1.65518947082597e-13,2.02433845028582e-11,46.7960760246606,1.58872754601396,0.491535713468196,3.23217113727945,0.00122853455267241,0.217975788786506,"Ncf1",TRUE,TRUE,"Both",4.51570135362823
"ENSMUSG00000020571",340.630569853129,1.86115262207771,0.425811492944795,4.37083698517973,1.23771174351516e-05,0.00034181511793395,427.823939411287,0.399601422101687,0.150799023850199,2.64989395752749,0.00805170384805183,0.471073714982881,"Pdia6",FALSE,TRUE,"MN_Only",1.86115262207771
"ENSMUSG00000020573",31.1908423164579,5.35629477139529,1.53742361748962,3.48394203813606,0.00049408647652042,0.00690771813571396,25.0633801923576,1.16147058324642,0.570466364989266,2.03600186536549,0.0417501679591568,0.706306104505011,"Pik3cg",TRUE,TRUE,"Both",3.25888267732085
"ENSMUSG00000021025",142.434049361981,4.18573870889011,0.966303259251138,4.33170298125038,1.47960454146638e-05,0.00040100864984174,104.189960198124,0.819333785432412,0.322627034531412,2.53956952684521,0.011098898262281,0.536555242972736,"Nfkbia",TRUE,TRUE,"Both",2.50253624716126
"ENSMUSG00000021190",911.402216589461,1.03945318374745,0.389229098474012,2.67054335819873,0.00757285905274684,0.0543064182524858,836.062449164162,0.603486271618759,0.243977283512063,2.47353467885022,0.0133783819312056,0.566187782036808,"Lgmn",TRUE,TRUE,"Both",0.821469727683106
"ENSMUSG00000021948",209.986401265956,1.58826287627987,0.76685987590329,2.07112528140691,0.0383470898295614,0.160208324596071,70.1526644432793,0.740655034971372,0.343177221851767,2.15822900766792,0.0309100311470919,0.680309564031789,"Prkcd",TRUE,TRUE,"Both",1.16445895562562
"ENSMUSG00000023010",1890.51969367454,0.809405776454669,0.402472301691416,2.01108442258781,0.0443165402641641,0.175410097091282,1449.75189903992,0.1864834415346,0.0866031301138614,2.153310640036,0.0312942731343284,0.684153246434481,"Tmbim6",FALSE,TRUE,"MN_Only",0.809405776454669
"ENSMUSG00000023992",115.339818774932,6.7813792895808,1.22464476451278,5.53742561605508,3.0694998907693e-08,1.65457412630579e-06,44.5282315430945,1.43889054067526,0.662785656489195,2.17097417028777,0.0299331249382525,0.680309564031789,"Trem2",TRUE,TRUE,"Both",4.11013491512803
"ENSMUSG00000024066",77.5770894822924,4.4935909311933,1.27947484412815,3.5120588355571,0.00044464955037827,0.00636738213824175,6.49545621485004,1.82960352944119,0.8566623999076,2.13573460168036,0.0327010523568418,0.688780006983938,"Xdh",TRUE,TRUE,"Both",3.16159723031725
"ENSMUSG00000024164",555.599898675846,3.8025885961287,0.406811793753593,9.34729192839461,8.99204927480915e-21,2.33696937759951e-18,13.3388916693305,1.32784089880103,0.624635390427242,2.12578556891054,0.0335211181672642,0.690111701055,"C3",TRUE,TRUE,"Both",2.56521474746487
"ENSMUSG00000024401",7.89369334850777,8.10147789082943,2.95837073009974,2.73849312001417,0.00617214518312829,0.0471050870452277,13.6837434826108,2.93711312548346,1.06083263422265,2.76868662476215,0.0056282741405046,0.423662553453052,"Tnf",TRUE,TRUE,"Both",5.51929550815645
"ENSMUSG00000026104",621.998790141765,4.57710415073374,0.477543249606437,9.58469029665045,9.27354432544221e-22,2.64641498259776e-19,262.624458495015,0.356000236978401,0.176442225425861,2.01765895957817,0.0436267918360039,0.706306104505011,"Stat1",FALSE,TRUE,"MN_Only",4.57710415073374
"ENSMUSG00000026480",20.7582878320258,4.51270933100788,1.21162863494676,3.72449874561291,0.00019570368534111,0.00336358423562075,16.8714429402578,1.52451969318608,0.61476828361922,2.47982814632375,0.0131445718479694,0.566187782036808,"Ncf2",TRUE,TRUE,"Both",3.01861451209698
"ENSMUSG00000026628",83.6326864267069,4.48142675689519,1.34728812440404,3.32625714998973,0.00088020683335523,0.0108840528909534,26.5664594181799,1.52930558766052,0.779776978557399,1.96120894783244,0.0498546535053997,0.724996727190948,"Atf3",TRUE,TRUE,"Both",3.00536617227785
"ENSMUSG00000026822",146.046969147504,2.81379731774554,1.14502320335672,2.45741510695738,0.0139940881082738,0.0822367203013902,12.8374680806158,4.59500291452505,1.06533581601656,4.31319668919648,1.60910843390064e-05,0.017684101688568,"Lcn2",TRUE,TRUE,"Both",3.7044001161353
