"ParentTerm","TF","enrichment_score","NES_MN","NES_RGC","n_targets"
"actin_cytoskeleton_organization","Pura",2.0483802942639,1.78974748996083,2.30701309856696,14
"actin_cytoskeleton_organization","Yy1",2.09251646441341,1.8117641432106,2.37326878561621,15
"actin_cytoskeleton_organization","Nfatc3",2.09251646441341,1.8117641432106,2.37326878561621,15
"actin_cytoskeleton_organization","Tbp",1.95434829359396,1.72798018702768,2.18071640016024,11
"actin_cytoskeleton_organization","Rela",2.04614633729229,1.78527957601763,2.30701309856696,14
"actin_cytoskeleton_organization","Bcl3",2.01617862217856,1.77296212292883,2.25939512142828,13
"actin_cytoskeleton_organization","Ap3b1",2.04614633729229,1.78527957601763,2.30701309856696,14
"actin_cytoskeleton_organization","Stat6",2.01617862217856,1.77296212292883,2.25939512142828,13
"actin_cytoskeleton_organization","Ehf",2.00522946354282,1.77420230249292,2.23625662459271,12
"actin_cytoskeleton_organization","Ets1",2.0483802942639,1.78974748996083,2.30701309856696,14
"actin_cytoskeleton_organization","Gata1",2.0483802942639,1.78974748996083,2.30701309856696,14
"actin_cytoskeleton_organization","Ltf",2.00233540598738,1.76816682754303,2.23650398443173,12
"actin_cytoskeleton_organization","Irf1",1.9937535496547,1.75125047471669,2.23625662459271,12
"actin_cytoskeleton_organization","E2f6",1.96013112161922,1.73978703274807,2.18047521049037,11
"actin_cytoskeleton_organization","Irf2",1.95422769875902,1.72798018702768,2.18047521049037,11
"actin_cytoskeleton_organization","Irf7",1.95422769875902,1.72798018702768,2.18047521049037,11
"actin_cytoskeleton_organization","Irf5",1.95422769875902,1.72798018702768,2.18047521049037,11
"actin_cytoskeleton_organization","Irf8",1.95422769875902,1.72798018702768,2.18047521049037,11
"actin_cytoskeleton_organization","Irf9",1.95422769875902,1.72798018702768,2.18047521049037,11
"actin_cytoskeleton_organization","Stat1",2.02430844258787,1.78922176374745,2.25939512142828,13
"actin_cytoskeleton_organization","Stat2",1.96683959553177,1.75320398057318,2.18047521049037,11
"actin_cytoskeleton_organization","Fli1",2.0483802942639,1.78974748996083,2.30701309856696,14
"actin_cytoskeleton_organization","Elf4",2.0483802942639,1.78974748996083,2.30701309856696,14
"actin_cytoskeleton_organization","Ets2",2.0483802942639,1.78974748996083,2.30701309856696,14
"actin_cytoskeleton_organization","Bptf",2.02430844258787,1.78922176374745,2.25939512142828,13
"actin_cytoskeleton_organization","Stat3",1.78035149834129,1.60115248516439,1.95955051151819,7
"actin_cytoskeleton_organization","Runx2",2.01617862217856,1.77296212292883,2.25939512142828,13
"actin_cytoskeleton_organization","Nr3c1",2.01617862217856,1.77296212292883,2.25939512142828,13
"actin_cytoskeleton_organization","Runx3",1.9937535496547,1.75125047471669,2.23625662459271,12
"actin_cytoskeleton_organization","Nr1h3",1.97760996293429,1.77474471537821,2.18047521049037,11
"actin_cytoskeleton_organization","Nr1h2",1.97760996293429,1.77474471537821,2.18047521049037,11
"actin_cytoskeleton_organization","Thra",1.97760996293429,1.77474471537821,2.18047521049037,11
"actin_cytoskeleton_organization","Jun",1.97760996293429,1.77474471537821,2.18047521049037,11
"actin_cytoskeleton_organization","Runx1",1.81384607378289,1.66554777954346,1.96214436802233,7
"actin_cytoskeleton_organization","3830417A13Rik",1.47821704334311,1.38128417950016,1.57514990718607,3
"actin_cytoskeleton_organization","Mtor",1.5716670119256,1.45987812747667,1.68345589637452,4
"actin_cytoskeleton_organization","Nlk",1.37151968820026,1.31865910479602,1.4243802716045,2
"actin_cytoskeleton_organization","Smad3",1.77388726720035,1.59341173589078,1.95436279850993,7
"actin_cytoskeleton_organization","Nfia",1.5716670119256,1.45987812747667,1.68345589637452,4
"actin_cytoskeleton_organization","Nfib",1.5716670119256,1.45987812747667,1.68345589637452,4
"actin_cytoskeleton_organization","Nfix",1.5716670119256,1.45987812747667,1.68345589637452,4
"actin_cytoskeleton_organization","Nfatc1",1.5716670119256,1.45987812747667,1.68345589637452,4
"actin_cytoskeleton_organization","Usf1",1.5716670119256,1.45987812747667,1.68345589637452,4
"actin_cytoskeleton_organization","Sox10",1.35706376674786,1.2919406649383,1.42218686855743,2
"actin_cytoskeleton_organization","Myf6",1.6393373611492,1.51472844352295,1.76394627877545,5
"actin_cytoskeleton_organization","Tfeb",1.6393373611492,1.51472844352295,1.76394627877545,5
"actin_cytoskeleton_organization","Mxd4",1.6393373611492,1.51472844352295,1.76394627877545,5
"apoptotic_process","Pura",2.40181204932146,2.02274670649264,2.78087739215029,31
"apoptotic_process","Yy1",2.44482570769651,2.02039310487376,2.86925831051925,34
