"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"KEGG","Graft-versus-host disease","KEGG:05332","false","2.974155207960545e-7","6.526636371321135","56","142","10","10539","ENSMUSG00000016206,ENSMUSG00000024401,ENSMUSG00000027398,ENSMUSG00000036594,ENSMUSG00000056116,ENSMUSG00000060586,ENSMUSG00000061232,ENSMUSG00000067212,ENSMUSG00000073411,ENSMUSG00000073421"
"KEGG","Chemokine signaling pathway","KEGG:04062","false","4.5147539701931547e-7","6.34536591141887","189","142","16","10539","ENSMUSG00000003283,ENSMUSG00000015950,ENSMUSG00000020573,ENSMUSG00000021025,ENSMUSG00000021948,ENSMUSG00000026104,ENSMUSG00000028874,ENSMUSG00000033220,ENSMUSG00000034116,ENSMUSG00000034855,ENSMUSG00000035352,ENSMUSG00000035385,ENSMUSG00000039621,ENSMUSG00000040061,ENSMUSG00000061353,ENSMUSG00000079227"
"KEGG","Epstein-Barr virus infection","KEGG:05169","false","8.143151363463679e-7","6.089207492542778","225","142","17","10539","ENSMUSG00000002102,ENSMUSG00000003814,ENSMUSG00000016206,ENSMUSG00000021025,ENSMUSG00000024401,ENSMUSG00000026104,ENSMUSG00000027995,ENSMUSG00000034855,ENSMUSG00000036594,ENSMUSG00000052776,ENSMUSG00000056116,ENSMUSG00000060586,ENSMUSG00000060802,ENSMUSG00000061232,ENSMUSG00000067212,ENSMUSG00000073411,ENSMUSG00000073421"
"KEGG","Type I diabetes mellitus","KEGG:04940","false","9.852670877752906e-7","6.006446024300813","63","142","10","10539","ENSMUSG00000016206,ENSMUSG00000024401,ENSMUSG00000027398,ENSMUSG00000036594,ENSMUSG00000056116,ENSMUSG00000060586,ENSMUSG00000061232,ENSMUSG00000067212,ENSMUSG00000073411,ENSMUSG00000073421"
"KEGG","Toxoplasmosis","KEGG:05145","false","0.000002272914163994508","5.643416964982211","109","142","12","10539","ENSMUSG00000020573,ENSMUSG00000021025,ENSMUSG00000022969,ENSMUSG00000024401,ENSMUSG00000026104,ENSMUSG00000027995,ENSMUSG00000032089,ENSMUSG00000036594,ENSMUSG00000060586,ENSMUSG00000073421,ENSMUSG00000078853,ENSMUSG00000079227"
"KEGG","Natural killer cell mediated cytotoxicity","KEGG:04650","false","0.000004603649766200573","5.336897723789462","116","142","12","10539","ENSMUSG00000000290,ENSMUSG00000002699,ENSMUSG00000004266,ENSMUSG00000024401,ENSMUSG00000030579,ENSMUSG00000033220,ENSMUSG00000034116,ENSMUSG00000058715,ENSMUSG00000059089,ENSMUSG00000061232,ENSMUSG00000067212,ENSMUSG00000073411"
"KEGG","Fc gamma R-mediated phagocytosis","KEGG:04666","false","0.0000047260910803732605","5.325497912978225","94","142","11","10539","ENSMUSG00000003283,ENSMUSG00000015947,ENSMUSG00000015950,ENSMUSG00000021948,ENSMUSG00000026656,ENSMUSG00000029622,ENSMUSG00000030403,ENSMUSG00000033220,ENSMUSG00000034116,ENSMUSG00000059089,ENSMUSG00000059498"
"KEGG","Allograft rejection","KEGG:05330","false","0.000004961290697515448","5.304405325548344","56","142","9","10539","ENSMUSG00000016206,ENSMUSG00000024401,ENSMUSG00000036594,ENSMUSG00000056116,ENSMUSG00000060586,ENSMUSG00000061232,ENSMUSG00000067212,ENSMUSG00000073411,ENSMUSG00000073421"
"KEGG","Rheumatoid arthritis","KEGG:05323","false","0.000023430957420432554","4.6302099651838535","87","142","10","10539","ENSMUSG00000000290,ENSMUSG00000024401,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000035352,ENSMUSG00000035385,ENSMUSG00000036594,ENSMUSG00000060586,ENSMUSG00000061353,ENSMUSG00000073421"
"KEGG","Viral myocarditis","KEGG:05416","false","0.00003237268470266645","4.489821282580577","90","142","10","10539","ENSMUSG00000000290,ENSMUSG00000016206,ENSMUSG00000033220,ENSMUSG00000036594,ENSMUSG00000056116,ENSMUSG00000060586,ENSMUSG00000061232,ENSMUSG00000067212,ENSMUSG00000073411,ENSMUSG00000073421"
"KEGG","Viral protein interaction with cytokine and cytokine receptor","KEGG:04061","false","0.000039881040192395866","4.399233522779483","92","142","10","10539","ENSMUSG00000022969,ENSMUSG00000024401,ENSMUSG00000024621,ENSMUSG00000026068,ENSMUSG00000032089,ENSMUSG00000034855,ENSMUSG00000035352,ENSMUSG00000035385,ENSMUSG00000061353,ENSMUSG00000079227"
"KEGG","Systemic lupus erythematosus","KEGG:05322","false","0.000054199426410050546","4.26600530955512","145","142","12","10539","ENSMUSG00000015947,ENSMUSG00000020180,ENSMUSG00000024164,ENSMUSG00000024401,ENSMUSG00000036594,ENSMUSG00000036887,ENSMUSG00000036896,ENSMUSG00000036905,ENSMUSG00000059089,ENSMUSG00000059498,ENSMUSG00000060586,ENSMUSG00000073421"
"KEGG","Influenza A","KEGG:05164","false","0.000054738085301921434","4.261710397962673","173","142","13","10539","ENSMUSG00000021025,ENSMUSG00000024401,ENSMUSG00000026104,ENSMUSG00000027398,ENSMUSG00000034855,ENSMUSG00000035352,ENSMUSG00000035385,ENSMUSG00000036594,ENSMUSG00000044583,ENSMUSG00000052776,ENSMUSG00000053113,ENSMUSG00000060586,ENSMUSG00000073421"
