"gene","atac_log2FC","atac_padj","is_sig_open","is_sig_close","regulating_TFs","n_regulating_TFs"
"Cndp2",-0.0375039749168188,0.999946325325023,FALSE,FALSE,"Nfatc3, Myf6",2
"P2ry6",-0.0457744570812833,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra, Myf6",5
"Lrp5",-0.0521061186800586,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Thra",3
"Gna15",-0.0552983722731796,0.999946325325023,FALSE,FALSE,"Stat1, Thra",2
"Ctsz",-0.0711801525364762,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
"Psap",-0.0746874766180943,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1",2
"Ptprf",-0.0916879134965206,0.999946325325023,FALSE,FALSE,"Nfatc3, Smad3, Cebpb, Myf6",4
"Il10rb",-0.10107943370723,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1",2
"Runx1",-0.10145767468825,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Myf6",4
"Lcp2",-0.102163428740864,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra, Cebpb",5
"Rin3",-0.113809436582754,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra",4
"Il10ra",-0.133263185868245,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1",2
"Myo1g",-0.135518378356208,0.999946325325023,FALSE,FALSE,"Nfatc3, Smad3",2
"Oas1a",-0.163075394252636,0.999946325325023,FALSE,FALSE,"Stat1",1
"Top2a",-0.166593282431195,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
"Il18rap",-0.172060780376001,0.999946325325023,FALSE,FALSE,"Nfatc3",1
"C3",-0.175000352853863,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra",4
"Apobr",-0.197539750549897,0.999946325325023,FALSE,FALSE,"Nfatc3",1
"Csf1r",-0.205564490022192,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra",4
"Plbd1",-0.207769324927241,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
"Fgd2",-0.212387497836443,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
"Spint1",-0.213260616600965,0.999946325325023,FALSE,FALSE,"Stat1, Smad3, Thra",3
"Wdfy4",-0.213880574830829,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1",2
"Fcgr2b",-0.221865328261265,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1",2
"Tspo",-0.23059269138457,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra",4
"Srgn",-0.230724766869216,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
"Pdia6",-0.237906663754496,0.999946325325023,FALSE,FALSE,"Nfatc3",1
"Myo1f",-0.250451372545005,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
"Fcgr1",-0.256559642904846,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
"Prex1",-0.261592828686773,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
