id	Regulatory function	ensembl_id	baseMean_MN	log2FoldChange_MN	lfcSE_MN	stat_MN	pvalue_MN	padj_MN	baseMean_RGC	log2FoldChange_RGC	lfcSE_RGC	stat_RGC	pvalue_RGC	padj_RGC	is_sig_RGC	is_sig_MN	Specificity	EAE_Combined_Score
Pura	Regulator	ENSMUSG00000043991	1897.82120738191	0.633434241981987	0.323117523393591	1.96038343983714	0.0499509899619605	0.190211069572573	1153.32631144788	-0.13362575777384	0.0874601742762548	-1.52784691866454	0.126550549997933	0.831814476596215	FALSE	TRUE	MN_Only	0.633434241981987
Yy1	Regulator	ENSMUSG00000021264	110.209281604598	-2.06599503017626	0.779509184572436	-2.65037932979516	0.0080401442886308	0.0562848773336858	385.899699256612	-0.0276781544738917	0.0883754955334003	-0.313188110650324	0.754137750721308	0.993412544857831	FALSE	TRUE	MN_Only	-2.06599503017626
Nfatc3	Regulator	ENSMUSG00000031902	102.441267442713	-1.69731721139441	0.804528218784189	-2.10970500694111	0.0348837729630556	0.150851058783991	116.858420748964	-0.190133789657517	0.165812721096844	-1.14667794123268	0.25151475049312	0.908383582099212	FALSE	TRUE	MN_Only	-1.69731721139441
Tbp	Regulator	ENSMUSG00000014767	82.0121166968879	-2.09493356879553	0.800709044250577	-2.61634807779182	0.00888759048199174	0.0602749263163596	141.797607073614	-0.0808956087842765	0.135344555976901	-0.597701238889007	0.550039298667887	0.977406256175501	FALSE	TRUE	MN_Only	-2.09493356879553
Rela	Regulator	ENSMUSG00000024927	107.682981437196	2.14068434905148	0.593593308909316	3.60631482350237	0.000310576306460004	0.00483953700665835	114.547780451374	0.16439917010852	0.177766199744105	0.924805561153772	0.35506705736606	0.940952244978993	FALSE	TRUE	MN_Only	2.14068434905148
Bcl3	Regulator	ENSMUSG00000053175	34.7801668705895	7.31566276613222	0.752893336514444	9.71673198756206	2.55861564413481e-22	7.59961062953837e-20	5.38847922229841	0.730459003971294	0.651972634159853	1.12038292053865	0.262550619970503	0.912384203153912	FALSE	TRUE	MN_Only	7.31566276613222
Ap3b1	Regulator	ENSMUSG00000021686	313.854577897669	1.62344881501457	0.704967660910135	2.30286991167602	0.0212861635129802	0.109392240031043	237.665855660315	-0.0359698221030653	0.120650475226191	-0.29813245273697	0.765602073463693	0.993485073164753	FALSE	TRUE	MN_Only	1.62344881501457
Stat6	Regulator	ENSMUSG00000002147	61.2315376340414	2.60264264328028	1.13258657556162	2.29796352829777	0.0215638650074746	0.110274241503438	63.2042402944783	0.330553226861984	0.295815958596141	1.11742864864592	0.263811091503735	0.912384203153912	FALSE	TRUE	MN_Only	2.60264264328028
Ehf	Regulator	ENSMUSG00000012350	1.81709844423096	6.14371267609771	3.09339808852643	1.98607243564449	0.047025281434223	NA	2.09462493723888	-0.0538889495266221	1.18504510959479	-0.0454741757004073	0.9637293584046	NA	FALSE	TRUE	MN_Only	6.14371267609771
Ets1	Regulator	ENSMUSG00000032035	39.9138875015167	3.0006269358303	1.3134389030954	2.2845576819437	0.0223387766989006	0.113163437548137	23.540403983452	-0.0541625134848432	0.625189546067697	-0.0866337478377771	0.930962639843062	0.997939323397977	FALSE	TRUE	MN_Only	3.0006269358303
Gata1	Regulator	ENSMUSG00000031162	2.14765495395811	6.27265674038324	3.08988046678202	2.03006453091564	0.042349980289166	NA	0	NA	NA	NA	NA	NA	FALSE	TRUE	MN_Only	6.27265674038324
Ltf	Regulator	ENSMUSG00000032496	4.01855494031608	4.63850168345286	2.14245416937653	2.1650412642445	0.0303845253484306	0.137898375879681	13.5279620201016	6.99665383013492	1.38200918782189	5.06266810075408	4.13429245386587e-07	0.000948108135256394	TRUE	TRUE	Both	5.81757775679389
