term_name,negative_log10_of_adjusted_p_value,intersections,term_id,raw_category,category
response to peptide,14.626561194854512,"ENSMUSG00000003814,ENSMUSG00000004266,ENSMUSG00000005320,ENSMUSG00000005800,ENSMUSG00000006445,ENSMUSG00000018819,ENSMUSG00000021025,ENSMUSG00000022969,ENSMUSG00000023992,ENSMUSG00000024397,ENSMUSG00000024401,ENSMUSG00000024610,ENSMUSG00000024621,ENSMUSG00000025491,ENSMUSG00000025492,ENSMUSG00000026068,ENSMUSG00000026104,ENSMUSG00000026712,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000028270,ENSMUSG00000028581,ENSMUSG00000032089,ENSMUSG00000034855,ENSMUSG00000034957,ENSMUSG00000035356,ENSMUSG00000035385,ENSMUSG00000036594,ENSMUSG00000038357,ENSMUSG00000043953,ENSMUSG00000051439,ENSMUSG00000052085,ENSMUSG00000053113,ENSMUSG00000058715,ENSMUSG00000058755,ENSMUSG00000058818,ENSMUSG00000061353,ENSMUSG00000071713,ENSMUSG00000071714,ENSMUSG00000073421,ENSMUSG00000073489,ENSMUSG00000073490,ENSMUSG00000078853,ENSMUSG00000079227",GO:1901652,['other'],other
cell communication,14.58437664713012,"ENSMUSG00000000290,ENSMUSG00000001123,ENSMUSG00000001751,ENSMUSG00000002111,ENSMUSG00000002699,ENSMUSG00000003644,ENSMUSG00000003814,ENSMUSG00000004207,ENSMUSG00000004266,ENSMUSG00000004730,ENSMUSG00000005320,ENSMUSG00000005800,ENSMUSG00000006445,ENSMUSG00000007891,ENSMUSG00000015133,ENSMUSG00000015340,ENSMUSG00000015947,ENSMUSG00000018008,ENSMUSG00000018819,ENSMUSG00000020077,ENSMUSG00000020437,ENSMUSG00000020573,ENSMUSG00000021025,ENSMUSG00000021190,ENSMUSG00000021624,ENSMUSG00000021822,ENSMUSG00000021948,ENSMUSG00000022577,ENSMUSG00000022651,ENSMUSG00000022969,ENSMUSG00000023010,ENSMUSG00000023992,ENSMUSG00000024164,ENSMUSG00000024397,ENSMUSG00000024401,ENSMUSG00000024610,ENSMUSG00000024621,ENSMUSG00000024737,ENSMUSG00000024913,ENSMUSG00000025492,ENSMUSG00000026068,ENSMUSG00000026104,ENSMUSG00000026223,ENSMUSG00000026249,ENSMUSG00000026358,ENSMUSG00000026628,ENSMUSG00000026822,ENSMUSG00000026946,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000028270,ENSMUSG00000028459,ENSMUSG00000028581,ENSMUSG00000028874,ENSMUSG00000029204,ENSMUSG00000029249,ENSMUSG00000029309,ENSMUSG00000029616,ENSMUSG00000030047,ENSMUSG00000030413,ENSMUSG00000030560,ENSMUSG00000030579,ENSMUSG00000030685,ENSMUSG00000030921,ENSMUSG00000031722,ENSMUSG00000032076,ENSMUSG00000032089,ENSMUSG00000032359,ENSMUSG00000032496,ENSMUSG00000033220,ENSMUSG00000033685,ENSMUSG00000033777,ENSMUSG00000034116,ENSMUSG00000034708,ENSMUSG00000034792,ENSMUSG00000034855,ENSMUSG00000034957,ENSMUSG00000035352,ENSMUSG00000035356,ENSMUSG00000035385,ENSMUSG00000037095,ENSMUSG00000037731,ENSMUSG00000037824,ENSMUSG00000039621,ENSMUSG00000039942,ENSMUSG00000040061,ENSMUSG00000040462,ENSMUSG00000041736,ENSMUSG00000042190,ENSMUSG00000043008,ENSMUSG00000043953,ENSMUSG00000044456,ENSMUSG00000044583,ENSMUSG00000045502,ENSMUSG00000046223,ENSMUSG00000046410,ENSMUSG00000048779,ENSMUSG00000051439,ENSMUSG00000052085,ENSMUSG00000052142,ENSMUSG00000053113,ENSMUSG00000054675,ENSMUSG00000056054,ENSMUSG00000056071,ENSMUSG00000056529,ENSMUSG00000058715,ENSMUSG00000058755,ENSMUSG00000058818,ENSMUSG00000059089,ENSMUSG00000060735,ENSMUSG00000061353,ENSMUSG00000071713,ENSMUSG00000071714,ENSMUSG00000073489,ENSMUSG00000078853,ENSMUSG00000079110,ENSMUSG00000079227",GO:0007154,['other'],other
lymphocyte activation,14.544521438939816,"ENSMUSG00000001123,ENSMUSG00000002111,ENSMUSG00000004207,ENSMUSG00000004266,ENSMUSG00000016206,ENSMUSG00000021624,ENSMUSG00000021948,ENSMUSG00000023992,ENSMUSG00000024164,ENSMUSG00000024397,ENSMUSG00000024610,ENSMUSG00000027398,ENSMUSG00000028581,ENSMUSG00000028874,ENSMUSG00000029204,ENSMUSG00000030579,ENSMUSG00000031103,ENSMUSG00000031897,ENSMUSG00000033220,ENSMUSG00000034041,ENSMUSG00000034116,ENSMUSG00000035356,ENSMUSG00000035385,ENSMUSG00000036594,ENSMUSG00000037731,ENSMUSG00000039621,ENSMUSG00000039899,ENSMUSG00000039942,ENSMUSG00000051506,ENSMUSG00000052085,ENSMUSG00000052142,ENSMUSG00000058715,ENSMUSG00000059089,ENSMUSG00000060802,ENSMUSG00000061353,ENSMUSG00000073421,ENSMUSG00000078853",GO:0046649,['other'],other
immune response-regulating signaling pathway,14.496844853075675,"ENSMUSG00000001751,ENSMUSG00000002699,ENSMUSG00000004266,ENSMUSG00000015947,ENSMUSG00000020437,ENSMUSG00000021025,ENSMUSG00000023992,ENSMUSG00000024164,ENSMUSG00000024737,ENSMUSG00000026946,ENSMUSG00000027995,ENSMUSG00000028270,ENSMUSG00000028459,ENSMUSG00000028581,ENSMUSG00000030579,ENSMUSG00000030921,ENSMUSG00000032359,ENSMUSG00000032496,ENSMUSG00000033777,ENSMUSG00000035356,ENSMUSG00000037731,ENSMUSG00000043008,ENSMUSG00000044583,ENSMUSG00000046410,ENSMUSG00000051439,ENSMUSG00000056054,ENSMUSG00000056071,ENSMUSG00000058715,ENSMUSG00000059089",GO:0002764,['other'],other
myeloid leukocyte migration,14.309114028575536,"ENSMUSG00000002111,ENSMUSG00000021190,ENSMUSG00000022651,ENSMUSG00000023992,ENSMUSG00000024397,ENSMUSG00000024610,ENSMUSG00000024621,ENSMUSG00000027398,ENSMUSG00000033220,ENSMUSG00000034116,ENSMUSG00000034855,ENSMUSG00000035352,ENSMUSG00000035385,ENSMUSG00000039621,ENSMUSG00000039942,ENSMUSG00000042190,ENSMUSG00000044456,ENSMUSG00000056054,ENSMUSG00000056071,ENSMUSG00000058715,ENSMUSG00000061353",GO:0097529,['other'],other
leukocyte mediated cytotoxicity,14.2566630076025,"ENSMUSG00000001123,ENSMUSG00000002111,ENSMUSG00000004266,ENSMUSG00000015947,ENSMUSG00000015950,ENSMUSG00000016206,ENSMUSG00000026068,ENSMUSG00000030560,ENSMUSG00000030579,ENSMUSG00000032076,ENSMUSG00000032359,ENSMUSG00000034116,ENSMUSG00000035385,ENSMUSG00000059089,ENSMUSG00000060802,ENSMUSG00000061232,ENSMUSG00000067212,ENSMUSG00000073411",GO:0001909,['cell_death'],cell_death
response to cytokine,14.040663918821002,"ENSMUSG00000004266,ENSMUSG00000005320,ENSMUSG00000005800,ENSMUSG00000006445,ENSMUSG00000018819,ENSMUSG00000021025,ENSMUSG00000022969,ENSMUSG00000023992,ENSMUSG00000024397,ENSMUSG00000024401,ENSMUSG00000024610,ENSMUSG00000024621,ENSMUSG00000025491,ENSMUSG00000025492,ENSMUSG00000026068,ENSMUSG00000026104,ENSMUSG00000026712,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000028270,ENSMUSG00000028581,ENSMUSG00000032089,ENSMUSG00000034855,ENSMUSG00000034957,ENSMUSG00000035356,ENSMUSG00000035385,ENSMUSG00000036594,ENSMUSG00000038357,ENSMUSG00000043953,ENSMUSG00000051439,ENSMUSG00000052085,ENSMUSG00000053113,ENSMUSG00000058715,ENSMUSG00000058755,ENSMUSG00000058818,ENSMUSG00000061353,ENSMUSG00000071713,ENSMUSG00000071714,ENSMUSG00000073421,ENSMUSG00000073489,ENSMUSG00000073490,ENSMUSG00000078853,ENSMUSG00000079227",GO:0034097,['other'],other
biological regulation,13.956906498151522,"ENSMUSG00000000290,ENSMUSG00000001123,ENSMUSG00000001751,ENSMUSG00000002111,ENSMUSG00000002227,ENSMUSG00000002699,ENSMUSG00000003283,ENSMUSG00000003644,ENSMUSG00000003814,ENSMUSG00000004207,ENSMUSG00000004266,ENSMUSG00000004730,ENSMUSG00000005320,ENSMUSG00000005800,ENSMUSG00000006445,ENSMUSG00000007891,ENSMUSG00000015133,ENSMUSG00000015340,ENSMUSG00000015947,ENSMUSG00000016206,ENSMUSG00000016256,ENSMUSG00000018008,ENSMUSG00000018554,ENSMUSG00000018774,ENSMUSG00000018819,ENSMUSG00000020077,ENSMUSG00000020437,ENSMUSG00000020573,ENSMUSG00000020914,ENSMUSG00000021025,ENSMUSG00000021190,ENSMUSG00000021624,ENSMUSG00000021822,ENSMUSG00000021948,ENSMUSG00000022577,ENSMUSG00000022651,ENSMUSG00000022952,ENSMUSG00000022969,ENSMUSG00000023010,ENSMUSG00000023992,ENSMUSG00000024066,ENSMUSG00000024164,ENSMUSG00000024397,ENSMUSG00000024401,ENSMUSG00000024610,ENSMUSG00000024621,ENSMUSG00000024737,ENSMUSG00000024913,ENSMUSG00000025491,ENSMUSG00000025492,ENSMUSG00000026068,ENSMUSG00000026104,ENSMUSG00000026223,ENSMUSG00000026249,ENSMUSG00000026358,ENSMUSG00000026628,ENSMUSG00000026656,ENSMUSG00000026822,ENSMUSG00000026946,ENSMUSG00000027315,ENSMUSG00000027322,ENSMUSG00000027368,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000028270,ENSMUSG00000028459,ENSMUSG00000028581,ENSMUSG00000028874,ENSMUSG00000028919,ENSMUSG00000028954,ENSMUSG00000029204,ENSMUSG00000029249,ENSMUSG00000029309,ENSMUSG00000029616,ENSMUSG00000030047,ENSMUSG00000030403,ENSMUSG00000030413,ENSMUSG00000030560,ENSMUSG00000030579,ENSMUSG00000030685,ENSMUSG00000030921,ENSMUSG00000031004,ENSMUSG00000031103,ENSMUSG00000031722,ENSMUSG00000031838,ENSMUSG00000032076,ENSMUSG00000032089,ENSMUSG00000032359,ENSMUSG00000032496,ENSMUSG00000033220,ENSMUSG00000033295,ENSMUSG00000033685,ENSMUSG00000033777,ENSMUSG00000034041,ENSMUSG00000034116,ENSMUSG00000034708,ENSMUSG00000034792,ENSMUSG00000034855,ENSMUSG00000034957,ENSMUSG00000035352,ENSMUSG00000035356,ENSMUSG00000035385,ENSMUSG00000036594,ENSMUSG00000036887,ENSMUSG00000036896,ENSMUSG00000036905,ENSMUSG00000037095,ENSMUSG00000037731,ENSMUSG00000037824,ENSMUSG00000038147,ENSMUSG00000038357,ENSMUSG00000039621,ENSMUSG00000039899,ENSMUSG00000039942,ENSMUSG00000040061,ENSMUSG00000040462,ENSMUSG00000041736,ENSMUSG00000042190,ENSMUSG00000042751,ENSMUSG00000043008,ENSMUSG00000043953,ENSMUSG00000044456,ENSMUSG00000044583,ENSMUSG00000045502,ENSMUSG00000046179,ENSMUSG00000046223,ENSMUSG00000046410,ENSMUSG00000048779,ENSMUSG00000051439,ENSMUSG00000052085,ENSMUSG00000052142,ENSMUSG00000052160,ENSMUSG00000052776,ENSMUSG00000052837,ENSMUSG00000053113,ENSMUSG00000054675,ENSMUSG00000056054,ENSMUSG00000056071,ENSMUSG00000056529,ENSMUSG00000058715,ENSMUSG00000058755,ENSMUSG00000058818,ENSMUSG00000059089,ENSMUSG00000059498,ENSMUSG00000060735,ENSMUSG00000060802,ENSMUSG00000061232,ENSMUSG00000061353,ENSMUSG00000063802,ENSMUSG00000067212,ENSMUSG00000071713,ENSMUSG00000071714,ENSMUSG00000073411,ENSMUSG00000073421,ENSMUSG00000073489,ENSMUSG00000073490,ENSMUSG00000078853,ENSMUSG00000078942,ENSMUSG00000079110,ENSMUSG00000079227,ENSMUSG00000089929",GO:0065007,['other'],other
regulation of leukocyte mediated immunity,13.956327921729505,"ENSMUSG00000001123,ENSMUSG00000002111,ENSMUSG00000004266,ENSMUSG00000015947,ENSMUSG00000016206,ENSMUSG00000023992,ENSMUSG00000024164,ENSMUSG00000024401,ENSMUSG00000026068,ENSMUSG00000027398,ENSMUSG00000028874,ENSMUSG00000030579,ENSMUSG00000032076,ENSMUSG00000033220,ENSMUSG00000034116,ENSMUSG00000035385,ENSMUSG00000038147,ENSMUSG00000058715,ENSMUSG00000060802,ENSMUSG00000061232,ENSMUSG00000067212,ENSMUSG00000073411",GO:0002703,['other'],other
positive regulation of innate immune response,13.65067333869007,"ENSMUSG00000001123,ENSMUSG00000001751,ENSMUSG00000002111,ENSMUSG00000016206,ENSMUSG00000021025,ENSMUSG00000023992,ENSMUSG00000024610,ENSMUSG00000024737,ENSMUSG00000026068,ENSMUSG00000026946,ENSMUSG00000027995,ENSMUSG00000028270,ENSMUSG00000030579,ENSMUSG00000030921,ENSMUSG00000032076,ENSMUSG00000032496,ENSMUSG00000033777,ENSMUSG00000034116,ENSMUSG00000035356,ENSMUSG00000044583,ENSMUSG00000046410,ENSMUSG00000051439,ENSMUSG00000056054,ENSMUSG00000056071,ENSMUSG00000073489,ENSMUSG00000073490",GO:0045089,['other'],other
regulation of inflammatory response,13.592294841314537,"ENSMUSG00000001123,ENSMUSG00000004266,ENSMUSG00000005800,ENSMUSG00000015947,ENSMUSG00000020573,ENSMUSG00000021025,ENSMUSG00000023992,ENSMUSG00000024164,ENSMUSG00000024401,ENSMUSG00000026946,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000028270,ENSMUSG00000030413,ENSMUSG00000030560,ENSMUSG00000031103,ENSMUSG00000032089,ENSMUSG00000034708,ENSMUSG00000034957,ENSMUSG00000035356,ENSMUSG00000039942,ENSMUSG00000053113,ENSMUSG00000056054,ENSMUSG00000056071,ENSMUSG00000058715",GO:0050727,['other'],other
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,13.40548596128285,"ENSMUSG00000004266,ENSMUSG00000015947,ENSMUSG00000016206,ENSMUSG00000020437,ENSMUSG00000021948,ENSMUSG00000023992,ENSMUSG00000024164,ENSMUSG00000024401,ENSMUSG00000024610,ENSMUSG00000027398,ENSMUSG00000030560,ENSMUSG00000032359,ENSMUSG00000035356,ENSMUSG00000036887,ENSMUSG00000036896,ENSMUSG00000036905,ENSMUSG00000043008,ENSMUSG00000058715,ENSMUSG00000058818,ENSMUSG00000060802,ENSMUSG00000061232,ENSMUSG00000067212,ENSMUSG00000073411,ENSMUSG00000073421",GO:0002460,['other'],other
positive regulation of immune effector process,13.371633261701252,"ENSMUSG00000002111,ENSMUSG00000015947,ENSMUSG00000016206,ENSMUSG00000023992,ENSMUSG00000024164,ENSMUSG00000024401,ENSMUSG00000024610,ENSMUSG00000026068,ENSMUSG00000027398,ENSMUSG00000028581,ENSMUSG00000028874,ENSMUSG00000030579,ENSMUSG00000032076,ENSMUSG00000034116,ENSMUSG00000035356,ENSMUSG00000035385,ENSMUSG00000044583,ENSMUSG00000058715,ENSMUSG00000060802,ENSMUSG00000061232,ENSMUSG00000067212,ENSMUSG00000073411",GO:0002699,['other'],other
antigen processing and presentation of exogenous antigen,13.306952722114106,"ENSMUSG00000015947,ENSMUSG00000016206,ENSMUSG00000021190,ENSMUSG00000022216,ENSMUSG00000024610,ENSMUSG00000031838,ENSMUSG00000036594,ENSMUSG00000058715,ENSMUSG00000060586,ENSMUSG00000060802,ENSMUSG00000061232,ENSMUSG00000073421",GO:0019884,['other'],other
cytokine-mediated signaling pathway,13.231310731398189,"ENSMUSG00000004266,ENSMUSG00000005320,ENSMUSG00000005800,ENSMUSG00000006445,ENSMUSG00000021025,ENSMUSG00000022969,ENSMUSG00000023992,ENSMUSG00000024401,ENSMUSG00000024610,ENSMUSG00000024621,ENSMUSG00000025492,ENSMUSG00000026068,ENSMUSG00000026104,ENSMUSG00000027398,ENSMUSG00000028581,ENSMUSG00000032089,ENSMUSG00000034855,ENSMUSG00000034957,ENSMUSG00000035356,ENSMUSG00000035385,ENSMUSG00000043953,ENSMUSG00000058715,ENSMUSG00000058755,ENSMUSG00000058818,ENSMUSG00000061353,ENSMUSG00000071713,ENSMUSG00000071714,ENSMUSG00000079227",GO:0019221,['other'],other
regulation of cellular process,13.227754715790816,"ENSMUSG00000000290,ENSMUSG00000001123,ENSMUSG00000001751,ENSMUSG00000002111,ENSMUSG00000002227,ENSMUSG00000002699,ENSMUSG00000003283,ENSMUSG00000003644,ENSMUSG00000003814,ENSMUSG00000004207,ENSMUSG00000004266,ENSMUSG00000004730,ENSMUSG00000005320,ENSMUSG00000005800,ENSMUSG00000006445,ENSMUSG00000007891,ENSMUSG00000015133,ENSMUSG00000015340,ENSMUSG00000015947,ENSMUSG00000016206,ENSMUSG00000016256,ENSMUSG00000018008,ENSMUSG00000018554,ENSMUSG00000018819,ENSMUSG00000020077,ENSMUSG00000020437,ENSMUSG00000020573,ENSMUSG00000020914,ENSMUSG00000021025,ENSMUSG00000021190,ENSMUSG00000021624,ENSMUSG00000021822,ENSMUSG00000021948,ENSMUSG00000022577,ENSMUSG00000022651,ENSMUSG00000022952,ENSMUSG00000022969,ENSMUSG00000023010,ENSMUSG00000023992,ENSMUSG00000024066,ENSMUSG00000024164,ENSMUSG00000024397,ENSMUSG00000024401,ENSMUSG00000024610,ENSMUSG00000024621,ENSMUSG00000024737,ENSMUSG00000024913,ENSMUSG00000025491,ENSMUSG00000025492,ENSMUSG00000026068,ENSMUSG00000026104,ENSMUSG00000026223,ENSMUSG00000026249,ENSMUSG00000026358,ENSMUSG00000026628,ENSMUSG00000026822,ENSMUSG00000026946,ENSMUSG00000027315,ENSMUSG00000027322,ENSMUSG00000027368,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000028270,ENSMUSG00000028459,ENSMUSG00000028581,ENSMUSG00000028874,ENSMUSG00000028919,ENSMUSG00000028954,ENSMUSG00000029204,ENSMUSG00000029249,ENSMUSG00000029309,ENSMUSG00000029616,ENSMUSG00000030047,ENSMUSG00000030403,ENSMUSG00000030413,ENSMUSG00000030560,ENSMUSG00000030579,ENSMUSG00000030685,ENSMUSG00000030921,ENSMUSG00000031004,ENSMUSG00000031103,ENSMUSG00000031722,ENSMUSG00000031838,ENSMUSG00000032076,ENSMUSG00000032089,ENSMUSG00000032359,ENSMUSG00000032496,ENSMUSG00000033220,ENSMUSG00000033295,ENSMUSG00000033685,ENSMUSG00000033777,ENSMUSG00000034041,ENSMUSG00000034116,ENSMUSG00000034708,ENSMUSG00000034792,ENSMUSG00000034855,ENSMUSG00000034957,ENSMUSG00000035352,ENSMUSG00000035356,ENSMUSG00000035385,ENSMUSG00000036594,ENSMUSG00000036896,ENSMUSG00000037095,ENSMUSG00000037731,ENSMUSG00000037824,ENSMUSG00000038147,ENSMUSG00000038357,ENSMUSG00000039621,ENSMUSG00000039899,ENSMUSG00000039942,ENSMUSG00000040061,ENSMUSG00000040462,ENSMUSG00000041736,ENSMUSG00000042190,ENSMUSG00000042751,ENSMUSG00000043008,ENSMUSG00000043953,ENSMUSG00000044456,ENSMUSG00000044583,ENSMUSG00000045502,ENSMUSG00000046179,ENSMUSG00000046223,ENSMUSG00000046410,ENSMUSG00000048779,ENSMUSG00000051439,ENSMUSG00000052085,ENSMUSG00000052142,ENSMUSG00000052160,ENSMUSG00000052837,ENSMUSG00000053113,ENSMUSG00000054675,ENSMUSG00000056054,ENSMUSG00000056071,ENSMUSG00000056529,ENSMUSG00000058715,ENSMUSG00000058755,ENSMUSG00000058818,ENSMUSG00000059089,ENSMUSG00000060735,ENSMUSG00000060802,ENSMUSG00000061232,ENSMUSG00000061353,ENSMUSG00000063802,ENSMUSG00000067212,ENSMUSG00000071713,ENSMUSG00000071714,ENSMUSG00000073411,ENSMUSG00000073421,ENSMUSG00000073489,ENSMUSG00000078853,ENSMUSG00000078942,ENSMUSG00000079110,ENSMUSG00000079227,ENSMUSG00000089929",GO:0050794,['other'],other
defense response to bacterium,13.069146140032172,"ENSMUSG00000001123,ENSMUSG00000003283,ENSMUSG00000006445,ENSMUSG00000015947,ENSMUSG00000015950,ENSMUSG00000016206,ENSMUSG00000021948,ENSMUSG00000023992,ENSMUSG00000024401,ENSMUSG00000026822,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000028270,ENSMUSG00000028874,ENSMUSG00000030413,ENSMUSG00000031722,ENSMUSG00000032496,ENSMUSG00000034708,ENSMUSG00000035356,ENSMUSG00000038357,ENSMUSG00000058715,ENSMUSG00000061232,ENSMUSG00000069516,ENSMUSG00000078942",GO:0042742,['other'],other
regulation of cell activation,13.066116749398777,"ENSMUSG00000001123,ENSMUSG00000002111,ENSMUSG00000003644,ENSMUSG00000004266,ENSMUSG00000005800,ENSMUSG00000021948,ENSMUSG00000023992,ENSMUSG00000024397,ENSMUSG00000024610,ENSMUSG00000026249,ENSMUSG00000027398,ENSMUSG00000028581,ENSMUSG00000028874,ENSMUSG00000029204,ENSMUSG00000030560,ENSMUSG00000030579,ENSMUSG00000033220,ENSMUSG00000034116,ENSMUSG00000034708,ENSMUSG00000034957,ENSMUSG00000035356,ENSMUSG00000035385,ENSMUSG00000036594,ENSMUSG00000037731,ENSMUSG00000038147,ENSMUSG00000039899,ENSMUSG00000052085,ENSMUSG00000052142,ENSMUSG00000058715,ENSMUSG00000073421,ENSMUSG00000079110",GO:0050865,['other'],other
cellular response to cytokine stimulus,13.010400332841705,"ENSMUSG00000004266,ENSMUSG00000005320,ENSMUSG00000005800,ENSMUSG00000006445,ENSMUSG00000018819,ENSMUSG00000021025,ENSMUSG00000022969,ENSMUSG00000023992,ENSMUSG00000024397,ENSMUSG00000024401,ENSMUSG00000024610,ENSMUSG00000024621,ENSMUSG00000025492,ENSMUSG00000026068,ENSMUSG00000026104,ENSMUSG00000026712,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000028270,ENSMUSG00000028581,ENSMUSG00000032089,ENSMUSG00000034855,ENSMUSG00000034957,ENSMUSG00000035356,ENSMUSG00000035385,ENSMUSG00000038357,ENSMUSG00000043953,ENSMUSG00000052085,ENSMUSG00000053113,ENSMUSG00000058715,ENSMUSG00000058755,ENSMUSG00000058818,ENSMUSG00000061353,ENSMUSG00000071713,ENSMUSG00000071714,ENSMUSG00000073421,ENSMUSG00000073489,ENSMUSG00000073490,ENSMUSG00000078853,ENSMUSG00000079227",GO:0071345,['other'],other
T cell activation,12.927598893444799,"ENSMUSG00000001123,ENSMUSG00000002111,ENSMUSG00000004207,ENSMUSG00000004266,ENSMUSG00000016206,ENSMUSG00000023992,ENSMUSG00000024397,ENSMUSG00000024610,ENSMUSG00000027398,ENSMUSG00000028581,ENSMUSG00000029204,ENSMUSG00000030579,ENSMUSG00000031103,ENSMUSG00000031897,ENSMUSG00000033220,ENSMUSG00000034116,ENSMUSG00000035356,ENSMUSG00000035385,ENSMUSG00000036594,ENSMUSG00000039621,ENSMUSG00000039899,ENSMUSG00000039942,ENSMUSG00000051506,ENSMUSG00000052085,ENSMUSG00000052142,ENSMUSG00000058715,ENSMUSG00000060802,ENSMUSG00000061353,ENSMUSG00000073421,ENSMUSG00000078853",GO:0042110,['other'],other
leukocyte chemotaxis,12.70213816434643,"ENSMUSG00000002111,ENSMUSG00000003814,ENSMUSG00000021190,ENSMUSG00000022651,ENSMUSG00000024397,ENSMUSG00000024610,ENSMUSG00000024621,ENSMUSG00000027398,ENSMUSG00000033220,ENSMUSG00000034116,ENSMUSG00000034855,ENSMUSG00000035352,ENSMUSG00000035385,ENSMUSG00000039621,ENSMUSG00000042190,ENSMUSG00000044456,ENSMUSG00000056054,ENSMUSG00000056071,ENSMUSG00000058715,ENSMUSG00000061353",GO:0030595,['other'],other
leukocyte differentiation,12.69474961566332,"ENSMUSG00000001123,ENSMUSG00000001751,ENSMUSG00000002111,ENSMUSG00000004207,ENSMUSG00000004266,ENSMUSG00000006445,ENSMUSG00000015133,ENSMUSG00000022952,ENSMUSG00000023992,ENSMUSG00000024401,ENSMUSG00000024610,ENSMUSG00000024621,ENSMUSG00000028581,ENSMUSG00000029204,ENSMUSG00000030579,ENSMUSG00000032496,ENSMUSG00000033685,ENSMUSG00000034041,ENSMUSG00000034116,ENSMUSG00000034957,ENSMUSG00000035356,ENSMUSG00000036594,ENSMUSG00000036896,ENSMUSG00000039621,ENSMUSG00000039899,ENSMUSG00000039942,ENSMUSG00000052837,ENSMUSG00000058715,ENSMUSG00000058818,ENSMUSG00000060802,ENSMUSG00000073421,ENSMUSG00000078853",GO:0002521,['other'],other
response to molecule of bacterial origin,12.614120064990473,"ENSMUSG00000001123,ENSMUSG00000001751,ENSMUSG00000002111,ENSMUSG00000004266,ENSMUSG00000005800,ENSMUSG00000016206,ENSMUSG00000018774,ENSMUSG00000021025,ENSMUSG00000021624,ENSMUSG00000023992,ENSMUSG00000024401,ENSMUSG00000026712,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000028270,ENSMUSG00000032496,ENSMUSG00000034855,ENSMUSG00000035356,ENSMUSG00000035385,ENSMUSG00000038357,ENSMUSG00000039942,ENSMUSG00000041736,ENSMUSG00000051439,ENSMUSG00000056529,ENSMUSG00000060802,ENSMUSG00000079227",GO:0002237,['other'],other
antigen processing and presentation of exogenous peptide antigen,12.585252614526844,"ENSMUSG00000015947,ENSMUSG00000016206,ENSMUSG00000021190,ENSMUSG00000024610,ENSMUSG00000031838,ENSMUSG00000036594,ENSMUSG00000058715,ENSMUSG00000060586,ENSMUSG00000060802,ENSMUSG00000061232,ENSMUSG00000073421",GO:0002478,['other'],other
cell population proliferation,12.128847038757083,"ENSMUSG00000001123,ENSMUSG00000003283,ENSMUSG00000003644,ENSMUSG00000003814,ENSMUSG00000004266,ENSMUSG00000005320,ENSMUSG00000006445,ENSMUSG00000015950,ENSMUSG00000021025,ENSMUSG00000021190,ENSMUSG00000021624,ENSMUSG00000021822,ENSMUSG00000021948,ENSMUSG00000023992,ENSMUSG00000024397,ENSMUSG00000024401,ENSMUSG00000024610,ENSMUSG00000024621,ENSMUSG00000024913,ENSMUSG00000025491,ENSMUSG00000025492,ENSMUSG00000026068,ENSMUSG00000026249,ENSMUSG00000026628,ENSMUSG00000026946,ENSMUSG00000027315,ENSMUSG00000027398,ENSMUSG00000028581,ENSMUSG00000029249,ENSMUSG00000030579,ENSMUSG00000031004,ENSMUSG00000031103,ENSMUSG00000031838,ENSMUSG00000031897,ENSMUSG00000032359,ENSMUSG00000032496,ENSMUSG00000033220,ENSMUSG00000034708,ENSMUSG00000034855,ENSMUSG00000034957,ENSMUSG00000035356,ENSMUSG00000035385,ENSMUSG00000037095,ENSMUSG00000038357,ENSMUSG00000041736,ENSMUSG00000046179,ENSMUSG00000048779,ENSMUSG00000052085,ENSMUSG00000052142,ENSMUSG00000052837,ENSMUSG00000054675,ENSMUSG00000060802,ENSMUSG00000061353",GO:0008283,['other'],other
cell chemotaxis,12.104039575363512,"ENSMUSG00000002111,ENSMUSG00000003814,ENSMUSG00000006445,ENSMUSG00000021190,ENSMUSG00000021948,ENSMUSG00000022651,ENSMUSG00000024397,ENSMUSG00000024610,ENSMUSG00000024621,ENSMUSG00000027398,ENSMUSG00000033220,ENSMUSG00000034116,ENSMUSG00000034855,ENSMUSG00000035352,ENSMUSG00000035385,ENSMUSG00000039621,ENSMUSG00000042190,ENSMUSG00000044456,ENSMUSG00000056054,ENSMUSG00000056071,ENSMUSG00000058715,ENSMUSG00000061353",GO:0060326,['other'],other
