"ParentTerm","TF","enrichment_score","NES_MN","NES_RGC","n_targets"
"actin_cytoskeleton_organization","Pura",2.05263598357345,1.77550897809547,2.32976298905143,14
"actin_cytoskeleton_organization","Yy1",2.077791161951,1.782867198181,2.37271512572101,15
"actin_cytoskeleton_organization","Nfatc3",2.077791161951,1.782867198181,2.37271512572101,15
"actin_cytoskeleton_organization","Tbp",1.95788183046531,1.71135577874398,2.20440788218664,11
"actin_cytoskeleton_organization","Rela",2.05041979906586,1.77107660908028,2.32976298905143,14
"actin_cytoskeleton_organization","Bcl3",2.02721334854925,1.75832654015242,2.29610015694609,13
"actin_cytoskeleton_organization","Ap3b1",2.05041979906586,1.77107660908028,2.32976298905143,14
"actin_cytoskeleton_organization","Stat6",2.02721334854925,1.75832654015242,2.29610015694609,13
"actin_cytoskeleton_organization","Ehf",1.99871300747696,1.75714593059677,2.24028008435714,12
"actin_cytoskeleton_organization","Ets1",2.05263598357345,1.77550897809547,2.32976298905143,14
"actin_cytoskeleton_organization","Gata1",2.05263598357345,1.77550897809547,2.32976298905143,14
"actin_cytoskeleton_organization","Ltf",1.99584818359769,1.75116847795087,2.24052788924452,12
"actin_cytoskeleton_organization","Irf1",1.98734741779193,1.73441475122671,2.24028008435714,12
"actin_cytoskeleton_organization","E2f6",1.96360655317798,1.72304903414356,2.20416407221239,11
"actin_cytoskeleton_organization","Irf2",1.95775992547819,1.71135577874398,2.20416407221239,11
"actin_cytoskeleton_organization","Irf7",1.95775992547819,1.71135577874398,2.20416407221239,11
"actin_cytoskeleton_organization","Irf5",1.95775992547819,1.71135577874398,2.20416407221239,11
"actin_cytoskeleton_organization","Irf8",1.95775992547819,1.71135577874398,2.20416407221239,11
"actin_cytoskeleton_organization","Irf9",1.95775992547819,1.71135577874398,2.20416407221239,11
"actin_cytoskeleton_organization","Stat1",2.03527605829781,1.77445195964953,2.29610015694609,13
"actin_cytoskeleton_organization","Stat2",1.97025048676182,1.73633690131125,2.20416407221239,11
"actin_cytoskeleton_organization","Fli1",2.05263598357345,1.77550897809547,2.32976298905143,14
"actin_cytoskeleton_organization","Elf4",2.05263598357345,1.77550897809547,2.32976298905143,14
"actin_cytoskeleton_organization","Ets2",2.05263598357345,1.77550897809547,2.32976298905143,14
"actin_cytoskeleton_organization","Bptf",2.03527605829781,1.77445195964953,2.29610015694609,13
"actin_cytoskeleton_organization","Stat3",1.76886151309577,1.58411951632744,1.9536035098641,7
"actin_cytoskeleton_organization","Runx2",2.02721334854925,1.75832654015242,2.29610015694609,13
"actin_cytoskeleton_organization","Nr3c1",2.02721334854925,1.75832654015242,2.29610015694609,13
"actin_cytoskeleton_organization","Runx3",1.98734741779193,1.73441475122671,2.24028008435714,12
"actin_cytoskeleton_organization","Nr1h3",1.98091723550805,1.75767039880371,2.20416407221239,11
"actin_cytoskeleton_organization","Nr1h2",1.98091723550805,1.75767039880371,2.20416407221239,11
"actin_cytoskeleton_organization","Thra",1.98091723550805,1.75767039880371,2.20416407221239,11
"actin_cytoskeleton_organization","Jun",1.98091723550805,1.75767039880371,2.20416407221239,11
"actin_cytoskeleton_organization","Runx1",1.80200963578026,1.64782977723683,1.95618949432369,7
"actin_cytoskeleton_organization","3830417A13Rik",1.48073186157766,1.35006550540846,1.61139821774685,3
"actin_cytoskeleton_organization","Mtor",1.56657813527496,1.42276228444637,1.71039398610354,4
"actin_cytoskeleton_organization","Nlk",1.36574959218243,1.28724191335773,1.44425727100713,2
"actin_cytoskeleton_organization","Smad3",1.76244632682407,1.57646111270321,1.94843154094493,7
"actin_cytoskeleton_organization","Nfia",1.56657813527496,1.42276228444637,1.71039398610354,4
"actin_cytoskeleton_organization","Nfib",1.56657813527496,1.42276228444637,1.71039398610354,4
"actin_cytoskeleton_organization","Nfix",1.56657813527496,1.42276228444637,1.71039398610354,4
"actin_cytoskeleton_organization","Nfatc1",1.56657813527496,1.42276228444637,1.71039398610354,4
"actin_cytoskeleton_organization","Usf1",1.56657813527496,1.42276228444637,1.71039398610354,4
"actin_cytoskeleton_organization","Sox10",1.35159665125085,1.26116004313115,1.44203325937054,2
"actin_cytoskeleton_organization","Myf6",1.64406072476498,1.48757073514566,1.80055071438429,5
"actin_cytoskeleton_organization","Tfeb",1.64406072476498,1.48757073514566,1.80055071438429,5
"actin_cytoskeleton_organization","Mxd4",1.64406072476498,1.48757073514566,1.80055071438429,5
