"human_symbol","rank","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","subtype"
"ARRDC2","Rank 2",10.9964261685889,0.731427320030861,0.813084602169955,0.899570989388844,0.36834860155926,0.99974963685545,"N3"
"CAPN3","Rank 2",18.9369859155179,-0.961006090798776,0.683752261683564,-1.40548871960225,0.15987600135178,0.99974963685545,"N3"
"CNDP2","Rank 2",14.3102194897919,0.0827168207315916,0.716414009181206,0.11545952434142,0.908080900761207,0.99974963685545,"N3"
"CNDP2","Rank 2",9.07927884297301,0.419071221116543,0.817871276238578,0.512392638415997,0.608376242080439,0.999428838839093,"N1"
"CNDP2","Rank 2",9.26369126008834,1.00615841079369,0.731288283916648,1.37587109341461,0.168861546077836,0.999865540173623,"N4"
"CNDP2","Rank 2",11.8922009479608,0.851491769887636,0.718179573246717,1.18562515783935,0.235770362536874,0.999968391964706,"N0"
"CNDP2","Rank 2",21.1635613757625,0.70764551110669,0.7749756571811,0.91311966324295,0.361179609777678,NA,"N6"
"CNDP2","Rank 2",11.4913194124354,0.105061605494357,0.705775316995535,0.148859846702491,0.881664225809336,0.999792238033074,"N2"
"CTSZ","Rank 2",5.4058877843413,-0.359258431628573,0.967173390868197,-0.371451939249569,0.710300946262761,NA,"N7"
"CTSZ","Rank 2",5.38292925121624,-1.11428608924769,1.05136962129545,-1.05984238718513,0.289216309575795,0.999968391964706,"N0"
"GRN","Rank 2",9.27220624216487,-0.383540626887103,0.810866880061617,-0.473000730844942,0.636212657764068,0.999968391964706,"N0"
"ITM2C","Rank 2",60.0659428515556,-0.263579467660517,0.440397771704029,-0.598503181886344,0.549504236451306,0.999968391964706,"N0"
"ITM2C","Rank 2",28.624723016002,0.160057991497759,0.495357871839258,0.323115873587445,0.746607489132806,0.999792238033074,"N2"
"ITM2C","Rank 2",25.0251892627243,-0.054571313375806,0.635053165053609,-0.0859318815790789,0.931520567404714,0.999770623485098,"N5"
"ITM2C","Rank 2",29.888527395718,-0.459475908169381,0.613290611192535,-0.749197688312783,0.453738062276127,0.999428838839093,"N1"
"ITM2C","Rank 2",25.0901374450657,-0.619810273114775,0.550876312502235,-1.12513509665976,0.260531790969676,0.998620726458724,"N7"
