"term_id","term_name","pval","NES","size","neg_log10_p"
"GO:0002376","immune system process",2.68264602212997e-06,2.05712014736078,16,5.57143662914606
"GO:0071222","cellular response to lipopolysaccharide",3.15027694667267e-06,1.94639467997407,10,5.50165126490097
"GO:0007165","signal transduction",3.79253923378991e-06,2.10903960915166,21,5.42106991774484
"GO:0006954","inflammatory response",7.91476509455715e-06,2.08799057840233,18,5.10156197020801
"GO:0045944","positive regulation of transcription by RNA polymerase II",1.57406803831645e-05,1.92375000750363,10,4.80297649940594
"GO:0045087","innate immune response",1.80511783016834e-05,1.92203855271663,10,4.74349444399561
"GO:0008284","positive regulation of cell population proliferation",2.423634340773e-05,1.98746242996667,13,4.61553290255999
"GO:0030335","positive regulation of cell migration",3.10225324817142e-05,1.91503029786822,10,4.50832275204335
"GO:0032496","response to lipopolysaccharide",6.78716987711936e-05,1.90280695781998,10,4.16831128064907
"GO:0045766","positive regulation of angiogenesis",0.000118644342719237,1.77251424909795,6,3.92575296527971
"GO:0016477","cell migration",0.000163329421690928,1.76803343872902,6,3.78693557566087
"GO:0019221","cytokine-mediated signaling pathway",0.000179779596234531,1.7659109496069,6,3.74525959928566
"GO:0009617","response to bacterium",0.000214732565515523,1.87164955981084,8,3.66810208713711
"GO:0043525","positive regulation of neuron apoptotic process",0.000219730100479072,1.76272721592371,6,3.65811044568971
"GO:0045892","negative regulation of DNA-templated transcription",0.000270951010095057,1.76036889467691,6,3.56710922561527
"GO:0030593","neutrophil chemotaxis",0.000357221820144337,1.74114046537969,5,3.44706202100731
"GO:0019882","antigen processing and presentation",0.000439911728467121,1.56211880183994,3,3.35663445916283
"GO:0042110","T cell activation",0.000475137638152533,1.45372140798259,2,3.3231805654669
"GO:0042130","negative regulation of T cell proliferation",0.000475137638152533,1.45372140798259,2,3.3231805654669
"GO:0042267","natural killer cell mediated cytotoxicity",0.000475137638152533,1.45372140798259,2,3.3231805654669
"GO:0008285","negative regulation of cell population proliferation",0.000484728895414155,1.8613151456634,8,3.31450109056221
