"cluster","cluster_label","gene"
5,"Ets-related","Ddost"
10,"NF-kappaB-related factors","Igtp"
10,"NF-kappaB-related factors","Pdia6"
10,"NF-kappaB-related factors","Pld4"
10,"NF-kappaB-related factors","Ybx2"
11,"NFAT-related factors","Ly6e"
13,"Runt-related factors","Slfn4"
