"cluster","cluster_label","ParentTerm","pct_coverage","enrichment_score"
5,"Ets-related","cell killing",10,2.09126528602309
5,"Ets-related","cell population proliferation",29.2857142857143,2.5206973945066
5,"Ets-related","cellular process",92.1428571428571,2.92164036875395
5,"Ets-related","immune system process",56.4285714285714,2.78407920382044
5,"Ets-related","leukocyte cell-cell adhesion",22.8571428571429,0
5,"Ets-related","leukocyte differentiation",47.8571428571429,2.71492274760523
5,"Ets-related","phagocytosis",38.5714285714286,2.59945695716732
5,"Ets-related","phagocytosis, engulfment",3.57142857142857,0
5,"Ets-related","positive regulation of biological process",79.2857142857143,2.89730123390928
5,"Ets-related","reactive oxygen species metabolic process",7.85714285714286,1.9126193554679
5,"Ets-related","regulation of lipid metabolic process",7.14285714285714,1.91631747669285
5,"Ets-related","regulation of proteolysis",12.8571428571429,2.18242054029329
5,"Ets-related","respiratory burst",4.28571428571429,1.72778548204544
5,"Ets-related","response to external stimulus",77.8571428571429,2.9172448658701
6,"Interferon-regulatory factors","actin cytoskeleton organization",10,1.94713804327769
6,"Interferon-regulatory factors","apoptotic process",23.3333333333333,2.24471439332878
6,"Interferon-regulatory factors","catabolic process",17.5,2.0681119687295
6,"Interferon-regulatory factors","cell activation",62.5,2.683505271981
6,"Interferon-regulatory factors","cell junction disassembly",3.33333333333333,1.57732690629978
6,"Interferon-regulatory factors","cell killing",10,1.9650499465471
6,"Interferon-regulatory factors","cell population proliferation",30,2.39103643874497
6,"Interferon-regulatory factors","cellular process",90.8333333333333,2.82879454327291
6,"Interferon-regulatory factors","immune system process",61.6666666666667,2.67576122848015
6,"Interferon-regulatory factors","leukocyte cell-cell adhesion",20,0
6,"Interferon-regulatory factors","leukocyte differentiation",52.5,2.63315277238714
6,"Interferon-regulatory factors","phagocytosis",37.5,2.48310331607618
6,"Interferon-regulatory factors","phagocytosis, engulfment",4.16666666666667,0
6,"Interferon-regulatory factors","positive regulation of biological process",83.3333333333333,2.80184854358831
6,"Interferon-regulatory factors","reactive oxygen species metabolic process",7.5,1.69367248080795
6,"Interferon-regulatory factors","regulation of lipid metabolic process",5.83333333333333,1.50334636731878
6,"Interferon-regulatory factors","regulation of proteolysis",13.3333333333333,2.03136673105026
6,"Interferon-regulatory factors","respiratory burst",3.33333333333333,1.67130538970943
6,"Interferon-regulatory factors","response to external stimulus",78.3333333333333,2.78648250152749
7,"Jun-related","actin cytoskeleton organization",22,1.96404536919427
7,"Jun-related","apoptotic process",22,1.96896531192277
7,"Jun-related","catabolic process",14,1.76631047077045
7,"Jun-related","cell activation",64,2.46273994690713
7,"Jun-related","cell junction disassembly",8,1.64687942024348
7,"Jun-related","cell killing",4,1.42622487162515
7,"Jun-related","cell population proliferation",40,2.24173845676871
7,"Jun-related","cellular process",96,2.59518421368024
7,"Jun-related","immune system process",58,2.37200817048241
7,"Jun-related","leukocyte cell-cell adhesion",22,0
7,"Jun-related","leukocyte differentiation",48,2.37005080180052
7,"Jun-related","phagocytosis",46,2.27498639400678
7,"Jun-related","phagocytosis, engulfment",6,0
7,"Jun-related","positive regulation of biological process",88,2.59265524686577
7,"Jun-related","reactive oxygen species metabolic process",6,1.45862900130763
7,"Jun-related","regulation of lipid metabolic process",8,1.60867633953099
7,"Jun-related","regulation of proteolysis",8,1.63318126748258
7,"Jun-related","respiratory burst",4,1.44587658260205
7,"Jun-related","response to external stimulus",86,2.5722287250469
8,"More than 3 adjacent zinc fingers","actin cytoskeleton organization",10.7142857142857,2.08308104388551
8,"More than 3 adjacent zinc fingers","apoptotic process",24.2857142857143,2.41264300087848
8,"More than 3 adjacent zinc fingers","catabolic process",16.4285714285714,2.26075154950231
8,"More than 3 adjacent zinc fingers","cell activation",63.5714285714286,2.86937985708603
8,"More than 3 adjacent zinc fingers","cell junction disassembly",2.85714285714286,1.64687942024348
8,"More than 3 adjacent zinc fingers","cell killing",12.1428571428571,2.16796227636895
8,"More than 3 adjacent zinc fingers","cell population proliferation",30,2.5429739827544
8,"More than 3 adjacent zinc fingers","cellular process",93.5714285714286,2.94490000455984
8,"More than 3 adjacent zinc fingers","immune system process",59.2857142857143,2.81974279876731
8,"More than 3 adjacent zinc fingers","leukocyte cell-cell adhesion",20,0
8,"More than 3 adjacent zinc fingers","leukocyte differentiation",47.1428571428571,2.72740067627874
8,"More than 3 adjacent zinc fingers","phagocytosis",40,2.63070450314288
8,"More than 3 adjacent zinc fingers","phagocytosis, engulfment",2.85714285714286,0
8,"More than 3 adjacent zinc fingers","positive regulation of biological process",82.8571428571429,2.92549323662226
8,"More than 3 adjacent zinc fingers","reactive oxygen species metabolic process",7.85714285714286,1.93551787936584
8,"More than 3 adjacent zinc fingers","regulation of lipid metabolic process",5,1.80247590607909
8,"More than 3 adjacent zinc fingers","regulation of proteolysis",14.2857142857143,2.21810446765325
8,"More than 3 adjacent zinc fingers","respiratory burst",3.57142857142857,1.72986836926499
8,"More than 3 adjacent zinc fingers","response to external stimulus",81.4285714285714,2.94253859094735
9,"MyoD/ASC-related factors","actin cytoskeleton organization",20,1.6168763770538
9,"MyoD/ASC-related factors","apoptotic process",28,1.76387601900335
9,"MyoD/ASC-related factors","catabolic process",16,1.52587228461869
9,"MyoD/ASC-related factors","cell activation",76,2.19808726622193
9,"MyoD/ASC-related factors","cell junction disassembly",4,4.25417723569072
9,"MyoD/ASC-related factors","cell killing",12,1.51403262361029
9,"MyoD/ASC-related factors","cell population proliferation",44,1.92147120067981
9,"MyoD/ASC-related factors","cellular process",100,2.3319035532064
9,"MyoD/ASC-related factors","immune system process",60,2.04754317603322
9,"MyoD/ASC-related factors","leukocyte cell-cell adhesion",32,0
9,"MyoD/ASC-related factors","leukocyte differentiation",56,2.06692787067239
9,"MyoD/ASC-related factors","phagocytosis",52,2.03178706318082
9,"MyoD/ASC-related factors","phagocytosis, engulfment",4,0
9,"MyoD/ASC-related factors","positive regulation of biological process",88,2.25908894184911
9,"MyoD/ASC-related factors","reactive oxygen species metabolic process",8,1.34811748445647
9,"MyoD/ASC-related factors","regulation of lipid metabolic process",12,1.440316361614
9,"MyoD/ASC-related factors","regulation of proteolysis",12,1.49863629133623
9,"MyoD/ASC-related factors","respiratory burst",4,6.20996259591719
9,"MyoD/ASC-related factors","response to external stimulus",80,2.19554215842045
10,"NF-kappaB-related factors","actin cytoskeleton organization",11.6666666666667,2.04653102850166
10,"NF-kappaB-related factors","apoptotic process",23.3333333333333,2.35290782282919
10,"NF-kappaB-related factors","catabolic process",16.6666666666667,2.20747800497629
10,"NF-kappaB-related factors","cell activation",65.8333333333333,2.83324373269537
10,"NF-kappaB-related factors","cell junction disassembly",4.16666666666667,1.72001679354743
10,"NF-kappaB-related factors","cell killing",14.1666666666667,2.18495089581357
10,"NF-kappaB-related factors","cell population proliferation",30,2.49067489577316
10,"NF-kappaB-related factors","cellular process",95,2.92621086479216
10,"NF-kappaB-related factors","immune system process",63.3333333333333,2.7894962513076
10,"NF-kappaB-related factors","leukocyte cell-cell adhesion",24.1666666666667,0
10,"NF-kappaB-related factors","leukocyte differentiation",55,2.73125970345835
10,"NF-kappaB-related factors","phagocytosis",39.1666666666667,2.58576148122852
10,"NF-kappaB-related factors","phagocytosis, engulfment",3.33333333333333,0
10,"NF-kappaB-related factors","positive regulation of biological process",86.6666666666667,2.90382937393704
10,"NF-kappaB-related factors","reactive oxygen species metabolic process",9.16666666666667,1.93536537984492
10,"NF-kappaB-related factors","regulation of lipid metabolic process",7.5,1.91212768104548
10,"NF-kappaB-related factors","regulation of proteolysis",14.1666666666667,2.17628594566498
10,"NF-kappaB-related factors","respiratory burst",3.33333333333333,1.64693111771019
10,"NF-kappaB-related factors","response to external stimulus",83.3333333333333,2.91432068214062
11,"NFAT-related factors","actin cytoskeleton organization",10.0671140939597,1.8150316097863
11,"NFAT-related factors","apoptotic process",23.489932885906,2.02920885466789
11,"NFAT-related factors","catabolic process",17.4496644295302,1.89648874723094
11,"NFAT-related factors","cell activation",62.4161073825503,2.42030441730814
11,"NFAT-related factors","cell junction disassembly",3.35570469798658,1.72001679354743
11,"NFAT-related factors","cell killing",12.751677852349,5.35703688390383
11,"NFAT-related factors","cell population proliferation",29.5302013422819,2.13855430397635
11,"NFAT-related factors","cellular process",92.6174496644295,2.5694874696592
11,"NFAT-related factors","immune system process",59.7315436241611,2.37260129656489
11,"NFAT-related factors","leukocyte cell-cell adhesion",21.4765100671141,0
11,"NFAT-related factors","leukocyte differentiation",46.9798657718121,2.19494862437382
11,"NFAT-related factors","phagocytosis",40.2684563758389,2.23099988174789
11,"NFAT-related factors","phagocytosis, engulfment",3.35570469798658,0
11,"NFAT-related factors","positive regulation of biological process",81.2080536912752,2.53247895465902
11,"NFAT-related factors","reactive oxygen species metabolic process",8.05369127516778,1.66783574842706
11,"NFAT-related factors","regulation of lipid metabolic process",6.04026845637584,1.68760587714644
