"baseMean_MN","baseMean_RGC","Betweenness Dir","EAE_Combined_Score","ensembl_id","InDegree","is_sig_MN","is_sig_RGC","lfcSE_MN","lfcSE_RGC","log2FoldChange_MN","log2FoldChange_RGC","name","OutDegree","padj_MN","padj_RGC","pvalue_MN","pvalue_RGC","Regulatory function","selected","shared name","Specificity","stat_MN","stat_RGC"
"132.623744614926","79.6773711890511","0.0","1.93345571218932","ENSMUSG00000031627","0.0","true","false","0.782659786315532","0.167827858430257","1.93345571218932","0.0913785665198101","Irf2","27.0","0.0806415129428699","0.978585589078474","0.0134975075943954","0.586112625252648","Regulator","false","Irf2","MN_Only","2.47036547168382","0.544477939327239"
"214.697595737173","248.16980023408","0.0","2.30353205261637","ENSMUSG00000022216","9.0","true","false","0.876509315535252","0.117393686484285","2.30353205261637","0.264644255637668","Psme1","0.0","0.0589012543150037","0.645342825670532","0.00858696291496718","0.0241753369901743","Regulated","false","Psme1","MN_Only","2.62807480968949","2.25433124696271"
"384.004855756398","5.99855086638661","0.0","6.383573087997076","ENSMUSG00000096727","10.0","true","true","0.707706416206044","0.858266641144283","10.7937425557883","1.97340362020585","Psmb9","0.0","4.66730061019541E-49","0.634396161004537","1.60344256224935E-52","0.021488496145552","Regulated","false","Psmb9","Both","15.2517234669888","2.29928966780628"
"182.282696562758","18.1245550491036","0.0","5.98171731175756","ENSMUSG00000015340","31.0","true","true","1.0626223786359","0.676918225066112","9.87929244327167","2.08414218024345","Cybb","0.0","3.6769788436297E-18","0.281745432009325","1.44346432780217E-20","0.00207788397318038","Regulated","false","Cybb","Both","9.29708675621324","3.0788684704713"
"30.7636708541867","12.618095003739","0.0","3.05043059393674","ENSMUSG00000024737","12.0","true","true","1.38658160209933","0.730487215348168","4.53222424749978","1.5686369403737","Slc15a3","0.0","0.0128185466263549","0.684153246434481","0.00108068961869847","0.0317626817819998","Regulated","false","Slc15a3","Both","3.26863146073613","2.1473845228435"
"386.864797020199","15.608576567293","0.0","5.3268028618684795","ENSMUSG00000024338","10.0","true","true","0.750812149265201","0.575028196809686","9.22404474886389","1.42956097487307","Psmb8","0.0","1.5787642560462E-31","0.562128077813197","1.08476312769424E-34","0.0129162161694385","Regulated","false","Psmb8","Both","12.2854228689443","2.48607108799954"
"842.0187550546","29.5105708489047","0.0","1.68015170394203","ENSMUSG00000031897","10.0","true","false","0.448633592868486","0.280702138544553","1.68015170394203","0.56556441163","Psmb10","0.0","0.00315127314116528","0.707798937806897","1.80363510140901E-4","0.0439234645663607","Regulated","false","Psmb10","MN_Only","3.74504212490961","2.01482045901918"
"459.319055604022","24.3998287613652","0.0","5.64452136893418","ENSMUSG00000018899","0.0","true","false","0.812154445591036","0.45971123491802","5.64452136893418","0.483428099400864","Irf1","27.0","3.96578360461895E-10","0.922672763878503","3.65133298762498E-12","0.292987336425031","Regulator","false","Irf1","MN_Only","6.95005906767701","1.05159078717551"
"122.001915796666","15.3428288380952","0.0","10.0819468183729","ENSMUSG00000025498","0.0","true","false","0.932824197862851","0.811397713359158","10.0819468183729","0.685670588553188","Irf7","27.0","1.83692458772394E-24","0.951893371145876","3.15536036093846E-27","0.398083644978663","Regulator","false","Irf7","MN_Only","10.8079816555693","0.845048707020058"
"157.581148881502","27.5941174136741","0.0","9.20815289528102","ENSMUSG00000029771","0.0","true","false","1.2510084683597","0.618612742212026","9.20815289528102","1.18721356463409","Irf5","27.0","2.20243384637243E-11","0.741309765549361","1.83107390003479E-13","0.0549647559231171","Regulator","false","Irf5","MN_Only","7.36058398337991","1.91915472091453"
"153.085392807994","39.452884406507","0.0","8.77665893141813","ENSMUSG00000041515","0.0","true","false","0.913487837115394","0.581912970477441","8.77665893141813","0.83807880157406","Irf8","28.0","2.15619895177526E-19","0.861436309346967","7.40758194233634E-22","0.149807060518468","Regulator","false","Irf8","MN_Only","9.60785527165092","1.44021330352276"
"106.824106284102","85.1738980258759","0.0","3.79307670337833","ENSMUSG00000002325","0.0","true","false","0.854863520252987","0.209589916216303","3.79307670337833","0.185366084672542","Irf9","19.0","2.65990757788266E-4","0.94589918040108","9.11978755918269E-6","0.376468060436959","Regulator","false","Irf9","MN_Only","4.4370552883761","0.884422724236592"
"621.998790141765","262.624458495015","0.0","4.57710415073374","ENSMUSG00000026104","0.0","true","false","0.477543249606437","0.176442225425861","4.57710415073374","0.356000236978401","Stat1","32.0","2.64641498259776E-19","0.706306104505011","9.27354432544221E-22","0.0436267918360039","Regulator","false","Stat1","MN_Only","9.58469029665045","2.01765895957817"
"443.347958193456","394.153706687499","0.0","4.2060925789022","ENSMUSG00000040033","0.0","true","false","0.771880512323751","0.134629578482491","4.2060925789022","-0.0520538448139179","Stat2","24.0","2.63069569111141E-6","0.989512820117742","5.06111579985705E-8","0.699019085855533","Regulator","false","Stat2","MN_Only","5.44914985123764","-0.386644936429685"
"1897.82120738191","1153.32631144788","0.0","0.633434241981989","ENSMUSG00000043991","0.0","true","false","0.323117523393592","0.0874601742762506","0.633434241981989","-0.133625757773837","Pura","38.0","0.19021106957257","0.831814476596215","0.0499509899619597","0.126550549997922","Regulator","false","Pura","MN_Only","1.96038343983715","-1.52784691866458"
"777.508323858799","404.452978020627","0.0","1.31580455235758","ENSMUSG00000052684","0.0","true","false","0.449149518350566","0.387426678564347","1.31580455235758","0.355615774812947","Jun","18.0","0.0306289649359512","0.940952244979022","0.00339456647256351","0.35867551037626","Regulator","false","Jun","MN_Only","2.92954684041447","0.917891808924263"
"22.9028107399848","7.53698882369621","0.0","3.62399354789149","ENSMUSG00000021822","37.0","true","true","1.45597742483891","0.810838093078172","4.82412138760067","2.42386570818231","Plau","0.0","0.011253420513836","0.307427787767059","9.21949166962029E-4","0.00279586516943618","Regulated","false","Plau","Both","3.31332155657182","2.9893337879337"
"101.492789127972","16.6845197175313","0.0","2.43950497420464","ENSMUSG00000020865","15.0","true","true","1.45917934871353","0.695315534391849","3.31696986009326","1.56204008831602","Abcc3","0.0","0.115260270231757","0.652203604541191","0.0230156426476885","0.0246707352294566","Regulated","false","Abcc3","Both","2.27317489314637","2.24651976125091"
