"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","subtype"
7.99278237872435,1.19187654455791,0.593510406735329,2.00818137480345,0.044624021463451,0.227412110530076,"AL627309.1","NEU_EXC_LOWER"
19.3315662398074,0.737947329407334,0.338491447632733,2.18010627615034,0.0292495846576528,0.197209488199326,"AL627309.5","NEU_EXC_LOWER"
170.299169083967,1.05557710605286,0.388446330578272,2.71743358852546,0.00657903571643703,0.121897582428765,"LINC01409","NEU_EXC_LOWER"
121.952776942557,-0.138316830138162,0.201855200771671,-0.685227973366014,0.493200074457374,0.684571576604503,"LINC01128","NEU_EXC_LOWER"
5.9797683010403,-0.425058186614785,0.613867747879194,-0.692426321603125,0.488669640725809,NA,"LINC00115","NEU_EXC_LOWER"
7.31141943584671,1.1136024360762,0.507420778974301,2.19463309785467,0.0281899273473724,0.19501703439832,"FAM41C","NEU_EXC_LOWER"
86.8615332553547,-0.177148750526679,0.229408157753497,-0.77219900225618,0.439996572388364,0.644056130030317,"NOC2L","NEU_EXC_LOWER"
22.5710681050008,0.356900899606762,0.367339202639776,0.971584021095483,0.331257535010599,0.551036428238618,"KLHL17","NEU_EXC_LOWER"
68.4255942102013,-1.30843505054987,0.631140990456784,-2.07312640176151,0.0381605175120755,0.214621075247773,"HES4","NEU_EXC_LOWER"
30.4146569538221,-1.08741225612135,0.784122267549386,-1.38678915409434,0.16550606529587,0.384794576068293,"ISG15","NEU_EXC_LOWER"
46.9519952093966,-0.207924909555924,0.276074982929662,-0.753146508783444,0.45136187902903,0.652529655626985,"AGRN","NEU_EXC_LOWER"
143.970351010281,0.304162278124691,0.212081593438782,1.43417574902599,0.151522115703317,0.370752233406994,"C1orf159","NEU_EXC_LOWER"
19.8725651072165,-1.53396342224417,0.577497916448649,-2.65622330150965,0.00790212696108496,0.129155390017733,"AL390719.3","NEU_EXC_LOWER"
6.24627357486574,-1.12390726252166,0.759653766883576,-1.47949936078432,0.139006902062512,NA,"TNFRSF18","NEU_EXC_LOWER"
