"human_symbol","rank","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","subtype"
"ABCC3","Rank 1",23.3286559938841,0.314921073261854,0.469710406640563,0.670457943468223,0.502565907799811,0.692142486974687,"NEU_EXC_LOWER"
"ABCC3","Rank 1",2.68535718084602,-0.898696820348848,1.0529676809482,-0.85348946279108,0.39338792861322,NA,"NEU_INH"
"ABCC3","Rank 1",13.1656083235934,0.376997222254466,0.399070963773278,0.944687177162424,0.344818605397979,0.51129521632064,"NEU_EXC_UPPER"
"ARRDC2","Rank 2",19.3227645588258,-0.321082337907959,0.524867268883459,-0.611740066380958,0.540709748616952,0.719737366945374,"NEU_EXC_LOWER"
"ARRDC2","Rank 2",28.017409624855,-0.650595929097353,0.354309739410666,-1.83623495696028,0.0663229147228651,0.184091360823762,"NEU_EXC_UPPER"
"ARRDC2","Rank 2",7.29740898210372,-0.172753832218391,0.728270755349499,-0.237210997351508,0.812493105115351,NA,"NEU_INH"
"CAPN3","Rank 2",53.5575701457988,-0.136794872765497,0.389221425708138,-0.351457714632787,0.725244990375644,0.822223819029897,"NEU_EXC_UPPER"
"CAPN3","Rank 2",43.0156609231341,0.609389561961875,0.357234084845123,1.70585503403482,0.0880350735563135,0.296344122060414,"NEU_EXC_LOWER"
"CAPN3","Rank 2",4.94768091802232,-0.199546036452542,0.551936719253438,-0.361537889203046,0.717697386153988,NA,"NEU_PY"
"CAPN3","Rank 2",44.7864187898573,0.239592637302887,0.280115617219081,0.855334806682695,0.39236582362746,0.571705437838249,"NEU_INH"
"CD68","Rank 2",5.83821772047686,-1.62473099172725,1.02470446556571,-1.58556056533849,0.112839027752829,NA,"NEU_EXC_UPPER"
"CD68","Rank 2",3.5188370952355,-1.51944482906509,1.06902736165344,-1.4213338999247,0.155219712752732,NA,"NEU_INH"
"CNDP2","Rank 2",97.7322828222819,-0.740113308306473,0.289801285900886,-2.55386481811401,0.0106534608900277,0.0691975857037972,"NEU_EXC_UPPER"
"CNDP2","Rank 2",94.6336126626705,-0.663346771419805,0.375332336628511,-1.76735843593556,0.0771682191301652,0.280024174540015,"NEU_EXC_LOWER"
"CNDP2","Rank 2",77.0166375627061,-0.70813311336534,0.430921219668623,-1.64330063372115,0.10032074726523,0.274018526219121,"NEU_INH"
"CNDP2","Rank 2",14.0301385518027,-0.864130660224728,0.463525854176588,-1.86425558021953,0.0622858215121339,0.176496044134195,"NEU_PY"
"CTSC","Rank 2",21.3223742153675,-0.550499469647974,0.489879831426215,-1.12374389458997,0.261121689199281,0.42692723309639,"NEU_EXC_UPPER"
"CTSC","Rank 2",21.6917502196697,-0.475569872484875,0.375577616581015,-1.26623592964383,0.205428627584367,0.42793896662283,"NEU_EXC_LOWER"
"CTSC","Rank 2",28.3086661288934,-0.20445332659483,0.336383035588876,-0.607799160373564,0.543320686236794,0.695328166549931,"NEU_INH"
"CTSD","Rank 2",236.814590043485,-0.620617116249033,0.535622541898285,-1.15868371418709,0.24658513155972,0.46922020638776,"NEU_EXC_LOWER"
"CTSD","Rank 2",192.856945933257,-0.700630790676325,0.49039985164025,-1.42869290912897,0.153092516762072,0.302990460193839,"NEU_EXC_UPPER"
"CTSD","Rank 2",40.193838213923,-0.903720471613773,0.399003629300597,-2.26494298610236,0.0235161784406779,0.102395134900688,"NEU_PY"
"CTSD","Rank 2",196.124257590636,-0.385054067347638,0.477525970270914,-0.806352096681121,0.420039859542948,0.596715828888328,"NEU_INH"
"CTSH","Rank 2",24.0009103927234,-0.757244192673323,0.49989602362817,-1.5148033928683,0.129822201007571,0.273560295297677,"NEU_EXC_UPPER"
"CTSH","Rank 2",24.9621558465918,0.255285558924554,0.504644203890546,0.505872369000643,0.612946250642374,0.771867811510765,"NEU_EXC_LOWER"
"CTSH","Rank 2",2.80325777524514,-0.344960246020741,0.593442806085699,-0.581286423027133,0.561047429504132,NA,"NEU_PY"
"CTSH","Rank 2",22.645701121264,0.103445096521979,0.463797714580321,0.223039254549979,0.823504955206582,0.895212760989561,"NEU_INH"
"CTSZ","Rank 2",23.1055479974454,-1.03086228827625,0.709644559854559,-1.45264593938058,0.146322084037588,0.327628055826959,"NEU_INH"
"CTSZ","Rank 2",32.6754586117707,-0.866878104397008,0.569339680606853,-1.52260264640787,0.127858147297763,0.344456865349467,"NEU_EXC_LOWER"
"CTSZ","Rank 2",4.62431087305493,-2.104676389072,0.554207230022109,-3.79763430547097,0.000146083628449497,NA,"NEU_PY"
"CTSZ","Rank 2",35.7953368059533,-1.61873179179947,0.54665821225787,-2.96114053626598,0.00306502046391096,0.0381995723909112,"NEU_EXC_UPPER"
"CYBB","Rank 1",19.923576160612,-0.468188654864248,0.523569446569376,-0.894224554033846,0.371201757296782,0.537344275135241,"NEU_EXC_UPPER"
"CYBB","Rank 1",12.8593629880458,-0.882483795701724,0.504932363737098,-1.74772674338063,0.0805113556428329,0.285946130751307,"NEU_EXC_LOWER"
"CYBB","Rank 1",10.16595229862,-0.274538101375345,0.522142059049558,-0.52579196909569,0.599032755027031,NA,"NEU_INH"
"CYTH4","Rank 2",3.24559004620402,-0.764806397857625,0.867887420822166,-0.88122765638556,0.378194613064202,NA,"NEU_EXC_LOWER"
"FGD2","Rank 2",2.52627431509048,-1.2560251932256,0.770585513762929,-1.62996211425279,0.103109504367273,NA,"NEU_INH"
"GRN","Rank 2",32.8432427626171,-0.968074998620903,0.446652334036642,-2.16740163399994,0.0302042427911096,0.177099525630154,"NEU_INH"
"GRN","Rank 2",6.3320698662993,-0.835872935027816,0.45925358911119,-1.82006837800769,0.0687485924889936,0.187341470869494,"NEU_PY"
"GRN","Rank 2",50.9292239354205,-1.00272729078819,0.462245647056081,-2.16925199225626,0.0300635578201015,0.118316379058833,"NEU_EXC_UPPER"
"GRN","Rank 2",43.0659262176697,-0.740090506558279,0.405087248259574,-1.8269903822893,0.0677012154788513,0.265509627651262,"NEU_EXC_LOWER"
