"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ubn2",982.728335099948,-0.285011855910283,0.0882355855559392,-3.23012369799022,0.00123736670417431,0.192881833204379
"Ifi27l2a",2.97776035530044,3.86799386285585,1.19881808782703,3.22650609140119,0.00125311564601618,0.192881833204379
"Usp29",357.389113674352,-0.452024722345439,0.140151987518235,-3.22524660798426,0.00125864199339218,0.192881833204379
"Lcp1",78.218063796612,1.40280507873441,0.434951046841925,3.22520221280035,0.00125883720002858,0.192881833204379
"Pfkp",7984.16180101564,-0.447616759458892,0.139103660396572,-3.21786470739,0.00129148720374835,0.196207551708446
"Il1b",17.1239289985384,2.7939166209748,0.87102654156877,3.20761364624181,0.00133841168176654,0.200738719156249
"Rec8",57.2572192673622,1.89950199448212,0.592542924235817,3.20567830074394,0.00134744538184765,0.200738719156249
"Cd14",30.1302744715318,2.2417835757732,0.699663296983344,3.2040891460776,0.00135490517196999,0.200738719156249
"Sipa1l3",1031.88657792136,-0.450882692452029,0.140957855993323,-3.19870566471576,0.0013804602917577,0.20284845615033
"Slc35f4",22.1717408110205,-1.58367317782626,0.495867254228599,-3.19374422150525,0.00140440489833665,0.20347450564679
"Celsr2",908.195731721229,-0.362053608634226,0.113385361747913,-3.19312478306653,0.00140742113572834,0.20347450564679
"Rgs11",173.214573439273,-1.00054834272596,0.313813243828715,-3.18835601238064,0.00143084251001752,0.205205709416672
"Adcy7",103.181369697271,0.754631896227524,0.237121661987212,3.18246713481715,0.00146026087414318,0.20720729272905
"Socs3",93.189606672323,1.51134925311443,0.475124712702601,3.18095273242595,0.00146791577936014,0.20720729272905
"Gm51971",114.92320753934,-0.54150938263434,0.170578036888391,-3.17455513331208,0.00150066378928751,0.209413698479369
"Slc2a4",41.1604135313567,1.15671113154993,0.364507941830591,3.1733496003978,0.00150690952774243,0.209413698479369
"H2-K1",205.141843769033,0.991875513526813,0.312954715284574,3.16938989919001,0.00152759321570623,0.210655104445889
"Il1a",13.333180006176,2.77249799643886,0.875771731173835,3.16577699159432,0.00154669323364159,0.211660836637349
"P3h3",369.561847143965,-0.360728997269924,0.114084749868778,-3.16193880150362,0.00156722497375573,0.212845773519083
"Ppm1j",32.3514533921972,-1.81308812186192,0.576629265864278,-3.14428737699322,0.00166491851240693,0.224413490014429
"Slfn5",9.53502195121978,2.04746039652183,0.652379732965719,3.1384488098888,0.00169844598503002,0.226733911702649
"Cd52",18.418353781305,1.66338349687547,0.530263051437759,3.13690250973618,0.00170742891057386,0.226733911702649
"Usp48",1851.83118774524,-0.171459912663236,0.0547132502358089,-3.13379139283922,0.00172563487084103,0.227466590658581
"Aoc3",30.8542070984166,-0.779672950541778,0.24903723663634,-3.13074848192403,0.00174361423097128,0.228075646162812
"Xpo1",653.814687123616,-0.250628557577141,0.0802176138607164,-3.12435817415752,0.00178193401776624,0.228075646162812
"Hcar2",10.7167253707292,2.49887878266371,0.79997116974517,3.12371105006162,0.0017858573868683,0.228075646162812
"Scn1a",756.544213562151,-0.497057392590863,0.159147105207933,-3.12325751663177,0.00178861178972532,0.228075646162812
"Pcdh11x",50.6415115932574,-0.896766162246164,0.287204689535486,-3.12239387071485,0.00179386769169167,0.228075646162812
"Zfp612",418.333299987491,-0.27993325699043,0.0897881823454237,-3.11770713782243,0.0018226381778138,0.23010165220893
"Cndp2",313.903142135182,0.341296671399133,0.109639480133468,3.11289939521476,0.0018525915751174,0.232247616553354
"LOC118568199",2.0735001747614,-3.67901285953802,1.18352980743412,-3.10850883216375,0.0018803402567518,0.234089304047149
"Fam131c",51.644085580414,0.692535614580838,0.223007827415071,3.10543187029872,0.00190001385725243,0.234907230475616
"Ppp1r3d",72.8185685401518,0.685064930545245,0.22105950568291,3.09900688698684,0.00194170506478669,0.23841744312624
"Morn4",179.482814930388,0.391022708433761,0.126551490555835,3.0898309195437,0.0020027046868358,0.244234604904119
"H2-Eb1",10.429440920022,2.68978611476779,0.872625837090294,3.08240485261895,0.00205335361542337,0.248719393673613
"Igsf6",8.2533584905547,2.46245627209216,0.801467096007046,3.07243589207873,0.00212319433723347,0.255453052909963
"Usp9x",1240.00162216679,-0.325378587164997,0.106097478059988,-3.06678908033068,0.00216371474741446,0.258592761845994
"Mfsd4a",495.765725087649,0.409267146338351,0.133731037050181,3.06037517816286,0.00221059883887972,0.262446393275475
"Gls",880.606806797451,-0.395556669725667,0.129367590814709,-3.05761796470506,0.00223103808975243,0.263130393651261
"Zbtb4",1463.76337396005,-0.22343875152101,0.0733214644862627,-3.047385279148,0.00230841622127651,0.266675217149263
"Nfam1",20.2564322341699,1.92899620110756,0.633039991804412,3.04719484721521,0.00230987925930884,0.266675217149263
"Drp2",474.503598588245,-0.575514396556149,0.189129925988916,-3.04295786902532,0.00234265128987083,0.266675217149263
"St3gal3",319.513980861845,0.353677733455865,0.11623912861713,3.04267364753579,0.00234486484224167,0.266675217149263
"Axin2",138.359576384409,-0.544131699462952,0.178872245298134,-3.04201302195333,0.0023500172779326,0.266675217149263
"Scg2",1784.56454033129,-0.407003013813729,0.13379583656757,-3.04197069396985,0.00235034776089606,0.266675217149263
"Ints6l",837.228990508209,-0.238392439706349,0.0784582035422357,-3.03846416236152,0.00237787385819292,0.267682621151097
"Camp",2.7675908616064,5.16000860631401,1.69927925691196,3.0365865912417,0.00239273372255243,0.267682621151097
"Unc5a",398.853192705986,-0.473336780367068,0.155950797705757,-3.03516742030487,0.0024040219783191,0.267682621151097
"Igfn1",31.1308161103198,-2.28482795284524,0.754501668264784,-3.02826096872646,0.00245965576626878,0.272186721740126
"Plau",7.12261333632159,2.42454677470941,0.801715214231935,3.02419953079248,0.0024929196372659,0.274175278142735
"Luzp2",358.843663196162,0.499037008853143,0.16517804735365,3.02120661218795,0.00251769498379696,0.275211694966635
"Trpc1",224.863330761351,-0.294800231196903,0.097775842792725,-3.01506203144523,0.00256926703097241,0.279146970086318
"Nfat5",1244.49922898524,-0.270367043736545,0.0898145449243428,-3.01028128533407,0.00261005850057885,0.281154363185017
"Atp11a",1309.63277875468,-0.464883245291472,0.154514373398368,-3.00867314196663,0.00262391242536311,0.281154363185017
"Cmpk2",58.4381843195889,0.6477668038385,0.215389854337582,3.00741558060228,0.00263479293886779,0.281154363185017
"Osbpl6",684.770237582455,-0.275487791448767,0.0918386336941642,-2.99969392365071,0.0027025102771272,0.286673974781416
"Pdia6",444.194684374788,0.402704150285457,0.134522991448832,2.9935711802739,0.00275733182495825,0.290015748466367
"Cd177",2.51802779247575,4.03030116183652,1.34676805685579,2.99257258242804,0.00276636877267523,0.290015748466367
"Ctsf",701.023359696075,0.288418778775702,0.0964845459811434,2.9892743531391,0.0027964091286868,0.291460618895164
"Ifi204",8.43718639521809,2.66452935224335,0.892284773137617,2.98618718200675,0.00282479679269023,0.292196471206621
"Lyz2",53.3488253877034,1.61077623239356,0.53987010267156,2.98363666449132,0.00284844796685512,0.292196471206621
"Adcy1",1005.31617933654,-0.575368041016864,0.192868386919538,-2.98321591322739,0.00285236695828408,0.292196471206621
"Shank1",2066.30326934222,-0.346138440564192,0.116174548495718,-2.97946878250145,0.00288748650462027,0.293702185535855
"Osbpl8",282.849677696947,-0.356682727377358,0.11979016479823,-2.97756270707316,0.00290550202222279,0.293702185535855
"Bmp7",308.869077287401,0.42691124718531,0.143430426307543,2.97643434643308,0.00291621515174776,0.293702185535855
"Mstn",2.7886166790435,-4.41701927171138,1.48524071456053,-2.97394168393663,0.00294000943877808,0.294444408988685
"Gfra1",432.95438492346,-0.701580060213571,0.236544046035638,-2.96595949875597,0.00301740222979739,0.299739751066527
"Psrc1",25.3548657143978,1.21797155444858,0.410775858662975,2.96505144779669,0.00302632314068396,0.299739751066527
"Slc9a7",635.042652119238,-0.22583804785866,0.0762937874740017,-2.96011058483128,0.00307528632635662,0.302915703146127
"Fzr1",283.628192169522,0.245313107039419,0.0830720692803015,2.95301548600751,0.00314686176014956,0.304729995371529
"Osm",4.22596394035915,2.90292365598712,0.983138533521805,2.95271068827732,0.00314997031160719,0.304729995371529
"Fam210a",119.88203391356,-0.439883691124714,0.149026697939741,-2.95171064786379,0.0031601891278058,0.304729995371529
"Glra2",446.911403880383,0.642455661738218,0.217768101840186,2.95018258555469,0.00317586185651433,0.304729995371529
"Odc1",135.351535992999,0.393614256028256,0.133432774440813,2.94990685517711,0.00317869744711753,0.304729995371529
"Rai1",1019.7366096212,-0.31319773046221,0.106422188328756,-2.94297397357297,0.00325075746078332,0.309980473401396
"Cngb3",32.6582347977401,-1.65414813726339,0.563063573717428,-2.93776442745613,0.0033058811628831,0.313568950301616
"Rab3il1",55.7725726556903,1.26349368457695,0.430972446112894,2.93172729712278,0.00337082596024589,0.318046299943832
"Ptprt",1660.01725257138,0.606245641983319,0.20703505572286,2.92822700902812,0.0034090104733565,0.319965082491424
"Gabra4",53.107536584059,0.874849072291135,0.299096744300808,2.924970227731,0.00344489179632499,0.321648829337074
"LOC118568500",22.831697172372,0.862083819968286,0.295120134363063,2.92112844767051,0.00348766003187862,0.323954825862632
"Dnmt3a",1214.10145704629,-0.238970590986625,0.0818543730812299,-2.91946028038695,0.00350638074944292,0.32401488502713
"Map1a",1453.00354480671,-0.570248064536549,0.195501927920144,-2.91684113094514,0.00353595824918932,0.32504576410629
"Itpa",133.654952938676,0.363374228549548,0.124645100956194,2.91527084307353,0.00355379984184932,0.32504576410629
"Fgfr4",241.489871620823,0.754347651595989,0.259109221513624,2.91131148165765,0.00359915023619899,0.326418177330738
"Trak2",524.245916099662,-0.369484879507742,0.127004640077137,-2.90922346839717,0.00362327767943112,0.326418177330738
"Gm14326",70.8160651863001,-0.494367709283101,0.170010107616523,-2.90787245660831,0.0036389671944103,0.326418177330738
"Arpc1b",28.0491776933489,1.7049239265251,0.586359432483528,2.9076430463545,0.00364163750020347,0.326418177330738
"Igtp",16.0309244711773,1.19290423991711,0.410891332007968,2.9032110122342,0.00369357679109177,0.328946556942515
"Whrn",272.5496860581,-0.529340035660141,0.182466285170543,-2.90102927872615,0.00371939124275255,0.328946556942515
"Srrm1",1649.28316247846,-0.180050119640006,0.0620741308644786,-2.90056609947701,0.00372489267916164,0.328946556942515
"Gadd45a",78.0248467026895,-1.41991148902108,0.489861055818673,-2.89860047487971,0.00374832188964793,0.329392973116267
"Art3",31.2806966006639,1.18412173960931,0.409236535071995,2.89348979900096,0.0038098666616131,0.33316819337921
"Selenom",229.023577201779,0.456623567059164,0.158073132149417,2.88868551442092,0.00386855759300911,0.334871068278678
"Ubb-ps",78.9371128823202,1.45003974949388,0.502083613460439,2.88804436277053,0.00387645195455974,0.334871068278678
"Os9",822.537174691341,0.216604464213689,0.0750637462366296,2.88560690177744,0.00390659763208286,0.334871068278678
"Ntpcr",64.6946886848462,0.697433538721797,0.241805264441316,2.8842777279196,0.00392312596368299,0.334871068278678
"Adcyap1",5.56647304809444,-3.18685458874437,1.10586297336879,-2.88178071378613,0.00395434826899516,0.334871068278678
"Ankrd52",625.780588102478,-0.304798204878882,0.105772396658859,-2.88164222903948,0.00395608644855921,0.334871068278678
"Sumo2",226.235697514708,0.320116025013007,0.111100365612374,2.88132287637903,0.00396009742149159,0.334871068278678
"Dmxl2",1516.75423513085,-0.368117875569778,0.128012269750774,-2.87564525093153,0.00403202584811677,0.337456212636548
"Fyb",51.5347736475342,1.18899082712429,0.413781689556484,2.87347375955354,0.00405984802357871,0.337456212636548
"Grik3",811.663643506241,0.537881389982546,0.187265388550844,2.87229473713722,0.00407502710152292,0.337456212636548
"H2-M3",5.30979358295119,2.78433444570551,0.970020637545519,2.87038681233712,0.00409969942879282,0.337456212636548
"Thap3",78.7645882724054,0.444417139029623,0.154830629169171,2.87034381642953,0.0041002569889188,0.337456212636548
"Zfp369",309.848973690683,-0.262039264970571,0.0913859800420587,-2.8673902151071,0.00413872368347716,0.337456212636548
"Cplx3",4702.97942530113,0.395606482749481,0.138025358188268,2.86618696696205,0.00415448802677669,0.337456212636548
"Hk3",13.2396507718455,1.62770925318871,0.568367848165898,2.86383063088679,0.00418551744679074,0.337456212636548
"Ufc1",161.775909658753,0.37858715065037,0.132197313967505,2.86380365295038,0.00418587391996071,0.337456212636548
"Celf5",868.684551254298,-0.349808180095654,0.122180951946135,-2.863033676885,0.00419605962255283,0.337456212636548
"A930013F10Rik",712.6652455716,-0.273362648778304,0.0954842774965758,-2.86290744345955,0.00419773165716239,0.337456212636548
"Junb",277.776059205385,0.883795342167063,0.309132344419487,2.85895461319883,0.00425039592908922,0.339785900197916
"Tmem50a",199.73677931481,0.357989152023205,0.125263241765908,2.85789467825059,0.00426461915236967,0.339785900197916
"Trim7",35.0802856054273,0.864561384069092,0.303083012539185,2.85255638983499,0.00433691170186011,0.343838097321847
"Phip",890.410441914557,-0.248972289224345,0.0873183112558546,-2.85131819023414,0.00435383768015057,0.343838097321847
"Nfkbia",96.1813714758642,0.818782235729351,0.287332214987605,2.84960123863825,0.00437740721307268,0.344183241705061
"Cacna1h",683.286900211077,-0.952922506747828,0.334640293668303,-2.84760241004441,0.00440499188462139,0.344839692207893
"Ubr1",527.736136167203,-0.27446320859869,0.0965063798606829,-2.84399030400795,0.004455240365961,0.34725693061123
"Gm32918",50.9799130746353,1.02679000157081,0.361908314469711,2.83715504871813,0.00455175020307753,0.35160071207471
"Shisa7",374.345207376099,-0.47655577535842,0.1680010213184,-2.83662427536818,0.00455932307476559,0.35160071207471
"Tcp11l1",697.508820108016,-0.233261036721829,0.082253184551176,-2.83589064660104,0.00456980899834928,0.35160071207471
"Wfdc17",1.98732639852475,3.57151368042908,1.26290766882288,2.82800854614968,0.00468385561276875,0.358197233927375
"Syndig1l",21.866685306365,-1.54144958147055,0.545499157242368,-2.8257597853367,0.0047168622170401,0.358197233927375
"Gm48350",17.2326846404803,-1.47487319341431,0.522064857062924,-2.82507656560484,0.00472693192165999,0.358197233927375
"Ifi207",3.41011960895674,2.91088271112658,1.03058394921032,2.82449839564941,0.00473546853577219,0.358197233927375
"0610030E20Rik",177.802933646839,-0.283625209057211,0.100475546687587,-2.82282822445445,0.00476020685990915,0.358555581418451
"Cpne9",47.7584444550973,-1.42372062706901,0.504879748519245,-2.81992025080155,0.00480355858876476,0.360096431161368
"Etnk1",2172.34175472837,-0.231736755340604,0.0822533105432732,-2.81735475216755,0.0048421010301368,0.360096431161368
"Trim30a",13.5941010716987,1.72254014524801,0.611584878798463,2.81651853236163,0.00485472420412896,0.360096431161368
"Chst8",4.16767398886975,-2.65247519418617,0.941895717900171,-2.81610282728486,0.00486101056178118,0.360096431161368
