ensembl_id	baseMean_MN	log2FoldChange_MN	lfcSE_MN	stat_MN	pvalue_MN	padj_MN	baseMean_RGC	log2FoldChange_RGC	lfcSE_RGC	stat_RGC	pvalue_RGC	padj_RGC	symbol
ENSMUSG00000000001	149.45023815637	-0.221034420726221	0.904457985947893	-0.244383292712675	0.806933980052209	0.919823862637308	132.923572109328	0.201638750867921	0.14534198579999	1.38734000198266	0.16533811076495	0.869316861313829	Gnai3
ENSMUSG00000000003	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	Pbsn
ENSMUSG00000000028	23.929563314853	1.51288898401705	1.52565248675076	0.991634069459098	0.321376063452704	0.586609207690883	9.18407875036626	-0.107529255797448	0.506185590988619	-0.212430495280269	0.831771196845033	0.995622715445135	Cdc45
ENSMUSG00000000031	12.0952924686847	8.21527947185563	1.91984205169458	4.27914341422216	1.87613951462868e-05	0.000492876073933318	0	NA	NA	NA	NA	NA	H19
ENSMUSG00000000037	1.11848637948119	1.11013169503962	3.00490968804501	0.36943928779499	0.711800318496787	NA	32.3155217047128	0.0917650617121741	0.274191113442519	0.33467555005721	0.737869847099151	0.991770908949905	Scml2
ENSMUSG00000000049	0.762443679554413	-1.4137068395772	3.02956624172844	-0.466636715218561	0.640759814215945	NA	0.803154944071702	1.90381696643024	2.3885588995796	0.797056738590503	0.425418079841968	NA	Apoh
ENSMUSG00000000056	210.751204834631	-1.64456448868149	0.67894310560472	-2.42224197448284	0.0154250756242331	0.0875913190148608	462.478448759431	0.0176328667227494	0.126080883449029	0.139853610161908	0.888775654693773	0.996473009015094	Narf
ENSMUSG00000000058	26.5750375745764	-0.660156352999705	0.89565138975927	-0.737068418078533	0.461080743713464	0.708685945307399	33.2280558402224	0.102506982469461	0.610100489665435	0.168016554986988	0.866570255224276	0.995622715445135	Cav2
ENSMUSG00000000078	257.011107811779	1.99930413233189	0.570595891140207	3.50388806399697	0.000458518047257468	0.0065105089363758	190.428977591674	0.423851206765228	0.236287466979589	1.7937947034738	0.0728459426581366	0.765858013213891	Klf6
ENSMUSG00000000085	92.7877150173591	0.673247538047552	0.922399234180212	0.729887355821479	0.465459041729753	0.711809487583778	505.36285120448	-0.132802031348976	0.105632820273989	-1.25720425720449	0.208679682137666	0.900753347920571	Scmh1
ENSMUSG00000000088	1633.85916961609	-1.52091387547793	0.593982562494612	-2.56053623710835	0.0104510763584036	0.0676924634268828	200.81005318635	-0.0203037484121082	0.134395059665362	-0.151075109923413	0.879916466527253	0.996473009015094	Cox5a
ENSMUSG00000000093	12.1336056010572	0.537215038951201	1.65805202258985	0.324003729456016	0.745935210716285	0.887100919820625	198.08090939789	-0.573909894417012	0.413578854016582	-1.38766740330975	0.165238346294998	0.869316861313829	Tbx2
ENSMUSG00000000094	0.47818380111341	4.85451059533223	3.11980479331877	1.55603023808683	0.119700902164568	NA	0.773997186998948	1.98487762839966	1.56825437689392	1.26566050612968	0.2056346536157	NA	Tbx4
ENSMUSG00000000103	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	Zfy2
ENSMUSG00000000120	41.887267876078	6.26986095272341	1.46208983268395	4.28828708918238	1.8005627603303e-05	0.000473876861009895	604.867298304189	-0.263137193216714	0.316148908316182	-0.832320423366919	0.405228105625411	0.953463927928933	Ngfr
ENSMUSG00000000125	6.97744328767047	-1.48122058407335	2.07882251480239	-0.712528642308911	0.476137481497791	0.718760969137418	2.75684062209022	-1.36695222511548	0.905315221267913	-1.50991852672159	0.13106421465916	0.837119822552684	Wnt3
ENSMUSG00000000126	27.2725391086093	-1.1444266869319	1.52297767393777	-0.751440225629111	0.452387761665092	0.702373744748641	3.52254583700624	-0.804037981670791	0.859750855706401	-0.935198815254642	0.349685848981166	0.940046580807138	Wnt9a
ENSMUSG00000000127	57.6152398346056	-0.613798733037391	0.720658774219663	-0.851718947988969	0.39437010143071	0.655063051383537	297.525939724246	-0.102836266948858	0.10173466253192	-1.01082821124601	0.312098658174685	0.925973827341283	Fer
ENSMUSG00000000131	663.652548003112	0.956821695258755	0.396494734748731	2.41320151669887	0.0158130739482641	0.0891338025728258	541.004331260887	-0.287894345618079	0.0791316015995198	-3.63817160020462	0.000274580459801205	0.0984012799961493	Xpo6
ENSMUSG00000000134	479.853283827782	1.05854079315602	0.517874542674858	2.04401009497122	0.0409525498772943	0.166766483188064	267.062830601076	-0.0682391256618166	0.143288135046102	-0.476237098346358	0.633905472429952	0.982357171123994	Tfe3
ENSMUSG00000000142	30.0560163049311	2.01846883194603	1.24444771244731	1.6219796233757	0.104807711184926	0.307014690996756	142.37426778933	-0.545368465889325	0.201501406897328	-2.70652435775403	0.00679915943679281	0.441276154785549	Axin2
ENSMUSG00000000148	50.8425478410676	2.80652413404391	1.06907765834344	2.62518266296267	0.0086602493669058	0.0591785959517975	102.683988326204	0.0822366616340957	0.147284863004918	0.558351075299231	0.576604674278748	0.977544133123477	Brat1
ENSMUSG00000000149	640.309362914952	1.05501023345372	0.698309930681423	1.51080514124182	0.13083810444489	0.351181053125922	84.3230496070686	0.253973310201034	0.217193235218131	1.16934263604464	0.242265611641065	0.907055815893543	Gna12
ENSMUSG00000000154	0.421854813940869	3.36436694886736	3.11165438181938	1.08121485744834	0.279601550530899	NA	0.0740735068645226	-0.830997065962761	3.35247101097365	-0.247875988559679	0.80423035858921	NA	Slc22a18
ENSMUSG00000000157	0.382547040890728	4.68834987187971	3.12193669760216	1.50174405377299	0.133163221883625	NA	0.976116495688488	3.1345437166162	2.19976978449916	1.42494170922066	0.154174051625566	NA	Itgb2l
ENSMUSG00000000159	9.10358904007955	4.44080907956063	2.93096834989104	1.51513375425078	NA	NA	0.192057423143088	-1.46817898445872	3.33956612356278	-0.439631655771021	0.660203909523179	NA	Igsf5
ENSMUSG00000000167	37.0728189620147	4.44097886589988	1.59069267493656	2.79185221373889	0.0052407286172429	0.0419315911464283	3.44074361318622	-0.205031130142917	1.11194833298023	-0.184389080015432	0.8537082358327	0.995622715445135	Pih1d2
ENSMUSG00000000168	1201.57646754894	0.0289138114219873	0.480102203700499	0.0602242839110659	0.9519770050504	0.98304763243249	239.618966489268	0.0892117600931751	0.167991766501586	0.53104840761546	0.59538523467997	0.980246756262815	Dlat
ENSMUSG00000000171	636.752170590342	-1.95699253703247	0.4958836113429	-3.94647552826509	7.93100237091381e-05	0.0016513277325648	123.464182303659	0.0891132995468106	0.145425344323399	0.612776954123204	0.540023831137862	0.974952672906326	Sdhd
ENSMUSG00000000182	0.483841641835785	1.68588679351416	3.04515619054788	0.553629005548921	0.579832771128099	NA	7.71661404376587	0.0283873454889586	0.47279637096536	0.06004137770981	0.952122679469778	0.998558505056972	Fgf23
ENSMUSG00000000183	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	Fgf6
ENSMUSG00000000184	87.920245240157	2.8923426133746	1.05067121837095	2.75285223655326	0.0059078554671298	0.0456142856597385	7.62339346655216	0.638651910446214	0.91136431946391	0.700764663270872	0.483449894046383	0.966271732651078	Ccnd2
ENSMUSG00000000194	175.005275685715	1.24689332880597	0.728970728035721	1.71048477099463	0.0871762671843538	0.273735359784484	293.535707450414	-0.0188224470348585	0.113299133251424	-0.16613054746932	0.868054214775468	0.995622715445135	Gpr107
ENSMUSG00000000197	380.692234865401	-0.330442742119851	0.381659132775114	-0.865805934518431	0.386596594216776	0.648448592675834	889.546852161081	-0.121936038150952	0.127912019285685	-0.953280534791763	0.340447951208078	0.938445615097374	Nalcn
ENSMUSG00000000202	11.9252251842209	0.477649372101065	2.1129924868906	0.226053511815347	0.821159800899979	0.9275077944892	1.09664233613001	0.172509130384733	1.66822768813794	0.103408624381056	0.917638667577631	NA	Btbd17
ENSMUSG00000000204	5.04046905668163	7.40944874226486	2.2754901375236	3.25619901404123	0.00112914576379261	0.0132425308418184	5.28300310126962	5.59271454754952	1.42314748863841	3.92982076151525	8.50092057796572e-05	0.0538991060491403	Slfn4
ENSMUSG00000000214	10.2676892113578	1.63246548022464	1.41012175771206	1.15767696746509	0.246995886652071	0.509356595885054	73.7314148406265	0.521106662053718	0.421532100457461	1.23622059029003	0.216376579067814	0.90290067724075	Th
ENSMUSG00000000215	0.577644592718524	-0.984849172611263	3.0345703341471	-0.324543201892226	0.745526820271927	NA	0	NA	NA	NA	NA	NA	Ins2
ENSMUSG00000000216	2.19200040042508	3.50306390163869	3.01130444894088	1.16330446191542	NA	NA	0.421743255100505	0.293254757449074	2.6347092793282	0.111304408326921	0.911374959789908	NA	Scnn1g
ENSMUSG00000000223	196.597340648516	-0.2085369929617	0.873530136096341	-0.238729019577523	0.81131571288945	0.922707578760104	522.070942687869	-0.577820475320097	0.197553533119252	-2.92488049288038	0.00344588529126117	0.346076390696927	Drp2
ENSMUSG00000000244	12.386747924134	8.80338047876971	2.29865599496251	3.82979467047799	0.00012825022628672	0.00240225713433323	3.22800028566768	0.87078842035153	0.973954196115869	0.894075331082546	0.371281587194492	0.943829991173878	Tspan32
ENSMUSG00000000247	2.42580041791039	-2.47599822288407	2.76872883758222	-0.894272559044182	0.37117607829018	0.634272237106408	70.1042161296178	0.237841037516183	0.424847352384304	0.559827044187482	0.575597415113697	0.977544133123477	Lhx2
ENSMUSG00000000248	0	NA	NA	NA	NA	NA	0.0617573196768837	0.4674093734454	3.35247101097365	0.139422346059199	0.889116415208274	NA	Clec2g
ENSMUSG00000000253	616.833514831437	0.364390830857837	0.384074401869011	0.948750630306555	0.342747456710441	0.606928639124439	83.5032184413588	0.318451069664383	0.203957966962784	1.56135636379672	0.118439691601583	0.824660930171345	Gmpr
ENSMUSG00000000263	1300.22498076243	0.271973103797696	0.352162583775953	0.772294151415943	0.439940228598804	0.693014414459988	34.7704944027308	-1.14182137611563	0.64077388654174	-1.78194118096485	0.0747588240710277	0.766905504903221	Glra1
ENSMUSG00000000266	78.2733373551916	-1.11901704233115	0.978974496037786	-1.14305024988921	0.253017728340145	0.516758352268099	213.586795964586	-0.122937604835159	0.12174093548645	-1.00982963818972	0.312576917781897	0.925973827341283	Mid2
ENSMUSG00000000275	249.673837166624	5.06149292187508	1.99947562612155	2.53141016362026	0.0113604914915973	0.0714831790612656	21.6928531065251	-0.0954115164173186	0.666413167310236	-0.143171715532598	0.886154567399548	0.996473009015094	Trim25
ENSMUSG00000000276	269.634050229849	-0.0710279054414885	0.471614224184925	-0.150605944009097	0.880286572239594	0.953747545029037	484.428470210711	-0.234450227119257	0.216627293285334	-1.08227464583813	0.27913050849588	0.920307486661553	Dgke
ENSMUSG00000000278	204.123073588092	1.46307509891734	0.780989362703893	1.87336110936514	0.0610185365710362	0.216231746105396	72.7340062523911	0.0493278052208594	0.196907733298854	0.250512280012857	0.802191209323108	0.995622715445135	Scpep1
ENSMUSG00000000282	250.697968909501	0.829871802105867	0.542067631076368	1.53093775486652	0.125784777083607	0.34247801389602	479.461722957071	-0.0341883513172876	0.211645807319742	-0.161535689037477	0.871671504650356	0.99616948784706	Mnt
ENSMUSG00000000290	153.243122386741	9.13586120725728	0.800159538864245	11.4175495804559	3.41733637193751e-30	2.76310630873214e-27	63.3297673684678	1.49631284384384	0.561605569045694	2.66434830122223	0.00771376488209717	0.463959712803425	Itgb2
ENSMUSG00000000295	321.910300757905	0.934194950334118	0.380121141210189	2.45762429145595	0.0139859405054544	0.0822367203013902	33.082222904126	-0.0416990530906136	0.301909876450239	-0.138117552101633	0.890147514152681	0.996473009015094	Hddc2
ENSMUSG00000000296	622.984108367797	-1.59943218640685	0.357986831485567	-4.4678520150296	7.9008930213238e-06	0.00023664143940637	2.98144247972267	0.0512235701562209	0.922914668240114	0.0555019569186153	0.9557385709596	0.998558505056972	Tpd52l1
ENSMUSG00000000301	21.2995822161786	-2.41072324526984	1.58954011540818	-1.516616801238	0.129363460959002	0.348630638431161	3.2355211846543	0.305824206081386	0.789529197982898	0.387350090234421	0.698497047515334	0.989512820117742	Pemt
ENSMUSG00000000303	8.33799265019516	1.40761862521558	1.57947608218908	0.891193378037537	0.372825436329752	0.635815335404302	1.13382509443629	-3.86754257733837	1.93485725766214	-1.99887746862084	0.0456216131464631	NA	Cdh1
ENSMUSG00000000305	58.3521857826273	0.277940802985973	0.94562080867772	0.29392416118108	0.768815855197663	0.898814841075331	537.307787476618	-0.178385481912278	0.272983215999434	-0.653466848718816	0.51345535475468	0.971763719629003	Cdh4
ENSMUSG00000000308	2847.62205285019	-0.276943977868576	0.352799045401235	-0.784990723411993	0.432459007586315	0.686369508877997	131.847258906851	-0.311870797320191	0.21149329476919	-1.47461316757369	0.140316572766864	0.851663734190628	Ckmt1
ENSMUSG00000000317	13.3891464311755	22.9232092666486	3.03705874009282	7.54783204026801	NA	NA	0.930410018577602	-1.99466736021455	1.63289559699034	-1.2215522926824	0.221876979070673	NA	Bcl6b
