"gene_list","test_ligand","auroc","aupr","aupr_corrected","pearson"
"LLM_cell_death","Il4",0.860837209302336,0.0245447840794077,0.0216380038455133,0.117049050314788
"LLM_cell_death","Il5",0.803066614111131,0.0229276420822787,0.0200208618483843,0.0720049677927991
"LLM_cell_death","Il6",0.774175798186788,0.0561866995533081,0.0532799193194137,0.114538079161655
"LLM_cell_death","Il7",0.71299014584157,0.00853972033420087,0.00563294010030646,0.0225665997630401
"LLM_cell_death","Il9",0.743408750492705,0.0518368696311839,0.0489300893972895,0.103191177655002
"LLM_cell_death","Ildr2",0.748253843121786,0.0261535736581158,0.0232467934242214,0.0759876268342958
"LLM_cell_death","Impg2",0.721165155695689,0.0172920950008523,0.0143853147669579,0.0594266015880187
"LLM_cell_death","Inha",0.748222309814745,0.0238643453234972,0.0209575650896028,0.0699352597201956
"LLM_cell_death","Inhba",0.682528971225817,0.00603821685424974,0.00313143662035533,0.0154046690489697
"LLM_cell_death","Inhbb",0.697184075679922,0.00940210389580108,0.00649532366190667,0.0471634168040673
"LLM_cell_death","Inhbc",0.691971620023639,0.0112388124737902,0.00833203223989579,0.0501186092895783
"LLM_cell_death","Inhbe",0.703894363421343,0.0111901410452516,0.00828336081135714,0.0513947014863514
"LLM_cell_death","Ins1",0.716449349625566,0.00737639386126316,0.00446961362736875,0.0284397840314167
"LLM_cell_death","Ins2",0.716648009460002,0.00738156256695801,0.0044747823330636,0.0284112517111856
"LLM_cell_death","Insl3",0.755400867165864,0.022319725140706,0.0194129449068116,0.0703504335705367
"LLM_cell_death","Insl5",0.778186834844313,0.0210890613909012,0.0181822811570068,0.0728480938161396
"LLM_cell_death","Itga4",0.741092629089464,0.0415993739356351,0.0386925937017407,0.112238549274721
"LLM_cell_death","Itga9",0.739044540796208,0.0225933568497963,0.0196865766159019,0.0687598454727913
"LLM_cell_death","Itgal",0.727591643673615,0.0100675612137084,0.00716078097981403,0.026102260494115
"LLM_cell_death","Itgam",0.769702798580933,0.0298841232791561,0.0269773430452617,0.101352347472799
"LLM_cell_death","Itgb1",0.752450926290924,0.0200740626690469,0.0171672824351524,0.0603334171527722
"LLM_cell_death","Itgb2",0.777518328734719,0.0289464455425187,0.0260396653086243,0.0963118405388542
"LLM_cell_death","Itgb2l",0.777236105636566,0.0288783425287338,0.0259715622948394,0.0962491969613347
"LLM_cell_death","Itih2",0.745259755616845,0.0188660109218131,0.0159592306879187,0.0687163528679841
"LLM_cell_death","Itm2b",0.750256208119806,0.0198716052820958,0.0169648250482014,0.0567099711366576
"LLM_cell_death","Izumo1",0.740602286164796,0.0216901333165033,0.0187833530826089,0.07618835584257
"LLM_cell_death","Jag1",0.717114702404416,0.00718230114595528,0.00427552091206087,0.0111921568283012
"LLM_cell_death","Jag2",0.756551832873481,0.0186549632697146,0.0157481830358202,0.0689350020713161
"LLM_cell_death","Jam2",0.799147024044148,0.0182258623232678,0.0153190820893734,0.0739519688559043
"LLM_cell_death","Jam3",0.773322822230986,0.0443549634969528,0.0414481832630584,0.0850066416346951
"LLM_cell_death","Jaml",0.767408750492718,0.0194134072831112,0.0165066270492168,0.0653705990039334
"LLM_cell_death","Kcna1",0.738182104848225,0.0203234607836422,0.0174166805497478,0.0650349770282301
"LLM_cell_death","Kirrel",0.760143476547054,0.0203677407917564,0.017460960557862,0.071515265103624
"LLM_cell_death","Kirrel3",0.786002364997958,0.0250690984895558,0.0221623182556614,0.0826642561956342
"LLM_cell_death","Kiss1",0.754060701616128,0.0212741652819987,0.0183673850481043,0.0447146727596987
"LLM_cell_death","Kitl",0.761721718565184,0.0246257713918309,0.0217189911579365,0.0872582059472334
"LLM_cell_death","Kl",0.774341348048823,0.0245485569260787,0.0216417766921843,0.0713662721999294
"LLM_cell_death","Klk1",0.724348443042955,0.0147776007180042,0.0118708204841098,0.0437074832123471
"LLM_cell_death","Klk1b1",0.72431848640126,0.0146315765498664,0.011724796315972,0.043561392519603
"LLM_cell_death","Klk1b11",0.72431848640126,0.0146315765498664,0.011724796315972,0.043561392519603
"LLM_cell_death","Klk1b16",0.72431848640126,0.0146315765498664,0.011724796315972,0.043561392519603
"LLM_cell_death","Klk1b21",0.72431848640126,0.0146315765498664,0.011724796315972,0.043561392519603
"LLM_cell_death","Klk1b22",0.72431848640126,0.0146315765498664,0.011724796315972,0.043561392519603
"LLM_cell_death","Klk1b24",0.72431848640126,0.0146315765498664,0.011724796315972,0.0435613925196029
"LLM_cell_death","Klk1b26",0.72431848640126,0.0146315765498664,0.011724796315972,0.0435613925196029
"LLM_cell_death","Klk1b27",0.72431848640126,0.0146315765498664,0.011724796315972,0.043561392519603
"LLM_cell_death","Klk1b3",0.72431848640126,0.0146315765498664,0.011724796315972,0.0435613925196029
"LLM_cell_death","Klk1b4",0.72431848640126,0.0146315765498664,0.011724796315972,0.0435613925196029
"LLM_cell_death","Klk1b5",0.72431848640126,0.0146315765498664,0.011724796315972,0.0435613925196029
"LLM_cell_death","Klk1b8",0.72431848640126,0.0146315765498664,0.011724796315972,0.0435613925196029
"LLM_cell_death","Klk1b9",0.72431848640126,0.0146315765498664,0.011724796315972,0.0435613925196029
"LLM_cell_death","Klkb1",0.786229404808834,0.0328805085999573,0.0299737283660629,0.0839031565832424
"LLM_cell_death","Kng1",0.767918013401647,0.0748832558622709,0.0719764756283765,0.161496072263325
"LLM_cell_death","Kng2",0.767918013401647,0.0748832558622709,0.0719764756283765,0.161496072263325
"LLM_cell_death","L1cam",0.761565628695291,0.021418265653496,0.0185114854196016,0.0714153394706478
"LLM_cell_death","Lama1",0.74538588884506,0.0199716460510285,0.0170648658171341,0.0662011022554696
"LLM_cell_death","Lama2",0.734943634213624,0.00685432132183763,0.00394754108794322,0.00283149227592947
"LLM_cell_death","Lama3",0.750845880961778,0.0218774324653831,0.0189706522314887,0.0715462932882485
"LLM_cell_death","Lama4",0.765223492313833,0.0173209782187106,0.0144141979848162,0.0695358676347092
"LLM_cell_death","Lama5",0.745379582183702,0.0225963373566931,0.0196895571227987,0.0692851659176641
"LLM_cell_death","Lamb1",0.734555774536852,0.0170941467686402,0.0141873665347458,0.0565938635319526
"LLM_cell_death","Lamb2",0.728622782814303,0.0202325779358363,0.0173257977019418,0.065238798301224
"LLM_cell_death","Lamb3",0.751137564052055,0.0225267208179383,0.0196199405840439,0.0722678310161554
"LLM_cell_death","Lamc1",0.738609381158839,0.0166731632968209,0.0137663830629265,0.0586081841655629
